Date,Guggenheim Invest S&P 500 Equal Weight Technology_Open_average,Guggenheim Invest S&P 500 Equal Weight Technology_Open_max,Guggenheim Invest S&P 500 Equal Weight Technology_Open_min,Guggenheim Invest S&P 500 Equal Weight Technology_Open_volatility,Guggenheim Invest S&P 500 Equal Weight Technology_Open_change,Guggenheim Invest S&P 500 Equal Weight Technology_High_average,Guggenheim Invest S&P 500 Equal Weight Technology_High_max,Guggenheim Invest S&P 500 Equal Weight Technology_High_min,Guggenheim Invest S&P 500 Equal Weight Technology_High_volatility,Guggenheim Invest S&P 500 Equal Weight Technology_High_change,Guggenheim Invest S&P 500 Equal Weight Technology_Low_average,Guggenheim Invest S&P 500 Equal Weight Technology_Low_max,Guggenheim Invest S&P 500 Equal Weight Technology_Low_min,Guggenheim Invest S&P 500 Equal Weight Technology_Low_volatility,Guggenheim Invest S&P 500 Equal Weight Technology_Low_change,Guggenheim Invest S&P 500 Equal Weight Technology_Close_average,Guggenheim Invest S&P 500 Equal Weight Technology_Close_max,Guggenheim Invest S&P 500 Equal Weight Technology_Close_min,Guggenheim Invest S&P 500 Equal Weight Technology_Close_volatility,Guggenheim Invest S&P 500 Equal Weight Technology_Close_change
2018-01-14,154.08,154.08,154.08,0.0,0.0,154.99,154.99,154.99,0.0,0.0,153.56,153.56,153.56,0.0,0.0,154.99,154.99,154.99,0.0,0.0
2018-01-21,156.33,156.33,156.33,0.0,0.0,156.62,156.62,156.62,0.0,0.0,155.27,155.27,155.27,0.0,0.0,155.67,155.67,155.67,0.0,0.0
2018-01-28,150.65,150.65,150.65,0.0,0.0,152.4,152.4,152.4,0.0,0.0,145.3,145.3,145.3,0.0,0.0,145.59,145.59,145.59,0.0,0.0
2018-02-04,146.07,146.07,146.07,0.0,0.0,148.21,148.21,148.21,0.0,0.0,145.59,145.59,145.59,0.0,0.0,147.43,147.43,147.43,0.0,0.0
2018-02-11,152.25,152.25,152.25,0.0,0.0,154.01,154.01,154.01,0.0,0.0,152.25,152.25,152.25,0.0,0.0,152.66,152.66,152.66,0.0,0.0
2018-02-18,155.84,155.84,155.84,0.0,0.0,157.28,157.28,157.28,0.0,0.0,155.66,155.66,155.66,0.0,0.0,157.16,157.16,157.16,0.0,0.0
2018-02-25,154.2,154.2,154.2,0.0,0.0,157.01,157.01,157.01,0.0,0.0,154.05,154.05,154.05,0.0,0.0,156.72,156.72,156.72,0.0,0.0
2018-03-04,162.77,162.77,162.77,0.0,0.0,162.96,162.96,162.96,0.0,0.0,162.18,162.18,162.18,0.0,0.0,162.44,162.44,162.44,0.0,0.0
2018-03-11,159.79,159.79,159.79,0.0,0.0,159.89,159.89,159.89,0.0,0.0,156.91,156.91,156.91,0.0,0.0,158.41,158.41,158.41,0.0,0.0
2018-03-18,152.92,152.92,152.92,0.0,0.0,154.9,154.9,154.9,0.0,0.0,151.09,151.09,151.09,0.0,0.0,154.78,154.78,154.78,0.0,0.0
