Date,First Trust Emerging Markets Small Cap AlphaDEX_Open_average,First Trust Emerging Markets Small Cap AlphaDEX_Open_max,First Trust Emerging Markets Small Cap AlphaDEX_Open_min,First Trust Emerging Markets Small Cap AlphaDEX_Open_volatility,First Trust Emerging Markets Small Cap AlphaDEX_Open_change,First Trust Emerging Markets Small Cap AlphaDEX_High_average,First Trust Emerging Markets Small Cap AlphaDEX_High_max,First Trust Emerging Markets Small Cap AlphaDEX_High_min,First Trust Emerging Markets Small Cap AlphaDEX_High_volatility,First Trust Emerging Markets Small Cap AlphaDEX_High_change,First Trust Emerging Markets Small Cap AlphaDEX_Low_average,First Trust Emerging Markets Small Cap AlphaDEX_Low_max,First Trust Emerging Markets Small Cap AlphaDEX_Low_min,First Trust Emerging Markets Small Cap AlphaDEX_Low_volatility,First Trust Emerging Markets Small Cap AlphaDEX_Low_change,First Trust Emerging Markets Small Cap AlphaDEX_Close_average,First Trust Emerging Markets Small Cap AlphaDEX_Close_max,First Trust Emerging Markets Small Cap AlphaDEX_Close_min,First Trust Emerging Markets Small Cap AlphaDEX_Close_volatility,First Trust Emerging Markets Small Cap AlphaDEX_Close_change
2018-01-14,46.01,46.01,46.01,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.56,46.56,46.56,0.0,0.0
2018-01-21,47.11,47.11,47.11,0.0,0.0,47.26,47.26,47.26,0.0,0.0,46.84,46.84,46.84,0.0,0.0,47.06,47.06,47.06,0.0,0.0
2018-01-28,45.26,45.26,45.26,0.0,0.0,45.76,45.76,45.76,0.0,0.0,43.91,43.91,43.91,0.0,0.0,44.09,44.09,44.09,0.0,0.0
2018-02-04,42.99,42.99,42.99,0.0,0.0,43.49,43.49,43.49,0.0,0.0,42.9,42.9,42.9,0.0,0.0,43.18,43.18,43.18,0.0,0.0
2018-02-11,45.15,45.15,45.15,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.27,45.27,45.27,0.0,0.0
2018-02-18,46.07,46.07,46.07,0.0,0.0,46.41,46.41,46.41,0.0,0.0,45.79,45.79,45.79,0.0,0.0,46.41,46.41,46.41,0.0,0.0
2018-02-25,44.27,44.27,44.27,0.0,0.0,44.91,44.91,44.91,0.0,0.0,44.01,44.01,44.01,0.0,0.0,44.82,44.82,44.82,0.0,0.0
2018-03-04,45.21,45.21,45.21,0.0,0.0,45.43,45.43,45.43,0.0,0.0,45.13,45.13,45.13,0.0,0.0,45.41,45.41,45.41,0.0,0.0
2018-03-11,45.4,45.4,45.4,0.0,0.0,45.4,45.4,45.4,0.0,0.0,44.86,44.86,44.86,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2018-03-18,44.74,44.74,44.74,0.0,0.0,45.1,45.1,45.1,0.0,0.0,44.41,44.41,44.41,0.0,0.0,45.05,45.05,45.05,0.0,0.0
