Date,iShares Treasury Floating Rate Bond_Open_average,iShares Treasury Floating Rate Bond_Open_max,iShares Treasury Floating Rate Bond_Open_min,iShares Treasury Floating Rate Bond_Open_volatility,iShares Treasury Floating Rate Bond_Open_change,iShares Treasury Floating Rate Bond_High_average,iShares Treasury Floating Rate Bond_High_max,iShares Treasury Floating Rate Bond_High_min,iShares Treasury Floating Rate Bond_High_volatility,iShares Treasury Floating Rate Bond_High_change,iShares Treasury Floating Rate Bond_Low_average,iShares Treasury Floating Rate Bond_Low_max,iShares Treasury Floating Rate Bond_Low_min,iShares Treasury Floating Rate Bond_Low_volatility,iShares Treasury Floating Rate Bond_Low_change,iShares Treasury Floating Rate Bond_Close_average,iShares Treasury Floating Rate Bond_Close_max,iShares Treasury Floating Rate Bond_Close_min,iShares Treasury Floating Rate Bond_Close_volatility,iShares Treasury Floating Rate Bond_Close_change
2018-01-14,50.25,50.25,50.25,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2018-01-21,50.22,50.22,50.22,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-01-28,50.21,50.21,50.21,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.18,50.18,50.18,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2018-02-04,50.22,50.22,50.22,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.19,50.19,50.19,0.0,0.0
2018-02-11,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2018-02-18,50.24,50.24,50.24,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2018-02-25,50.19,50.19,50.19,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2018-03-04,50.24,50.24,50.24,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.21,50.21,50.21,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-03-11,50.22,50.22,50.22,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2018-03-18,50.26,50.26,50.26,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.27,50.27,50.27,0.0,0.0
2018-03-25,50.29,50.29,50.29,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-04-01,50.25,50.25,50.25,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2018-04-08,50.26,50.26,50.26,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.25,50.25,50.25,0.0,0.0
2018-04-15,50.27,50.27,50.27,0.0,0.0,50.28,50.28,50.28,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-04-22,50.27,50.27,50.27,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-04-29,50.25,50.25,50.25,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.22,50.22,50.22,0.0,0.0
2018-05-06,50.27,50.27,50.27,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.25,50.25,50.25,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2018-05-13,50.28,50.28,50.28,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.26,50.26,50.26,0.0,0.0,50.28,50.28,50.28,0.0,0.0
2018-05-20,50.27,50.27,50.27,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.31,50.31,50.31,0.0,0.0
2018-05-27,50.27,50.27,50.27,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.23,50.23,50.23,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2018-06-03,50.23,50.23,50.23,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.22,50.22,50.22,0.0,0.0,50.27,50.27,50.27,0.0,0.0
