Date,First Trust Municipal High Income_Open_average,First Trust Municipal High Income_Open_max,First Trust Municipal High Income_Open_min,First Trust Municipal High Income_Open_volatility,First Trust Municipal High Income_Open_change,First Trust Municipal High Income_High_average,First Trust Municipal High Income_High_max,First Trust Municipal High Income_High_min,First Trust Municipal High Income_High_volatility,First Trust Municipal High Income_High_change,First Trust Municipal High Income_Low_average,First Trust Municipal High Income_Low_max,First Trust Municipal High Income_Low_min,First Trust Municipal High Income_Low_volatility,First Trust Municipal High Income_Low_change,First Trust Municipal High Income_Close_average,First Trust Municipal High Income_Close_max,First Trust Municipal High Income_Close_min,First Trust Municipal High Income_Close_volatility,First Trust Municipal High Income_Close_change
2018-01-14,50.37,50.37,50.37,0.0,0.0,50.42,50.42,50.42,0.0,0.0,49.99,49.99,49.99,0.0,0.0,50.42,50.42,50.42,0.0,0.0
2018-01-21,50.19,50.19,50.19,0.0,0.0,50.36,50.36,50.36,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.23,50.23,50.23,0.0,0.0
2018-01-28,49.77,49.77,49.77,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-02-04,49.93,49.93,49.93,0.0,0.0,50.17,50.17,50.17,0.0,0.0,49.93,49.93,49.93,0.0,0.0,50.17,50.17,50.17,0.0,0.0
2018-02-11,49.78,49.78,49.78,0.0,0.0,49.78,49.78,49.78,0.0,0.0,49.77,49.77,49.77,0.0,0.0,49.77,49.77,49.77,0.0,0.0
2018-02-18,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.99,49.99,49.99,0.0,0.0
2018-02-25,49.72,49.72,49.72,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.68,49.68,49.68,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-03-04,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-03-11,49.74,49.74,49.74,0.0,0.0,49.74,49.74,49.74,0.0,0.0,49.73,49.73,49.73,0.0,0.0,49.73,49.73,49.73,0.0,0.0
2018-03-18,50.1,50.1,50.1,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-03-25,50.18,50.18,50.18,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.18,50.18,50.18,0.0,0.0
2018-04-01,50.0,50.0,50.0,0.0,0.0,50.21,50.21,50.21,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2018-04-08,50.17,50.17,50.17,0.0,0.0,50.17,50.17,50.17,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-04-15,50.05,50.05,50.05,0.0,0.0,51.1,51.1,51.1,0.0,0.0,49.96,49.96,49.96,0.0,0.0,50.11,50.11,50.11,0.0,0.0
