Date,Guggenheim CurrencyShares Australian Dollar_Open_average,Guggenheim CurrencyShares Australian Dollar_Open_max,Guggenheim CurrencyShares Australian Dollar_Open_min,Guggenheim CurrencyShares Australian Dollar_Open_volatility,Guggenheim CurrencyShares Australian Dollar_Open_change,Guggenheim CurrencyShares Australian Dollar_High_average,Guggenheim CurrencyShares Australian Dollar_High_max,Guggenheim CurrencyShares Australian Dollar_High_min,Guggenheim CurrencyShares Australian Dollar_High_volatility,Guggenheim CurrencyShares Australian Dollar_High_change,Guggenheim CurrencyShares Australian Dollar_Low_average,Guggenheim CurrencyShares Australian Dollar_Low_max,Guggenheim CurrencyShares Australian Dollar_Low_min,Guggenheim CurrencyShares Australian Dollar_Low_volatility,Guggenheim CurrencyShares Australian Dollar_Low_change,Guggenheim CurrencyShares Australian Dollar_Close_average,Guggenheim CurrencyShares Australian Dollar_Close_max,Guggenheim CurrencyShares Australian Dollar_Close_min,Guggenheim CurrencyShares Australian Dollar_Close_volatility,Guggenheim CurrencyShares Australian Dollar_Close_change
2018-01-14,80.11,80.11,80.11,0.0,0.0,80.29,80.29,80.29,0.0,0.0,80.04,80.04,80.04,0.0,0.0,80.06,80.06,80.06,0.0,0.0
2018-01-21,80.96,80.96,80.96,0.0,0.0,81.05,81.05,81.05,0.0,0.0,80.8,80.8,80.8,0.0,0.0,81.03,81.03,81.03,0.0,0.0
2018-01-28,79.3,79.3,79.3,0.0,0.0,79.4,79.4,79.4,0.0,0.0,78.82,78.82,78.82,0.0,0.0,78.82,78.82,78.82,0.0,0.0
2018-02-04,78.31,78.31,78.31,0.0,0.0,78.52,78.52,78.52,0.0,0.0,78.22,78.22,78.22,0.0,0.0,78.47,78.47,78.47,0.0,0.0
2018-02-11,79.16,79.16,79.16,0.0,0.0,79.39,79.39,79.39,0.0,0.0,78.98,78.98,78.98,0.0,0.0,79.08,79.08,79.08,0.0,0.0
2018-02-18,78.41,78.41,78.41,0.0,0.0,78.53,78.53,78.53,0.0,0.0,78.31,78.31,78.31,0.0,0.0,78.53,78.53,78.53,0.0,0.0
2018-02-25,77.34,77.34,77.34,0.0,0.0,77.66,77.66,77.66,0.0,0.0,77.32,77.32,77.32,0.0,0.0,77.66,77.66,77.66,0.0,0.0
2018-03-04,78.65,78.65,78.65,0.0,0.0,78.79,78.79,78.79,0.0,0.0,78.62,78.62,78.62,0.0,0.0,78.79,78.79,78.79,0.0,0.0
2018-03-11,77.07,77.07,77.07,0.0,0.0,77.25,77.25,77.25,0.0,0.0,77.0,77.0,77.0,0.0,0.0,77.16,77.16,77.16,0.0,0.0
2018-03-18,77.3,77.3,77.3,0.0,0.0,77.46,77.46,77.46,0.0,0.0,77.17,77.17,77.17,0.0,0.0,77.46,77.46,77.46,0.0,0.0
2018-03-25,76.73,76.73,76.73,0.0,0.0,76.74,76.74,76.74,0.0,0.0,76.53,76.53,76.53,0.0,0.0,76.58,76.58,76.58,0.0,0.0
2018-04-01,76.74,76.74,76.74,0.0,0.0,77.15,77.15,77.15,0.0,0.0,76.73,76.73,76.73,0.0,0.0,76.98,76.98,76.98,0.0,0.0
2018-04-08,77.79,77.79,77.79,0.0,0.0,77.86,77.86,77.86,0.0,0.0,77.77,77.77,77.77,0.0,0.0,77.86,77.86,77.86,0.0,0.0
2018-04-15,76.33,76.33,76.33,0.0,0.0,76.41,76.41,76.41,0.0,0.0,76.06,76.06,76.06,0.0,0.0,76.11,76.11,76.11,0.0,0.0
2018-04-22,75.42,75.42,75.42,0.0,0.0,75.56,75.56,75.56,0.0,0.0,75.32,75.32,75.32,0.0,0.0,75.33,75.33,75.33,0.0,0.0
2018-04-29,75.02,75.02,75.02,0.0,0.0,75.28,75.28,75.28,0.0,0.0,74.97,74.97,74.97,0.0,0.0,75.14,75.14,75.14,0.0,0.0
2018-05-06,75.59,75.59,75.59,0.0,0.0,75.61,75.61,75.61,0.0,0.0,75.28,75.28,75.28,0.0,0.0,75.28,75.28,75.28,0.0,0.0
2018-05-13,75.54,75.54,75.54,0.0,0.0,75.83,75.83,75.83,0.0,0.0,75.52,75.52,75.52,0.0,0.0,75.83,75.83,75.83,0.0,0.0
2018-05-20,75.56,75.56,75.56,0.0,0.0,75.66,75.66,75.66,0.0,0.0,75.48,75.48,75.48,0.0,0.0,75.5,75.5,75.5,0.0,0.0
2018-05-27,76.52,76.52,76.52,0.0,0.0,76.55,76.55,76.55,0.0,0.0,76.39,76.39,76.39,0.0,0.0,76.47,76.47,76.47,0.0,0.0
2018-06-03,76.09,76.09,76.09,0.0,0.0,76.22,76.22,76.22,0.0,0.0,76.04,76.04,76.04,0.0,0.0,76.1,76.1,76.1,0.0,0.0
2018-06-10,74.36,74.36,74.36,0.0,0.0,74.42,74.42,74.42,0.0,0.0,74.17,74.17,74.17,0.0,0.0,74.24,74.24,74.24,0.0,0.0
