Date,THMO_Open_average,THMO_Open_max,THMO_Open_min,THMO_Open_volatility,THMO_Open_change,THMO_High_average,THMO_High_max,THMO_High_min,THMO_High_volatility,THMO_High_change,THMO_Low_average,THMO_Low_max,THMO_Low_min,THMO_Low_volatility,THMO_Low_change,THMO_Close_average,THMO_Close_max,THMO_Close_min,THMO_Close_volatility,THMO_Close_change,THMO_Volume_average,THMO_Volume_max,THMO_Volume_min,THMO_Volume_volatility,THMO_Volume_change
2018-01-14,30.48,32.0,29.5,2.5,-1.8000000000000007,31.158,32.0,30.05,1.9499999999999993,0.0,29.544,30.0,29.21,0.7899999999999991,-0.7899999999999991,30.2,30.9,29.7,1.1999999999999993,-0.7999999999999972,5864,10992,1274,9718,-2258
2018-01-21,29.72,30.0,29.2,0.8000000000000007,-0.8000000000000007,30.052,30.5,29.4,1.1000000000000014,-1.1000000000000014,29.14,29.7,28.1,1.5999999999999979,-1.5999999999999979,29.5,30.0,28.4,1.6000000000000014,-1.5,3574,6575,580,5995,4869
2018-01-28,27.756,28.88,27.0,1.879999999999999,0.8000000000000007,28.764,29.1,28.05,1.0500000000000007,-0.20000000000000284,27.24,27.5,27.0,0.5,0.5,27.66,28.0,27.3,0.6999999999999993,-0.29999999999999716,3334,5219,697,4522,-319
2018-02-04,26.858,27.3,25.9,1.4000000000000021,-1.4000000000000021,27.264,27.8,26.62,1.1799999999999997,-1.1799999999999997,26.169999999999998,26.7,25.45,1.25,-0.8500000000000014,26.48,27.0,25.7,1.3000000000000007,-0.20000000000000284,4249,6834,1379,5455,-913
2018-02-11,27.825,28.5,26.9,1.6000000000000014,1.1000000000000014,28.775,30.2,27.6,2.599999999999998,2.599999999999998,26.875,28.0,26.4,1.6000000000000014,1.6000000000000014,28.425,29.4,27.3,2.099999999999998,2.099999999999998,4750,7413,2649,4764,4764
2018-02-18,29.0,29.9,28.1,1.7999999999999972,0.1999999999999993,29.284,30.0,28.81,1.1900000000000013,-0.10000000000000142,28.314,28.8,28.0,0.8000000000000007,0.23000000000000043,28.62,28.9,28.0,0.8999999999999986,0.0,1782,3615,459,3156,631
2018-02-25,28.35,28.55,27.9,0.6500000000000021,-0.1999999999999993,28.78,29.5,28.4,1.1000000000000014,0.8500000000000014,27.98,28.3,27.9,0.40000000000000213,0.40000000000000213,28.578,29.5,28.2,1.3000000000000007,1.3000000000000007,1035,3426,324,3102,3092
2018-03-04,29.414,29.6,29.2,0.40000000000000213,0.20000000000000284,30.08,30.9,29.4,1.5,1.5,29.116,29.6,28.8,0.8000000000000007,0.7000000000000028,29.78,30.7,29.0,1.6999999999999993,1.6999999999999993,2153,4801,361,4440,3022
2018-03-11,29.86,32.5,27.3,5.199999999999999,-1.8999999999999986,30.33,33.4,28.3,5.099999999999998,-1.6000000000000014,28.24,29.4,27.0,2.3999999999999986,-1.0,28.92,30.5,27.5,3.0,-1.6999999999999993,9952,38469,1722,36747,-1294
2018-03-18,27.36,29.5,23.0,6.5,-6.5,27.568,29.5,23.0,6.5,-6.5,26.1,27.8,21.6,6.199999999999999,-6.199999999999999,26.560000000000002,28.6,22.3,6.300000000000001,-6.300000000000001,8598,29588,1012,28576,28576
