Date,Fidelity NASDAQ CompositeEtf_Open_average,Fidelity NASDAQ CompositeEtf_Open_max,Fidelity NASDAQ CompositeEtf_Open_min,Fidelity NASDAQ CompositeEtf_Open_volatility,Fidelity NASDAQ CompositeEtf_Open_change,Fidelity NASDAQ CompositeEtf_High_average,Fidelity NASDAQ CompositeEtf_High_max,Fidelity NASDAQ CompositeEtf_High_min,Fidelity NASDAQ CompositeEtf_High_volatility,Fidelity NASDAQ CompositeEtf_High_change,Fidelity NASDAQ CompositeEtf_Low_average,Fidelity NASDAQ CompositeEtf_Low_max,Fidelity NASDAQ CompositeEtf_Low_min,Fidelity NASDAQ CompositeEtf_Low_volatility,Fidelity NASDAQ CompositeEtf_Low_change,Fidelity NASDAQ CompositeEtf_Close_average,Fidelity NASDAQ CompositeEtf_Close_max,Fidelity NASDAQ CompositeEtf_Close_min,Fidelity NASDAQ CompositeEtf_Close_volatility,Fidelity NASDAQ CompositeEtf_Close_change
2018-01-14,287.19,287.19,287.19,0.0,0.0,287.85,287.85,287.85,0.0,0.0,286.6,286.6,286.6,0.0,0.0,287.61,287.61,287.61,0.0,0.0
2018-01-21,292.51,292.51,292.51,0.0,0.0,294.51,294.51,294.51,0.0,0.0,291.75,291.75,291.75,0.0,0.0,294.51,294.51,294.51,0.0,0.0
2018-01-28,287.51,287.51,287.51,0.0,0.0,288.37,288.37,288.37,0.0,0.0,283.83,283.83,283.83,0.0,0.0,284.01,284.01,284.01,0.0,0.0
2018-02-04,268.74,268.74,268.74,0.0,0.0,270.9,270.9,270.9,0.0,0.0,260.03,260.03,260.03,0.0,0.0,269.42,269.42,269.42,0.0,0.0
2018-02-11,286.54,286.54,286.54,0.0,0.0,286.84,286.84,286.84,0.0,0.0,283.65,283.65,283.65,0.0,0.0,284.47,284.47,284.47,0.0,0.0
2018-02-18,285.31,285.31,285.31,0.0,0.0,287.75,287.75,287.75,0.0,0.0,283.96,283.96,283.96,0.0,0.0,287.75,287.75,287.75,0.0,0.0
2018-02-25,277.96,277.96,277.96,0.0,0.0,285.11,285.11,285.11,0.0,0.0,277.96,277.96,277.96,0.0,0.0,284.78,284.78,284.78,0.0,0.0
2018-03-04,293.16,293.16,293.16,0.0,0.0,296.5,296.5,296.5,0.0,0.0,293.16,293.16,293.16,0.0,0.0,296.5,296.5,296.5,0.0,0.0
2018-03-11,294.24,294.24,294.24,0.0,0.0,294.54,294.54,294.54,0.0,0.0,293.17,293.17,293.17,0.0,0.0,293.27,293.27,293.27,0.0,0.0
2018-03-18,279.56,279.56,279.56,0.0,0.0,281.8,281.8,281.8,0.0,0.0,273.83,273.83,273.83,0.0,0.0,274.22,274.22,274.22,0.0,0.0
2018-03-25,274.45,274.45,274.45,0.0,0.0,279.01,279.01,279.01,0.0,0.0,272.18,272.18,272.18,0.0,0.0,276.87,276.87,276.87,0.0,0.0
2018-04-01,274.31,274.31,274.31,0.0,0.0,277.29,277.29,277.29,0.0,0.0,269.89,269.89,269.89,0.0,0.0,271.47,271.47,271.47,0.0,0.0
2018-04-08,281.1,281.1,281.1,0.0,0.0,281.74,281.74,281.74,0.0,0.0,277.84,277.84,277.84,0.0,0.0,279.02,279.02,279.02,0.0,0.0
2018-04-15,284.32,284.32,284.32,0.0,0.0,284.32,284.32,284.32,0.0,0.0,279.88,279.88,279.88,0.0,0.0,280.55,280.55,280.55,0.0,0.0
2018-04-22,282.55,282.55,282.55,0.0,0.0,282.55,282.55,282.55,0.0,0.0,278.62,278.62,278.62,0.0,0.0,279.1,279.1,279.1,0.0,0.0
2018-04-29,277.3,277.3,277.3,0.0,0.0,283.5,283.5,283.5,0.0,0.0,277.19,277.19,277.19,0.0,0.0,282.68,282.68,282.68,0.0,0.0
2018-05-06,290.26,290.26,290.26,0.0,0.0,291.11,291.11,291.11,0.0,0.0,289.2,289.2,289.2,0.0,0.0,290.41,290.41,290.41,0.0,0.0
2018-05-13,288.33,288.33,288.33,0.0,0.0,290.05,290.05,290.05,0.0,0.0,288.33,288.33,288.33,0.0,0.0,288.99,288.99,288.99,0.0,0.0
