Date,MAS_Open_average,MAS_Open_max,MAS_Open_min,MAS_Open_volatility,MAS_Open_change,MAS_High_average,MAS_High_max,MAS_High_min,MAS_High_volatility,MAS_High_change,MAS_Low_average,MAS_Low_max,MAS_Low_min,MAS_Low_volatility,MAS_Low_change,MAS_Close_average,MAS_Close_max,MAS_Close_min,MAS_Close_volatility,MAS_Close_change,MAS_Volume_average,MAS_Volume_max,MAS_Volume_min,MAS_Volume_volatility,MAS_Volume_change
2018-01-14,45.982,46.43,45.55,0.8800000000000026,-0.13000000000000256,46.238,46.45,45.94,0.5100000000000051,0.05000000000000426,45.46,45.73,45.02,0.7099999999999937,0.6499999999999986,45.822,46.27,45.24,1.0300000000000011,0.6299999999999955,2633016,3090188,2301044,789144,-789144
2018-01-21,45.626,46.03,45.17,0.8599999999999994,-0.259999999999998,45.754,46.16,45.19,0.9699999999999989,-0.45000000000000284,45.18,45.63,44.58,1.0500000000000043,-0.6000000000000014,45.354,45.91,44.64,1.269999999999996,-0.8200000000000003,2968778,3528805,2134801,1394004,-895699
2018-01-28,44.0,44.82,42.68,2.1400000000000006,-1.7000000000000028,44.246,45.09,42.87,2.220000000000006,-1.8900000000000006,43.262,44.57,41.03,3.539999999999999,-3.019999999999996,43.486,44.66,41.28,3.3799999999999955,-3.240000000000002,3390385,4493583,2177520,2316063,1798738
2018-02-04,41.662,42.42,40.48,1.9400000000000048,1.9400000000000048,43.146,43.74,42.58,1.1600000000000037,0.8399999999999963,41.092,42.33,40.17,2.1599999999999966,2.1599999999999966,42.196,43.12,40.7,2.4199999999999946,0.779999999999994,5362494,6658627,4555425,2103202,354115
2018-02-11,42.8825,43.45,42.31,1.1400000000000006,-0.0899999999999963,43.317499999999995,43.69,43.05,0.6400000000000006,0.6400000000000006,42.47,42.81,42.19,0.6200000000000045,0.5,42.935,43.21,42.76,0.45000000000000284,0.45000000000000284,3194703,4258104,2767559,1490545,-1490545
2018-02-18,42.862,43.17,42.5,0.6700000000000017,0.10999999999999943,43.193999999999996,43.4,42.98,0.4200000000000017,-0.060000000000002274,42.39,42.52,42.33,0.19000000000000483,0.05000000000000426,42.678,43.02,42.4,0.6200000000000045,0.3499999999999943,2681459,3790978,2000632,1790346,945476
2018-02-25,41.356,42.99,40.25,2.740000000000002,-2.740000000000002,41.708,43.14,40.66,2.480000000000004,-1.8500000000000014,40.708,41.89,40.09,1.7999999999999972,-1.6799999999999997,41.106,41.89,40.51,1.3800000000000026,-0.730000000000004,3944387,4801305,2820737,1980568,204610
2018-03-04,41.612,42.71,40.7,2.009999999999998,1.3500000000000014,41.99,42.91,41.41,1.5,1.5,41.318,42.41,40.68,1.7299999999999969,1.4799999999999969,41.762,42.48,41.14,1.3399999999999963,1.3299999999999983,2335570,3086968,1674348,1412620,281546
2018-03-11,41.949999999999996,42.68,41.39,1.2899999999999991,-1.2899999999999991,42.025999999999996,42.75,41.43,1.3200000000000003,-1.3200000000000003,41.446,42.24,40.7,1.5399999999999991,-1.5399999999999991,41.626,42.29,41.09,1.1999999999999957,-1.1999999999999957,2464301,3172655,2084535,1088120,157387
2018-03-18,41.214,41.76,40.91,0.8500000000000014,-0.22000000000000597,41.636,42.27,41.19,1.0800000000000054,-0.15000000000000568,40.644,41.0,40.1,0.8999999999999986,-0.6099999999999994,40.932,41.55,40.25,1.2999999999999972,-0.21000000000000085,2862700,3666990,2155828,1511162,593529
2018-03-25,40.495,40.9,40.12,0.7800000000000011,-0.5399999999999991,40.76,41.04,40.47,0.5700000000000003,-0.5700000000000003,39.6025,40.3,38.58,1.7199999999999989,-1.7199999999999989,39.935,40.47,39.0,1.4699999999999989,-1.4699999999999989,3792346,3987730,3379045,608685,-528061
2018-04-01,39.996,40.89,38.98,1.9100000000000037,1.269999999999996,40.686,41.35,39.66,1.6900000000000048,1.220000000000006,39.68,40.74,38.92,1.8200000000000003,1.1199999999999974,40.333999999999996,40.93,39.62,1.3100000000000023,0.6000000000000014,4238849,5919236,3377559,2541677,-429671
2018-04-08,40.812,41.12,40.43,0.6899999999999977,0.38000000000000256,41.1,41.29,40.8,0.490000000000002,0.0899999999999963,40.524,40.77,40.29,0.480000000000004,0.3300000000000054,40.758,40.92,40.6,0.3200000000000003,0.12000000000000455,2427215,3041247,1803704,1237543,195003
2018-04-15,40.65,41.59,39.42,2.1700000000000017,-1.769999999999996,40.798,41.76,39.55,2.210000000000001,-2.210000000000001,39.984,41.3,38.83,2.469999999999999,-2.3599999999999994,40.230000000000004,41.4,39.24,2.1599999999999966,-1.9499999999999957,5223446,7203122,3122719,4080403,2802912
2018-04-22,37.443999999999996,38.5,36.3,2.200000000000003,-0.5,37.98,38.86,37.34,1.519999999999996,-0.7800000000000011,36.526,37.52,35.79,1.730000000000004,1.730000000000004,37.31,38.02,36.16,1.8600000000000065,1.7100000000000009,9248514,13108003,6251089,6856914,-6164906
2018-04-29,37.978,38.39,37.64,0.75,0.6400000000000006,38.44,38.62,38.13,0.4899999999999949,-0.09999999999999432,37.598,38.08,37.19,0.8900000000000006,0.8900000000000006,38.172,38.5,37.73,0.7700000000000031,-0.20000000000000284,4439523,6606269,3131806,3474463,-3474463
2018-05-06,37.852000000000004,38.38,36.78,1.6000000000000014,-0.3400000000000034,38.33,38.64,38.06,0.5799999999999983,-0.28999999999999915,37.466,38.05,36.51,1.5399999999999991,-0.519999999999996,37.876,38.18,37.63,0.5499999999999972,-0.5399999999999991,3530312,3959947,2969875,990072,398266
2018-05-13,37.616,38.02,37.28,0.740000000000002,0.740000000000002,38.008,38.18,37.84,0.3399999999999963,0.3399999999999963,37.346,37.6,37.01,0.5900000000000034,0.5900000000000034,37.668,37.91,37.35,0.5599999999999952,0.37999999999999545,4145180,5931461,2878355,3053106,-3053106
2018-05-20,37.442499999999995,37.73,37.0,0.7299999999999969,-0.25,37.7775,37.99,37.64,0.3500000000000014,0.2600000000000051,37.1375,37.36,36.99,0.36999999999999744,0.35999999999999943,37.49,37.9,37.0,0.8999999999999986,0.8999999999999986,2979479,3479129,1923269,1555860,-189323
2018-05-27,37.852000000000004,38.22,37.54,0.6799999999999997,0.21000000000000085,38.268,38.45,38.1,0.3500000000000014,0.3500000000000014,37.512,37.82,37.12,0.7000000000000028,0.45999999999999375,37.8,38.39,37.27,1.1199999999999974,0.8400000000000034,3384903,3999142,2603067,1396075,474484
2018-06-03,38.584,38.85,38.42,0.4299999999999997,0.38000000000000256,38.864,39.06,38.75,0.3100000000000023,0.3100000000000023,38.29,38.67,37.92,0.75,0.5,38.618,38.86,38.38,0.4799999999999969,0.0799999999999983,3139516,3879653,2685728,1193925,-503721
2018-06-10,38.388,38.92,37.99,0.9299999999999997,-0.7999999999999972,38.550000000000004,38.95,38.08,0.8700000000000045,-0.8700000000000045,37.91,38.4,37.7,0.6999999999999957,-0.6999999999999957,38.256,38.87,37.78,1.0899999999999963,-1.0899999999999963,2904981,3785987,2284725,1501262,-141863
2018-06-17,37.946,38.32,37.55,0.7700000000000031,0.3400000000000034,38.274,38.63,37.89,0.740000000000002,0.25,37.522,37.76,36.92,0.8399999999999963,0.6000000000000014,37.966,38.44,37.75,0.6899999999999977,0.0800000000000054,3568611,3905955,3203410,702545,-702545
2018-06-24,37.57,38.11,37.14,0.9699999999999989,-0.8900000000000006,37.848,38.31,37.32,0.990000000000002,-0.990000000000002,37.168,37.79,36.7,1.0899999999999963,-0.9200000000000017,37.464,38.08,37.14,0.9399999999999977,-0.7899999999999991,3017592,3573317,2466199,1107118,-898253
2018-07-01,37.83,38.55,37.28,1.269999999999996,1.0599999999999952,38.325,38.95,37.66,1.2900000000000063,1.2900000000000063,37.575,38.31,37.15,1.1600000000000037,1.1600000000000037,38.0925,38.73,37.2,1.529999999999994,1.529999999999994,2098749,2536777,1008448,1528329,1380386
2018-07-08,38.12,38.73,37.65,1.0799999999999983,-0.6899999999999977,38.298,38.88,37.95,0.9299999999999997,-0.720000000000006,37.74,38.33,37.4,0.9299999999999997,-0.6899999999999977,37.938,38.58,37.69,0.8900000000000006,-0.8900000000000006,2739923,3581883,1894339,1687544,416331
2018-07-15,38.41,38.93,37.71,1.2199999999999989,1.2199999999999989,38.862,39.21,38.38,0.8299999999999983,0.5499999999999972,38.264,38.59,37.63,0.9600000000000009,0.9099999999999966,38.664,38.99,38.3,0.6900000000000048,0.29000000000000625,2760791,3018037,2458049,559988,-252846
2018-07-22,38.556,39.43,37.67,1.759999999999998,0.7899999999999991,39.056,39.79,38.33,1.4600000000000009,0.9799999999999969,38.205999999999996,39.33,37.37,1.9600000000000009,1.1199999999999974,38.782,39.47,37.88,1.5899999999999963,0.9600000000000009,4343066,5509713,3343535,2166178,2166178
2018-07-29,39.758,40.33,39.46,0.8699999999999974,-0.1599999999999966,40.052,40.4,39.73,0.6700000000000017,-0.4299999999999997,39.154,39.71,38.25,1.4600000000000009,1.1799999999999997,39.798,40.33,39.39,0.9399999999999977,-0.5300000000000011,3837350,6104432,1883844,4220588,-4220588
2018-08-05,39.288,39.94,38.52,1.4199999999999946,-1.4199999999999946,39.424,40.06,38.77,1.2899999999999991,-1.2899999999999991,38.75,39.71,37.52,2.1899999999999977,-2.1899999999999977,38.874,39.71,37.72,1.990000000000002,-1.990000000000002,2172664,3047684,1487081,1560603,1195064
2018-08-12,38.376,38.86,37.8,1.0600000000000023,1.0600000000000023,38.724,39.1,38.41,0.6900000000000048,0.5499999999999972,38.086,38.52,37.48,1.0400000000000063,0.7900000000000063,38.508,38.75,38.25,0.5,0.4099999999999966,2248644,2556566,2042097,514469,-194031
2018-08-19,38.93,39.21,38.74,0.46999999999999886,0.3100000000000023,39.318,39.73,38.89,0.8399999999999963,0.17999999999999972,38.724000000000004,39.02,38.49,0.5300000000000011,0.2700000000000031,38.982,39.25,38.75,0.5,-0.14999999999999858,2396313,2745341,1869734,875607,-438319
2018-08-26,38.6875,39.1,37.99,1.1099999999999994,-1.1099999999999994,38.832499999999996,39.3,38.37,0.9299999999999997,-0.9299999999999997,38.34,38.83,37.82,1.009999999999998,-1.009999999999998,38.445,38.89,37.97,0.9200000000000017,-0.9200000000000017,1688973,2026787,1324506,702281,702281
2018-09-02,37.842,38.02,37.74,0.28000000000000114,0.14000000000000057,38.166,38.37,37.87,0.5,0.3200000000000003,37.596,37.79,37.29,0.5,0.480000000000004,37.872,38.12,37.73,0.39000000000000057,0.07000000000000028,2599136,4096346,1984519,2111827,-2078208
2018-09-09,38.216,38.76,37.86,0.8999999999999986,0.3299999999999983,38.576,38.8,38.24,0.5599999999999952,0.46000000000000085,37.908,38.15,37.57,0.5799999999999983,0.5600000000000023,38.288,38.63,38.07,0.5600000000000023,0.25,2485715,4461275,1910541,2550734,-46464
2018-09-16,38.566,38.9,38.31,0.5899999999999963,0.11999999999999744,38.844,39.14,38.59,0.5499999999999972,-0.04999999999999716,38.116,38.39,37.69,0.7000000000000028,-0.10999999999999943,38.426,38.73,37.75,0.9799999999999969,-0.75,2314633,2989542,1913411,1076131,-347622
2018-09-23,37.397999999999996,37.79,37.04,0.75,-0.75,37.496,37.8,37.05,0.75,-0.75,36.796,37.33,35.94,1.3900000000000006,-1.3900000000000006,37.006,37.57,36.29,1.2800000000000011,-1.2800000000000011,3583931,4465068,2733417,1731651,1615288
2018-09-30,36.263999999999996,36.61,35.72,0.8900000000000006,-0.7899999999999991,36.428,36.94,35.83,1.1099999999999994,-1.1099999999999994,35.826,36.44,35.15,1.2899999999999991,-1.2899999999999991,36.064,36.5,35.39,1.1099999999999994,-1.1099999999999994,5001193,5883547,4115815,1767732,-1049328
2018-10-07,33.366,35.16,32.16,3.0,-3.0,33.62,35.22,32.47,2.75,-2.75,32.708,33.86,31.88,1.9800000000000004,-1.8100000000000023,32.844,33.9,32.05,1.8500000000000014,-1.8500000000000014,5307604,6535349,3292503,3242846,-3242846
2018-10-14,31.59,32.22,31.0,1.2199999999999989,-0.8200000000000003,31.836,32.59,31.01,1.5800000000000018,-1.5800000000000018,31.068,31.82,30.27,1.5500000000000007,-1.4100000000000001,31.306,32.36,30.29,2.0700000000000003,-2.0700000000000003,4810563,7361396,3626646,3734750,3178533
2018-10-21,29.602,30.85,28.19,2.66,-1.6899999999999977,30.246,31.29,28.72,2.5700000000000003,-2.4700000000000024,28.776,30.0,27.15,2.8500000000000014,-2.610000000000003,29.204,30.94,27.45,3.490000000000002,-3.490000000000002,7768409,12368604,5184878,7183726,2753498
2018-10-28,30.094,31.6,27.7,3.900000000000002,3.620000000000001,31.080000000000002,31.91,29.77,2.1400000000000006,1.9600000000000009,29.838,31.09,27.5,3.59,3.59,30.726,31.42,29.5,1.9200000000000017,1.9200000000000017,6600602,8158908,4631859,3527049,-2442651
2018-11-04,31.248,31.77,30.87,0.8999999999999986,-0.4499999999999993,31.606,31.97,31.17,0.7999999999999972,-0.7999999999999972,30.84,31.18,30.47,0.7100000000000009,-0.7100000000000009,31.11,31.49,30.58,0.9100000000000001,-0.8400000000000034,4430278,4801635,4030767,770868,692153
2018-11-11,31.046,31.28,30.74,0.5400000000000027,0.5400000000000027,31.642,31.85,31.51,0.33999999999999986,-0.11999999999999744,30.684,30.82,30.48,0.33999999999999986,-0.05999999999999872,31.104,31.38,30.78,0.5999999999999979,-0.16999999999999815,4149622,5458592,3294267,2164325,415000
2018-11-18,30.7375,31.16,30.28,0.879999999999999,0.879999999999999,31.285,31.45,31.18,0.2699999999999996,0.23000000000000043,30.53,30.8,30.11,0.6900000000000013,0.6900000000000013,30.905,31.32,30.65,0.6700000000000017,0.6700000000000017,3958565,5832832,1010278,4822554,1105750
2018-11-25,31.546,32.43,31.02,1.4100000000000001,1.3299999999999983,32.04,33.09,31.45,1.6400000000000041,1.6400000000000041,31.105999999999998,32.05,30.36,1.6899999999999977,1.1199999999999974,31.698,32.53,31.04,1.490000000000002,1.490000000000002,4179568,5015108,2765533,2249575,1043064
2018-12-02,30.740000000000002,32.18,30.09,2.09,-2.09,31.1725,32.43,30.47,1.9600000000000009,-1.9600000000000009,30.0,30.63,29.52,1.1099999999999994,-1.1099999999999994,30.31,30.68,29.94,0.7399999999999984,-0.7399999999999984,4569041,5368084,4137609,1230475,-158365
2018-12-09,29.704,30.39,29.16,1.2300000000000004,-0.9499999999999993,30.042,30.64,29.72,0.9200000000000017,-0.9200000000000017,29.2,29.61,28.74,0.870000000000001,-0.5300000000000011,29.382,29.62,28.89,0.7300000000000004,-0.4399999999999977,3452815,3907440,2880881,1026559,-401124
2018-12-16,28.854,29.14,28.23,0.9100000000000001,-0.879999999999999,29.490000000000002,30.1,28.46,1.6400000000000006,-1.0599999999999987,28.408,28.87,27.53,1.3399999999999999,-1.25,28.628,29.23,27.54,1.6900000000000013,-1.3500000000000014,5345225,7410572,1927869,5482703,-2083719
2018-12-23,28.5075,29.28,27.57,1.7100000000000009,1.4699999999999989,29.2225,29.75,28.57,1.1799999999999997,0.8500000000000014,28.135,28.79,27.03,1.759999999999998,1.6799999999999997,28.965,29.24,28.57,0.6699999999999982,0.6699999999999982,3053098,3269603,2639901,629702,-515218
2018-12-30,29.7875,31.33,28.74,2.59,2.59,30.4675,31.88,29.51,2.3699999999999974,2.1799999999999997,29.375,30.68,28.62,2.0599999999999987,2.0599999999999987,30.240000000000002,31.6,29.07,2.530000000000001,2.0500000000000007,3985612,4663636,2885309,1778327,1778327
