Date,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Open_average,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Open_max,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Open_min,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Open_volatility,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Open_change,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_High_average,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_High_max,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_High_min,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_High_volatility,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_High_change,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Low_average,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Low_max,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Low_min,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Low_volatility,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Low_change,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Close_average,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Close_max,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Close_min,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Close_volatility,Direxion Daily Aerospace & Defense Bull 3X Shares_etf_Close_change
2018-01-14,51.66,51.66,51.66,0.0,0.0,52.2,52.2,52.2,0.0,0.0,51.28,51.28,51.28,0.0,0.0,52.1,52.1,52.1,0.0,0.0
2018-01-21,54.78,54.78,54.78,0.0,0.0,56.2,56.2,56.2,0.0,0.0,53.7,53.7,53.7,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2018-01-28,55.54,55.54,55.54,0.0,0.0,55.57,55.57,55.57,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.91,52.91,52.91,0.0,0.0
2018-02-04,45.6,45.6,45.6,0.0,0.0,46.43,46.43,46.43,0.0,0.0,41.93,41.93,41.93,0.0,0.0,45.36,45.36,45.36,0.0,0.0
2018-02-11,54.0,54.0,54.0,0.0,0.0,55.18,55.18,55.18,0.0,0.0,53.35,53.35,53.35,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2018-02-18,54.4,54.4,54.4,0.0,0.0,54.4,54.4,54.4,0.0,0.0,52.65,52.65,52.65,0.0,0.0,54.3,54.3,54.3,0.0,0.0
2018-02-25,49.0,49.0,49.0,0.0,0.0,51.56,51.56,51.56,0.0,0.0,48.1,48.1,48.1,0.0,0.0,51.24,51.24,51.24,0.0,0.0
2018-03-04,54.5,54.5,54.5,0.0,0.0,55.51,55.51,55.51,0.0,0.0,53.14,53.14,53.14,0.0,0.0,55.51,55.51,55.51,0.0,0.0
2018-03-11,50.63,50.63,50.63,0.0,0.0,50.7,50.7,50.7,0.0,0.0,49.68,49.68,49.68,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2018-03-18,47.21,47.21,47.21,0.0,0.0,50.73,50.73,50.73,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.63,47.63,47.63,0.0,0.0
