Date,PowerShares FTSE International Low Beta Equal Weig_etf_Open_average,PowerShares FTSE International Low Beta Equal Weig_etf_Open_max,PowerShares FTSE International Low Beta Equal Weig_etf_Open_min,PowerShares FTSE International Low Beta Equal Weig_etf_Open_volatility,PowerShares FTSE International Low Beta Equal Weig_etf_Open_change,PowerShares FTSE International Low Beta Equal Weig_etf_High_average,PowerShares FTSE International Low Beta Equal Weig_etf_High_max,PowerShares FTSE International Low Beta Equal Weig_etf_High_min,PowerShares FTSE International Low Beta Equal Weig_etf_High_volatility,PowerShares FTSE International Low Beta Equal Weig_etf_High_change,PowerShares FTSE International Low Beta Equal Weig_etf_Low_average,PowerShares FTSE International Low Beta Equal Weig_etf_Low_max,PowerShares FTSE International Low Beta Equal Weig_etf_Low_min,PowerShares FTSE International Low Beta Equal Weig_etf_Low_volatility,PowerShares FTSE International Low Beta Equal Weig_etf_Low_change,PowerShares FTSE International Low Beta Equal Weig_etf_Close_average,PowerShares FTSE International Low Beta Equal Weig_etf_Close_max,PowerShares FTSE International Low Beta Equal Weig_etf_Close_min,PowerShares FTSE International Low Beta Equal Weig_etf_Close_volatility,PowerShares FTSE International Low Beta Equal Weig_etf_Close_change
2018-01-14,31.39,31.39,31.39,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-01-21,31.85,31.85,31.85,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.57,31.57,31.57,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-01-28,31.2,31.2,31.2,0.0,0.0,31.2,31.2,31.2,0.0,0.0,31.06,31.06,31.06,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-02-04,29.48,29.48,29.48,0.0,0.0,29.56,29.56,29.56,0.0,0.0,28.83,28.83,28.83,0.0,0.0,29.31,29.31,29.31,0.0,0.0
2018-02-11,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-02-18,30.47,30.47,30.47,0.0,0.0,30.66,30.66,30.66,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.66,30.66,30.66,0.0,0.0
2018-02-25,29.76,29.76,29.76,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.95,29.95,29.95,0.0,0.0
2018-03-04,30.56,30.56,30.56,0.0,0.0,30.59,30.59,30.59,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-03-11,30.53,30.53,30.53,0.0,0.0,30.53,30.53,30.53,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-03-18,29.86,29.86,29.86,0.0,0.0,29.86,29.86,29.86,0.0,0.0,29.69,29.69,29.69,0.0,0.0,29.69,29.69,29.69,0.0,0.0
