Date,TREC_Open_average,TREC_Open_max,TREC_Open_min,TREC_Open_volatility,TREC_Open_change,TREC_High_average,TREC_High_max,TREC_High_min,TREC_High_volatility,TREC_High_change,TREC_Low_average,TREC_Low_max,TREC_Low_min,TREC_Low_volatility,TREC_Low_change,TREC_Close_average,TREC_Close_max,TREC_Close_min,TREC_Close_volatility,TREC_Close_change,TREC_Volume_average,TREC_Volume_max,TREC_Volume_min,TREC_Volume_volatility,TREC_Volume_change
2018-01-14,13.85,14.0,13.75,0.25,0.09999999999999964,14.02,14.25,13.9,0.34999999999999964,-0.25,13.73,13.75,13.7,0.05000000000000071,0.05000000000000071,13.870000000000001,14.05,13.75,0.3000000000000007,0.15000000000000036,33672,59512,24561,34951,-32117
2018-01-21,13.83,13.95,13.7,0.25,-0.25,13.89,14.0,13.75,0.25,-0.25,13.7,13.85,13.55,0.29999999999999893,-0.29999999999999893,13.74,13.9,13.6,0.3000000000000007,-0.3000000000000007,26223,38329,18760,19569,16692
2018-01-28,13.28,13.6,12.9,0.6999999999999993,-0.6999999999999993,13.42,13.65,13.2,0.45000000000000107,-0.40000000000000036,13.06,13.3,12.8,0.5,-0.34999999999999964,13.200000000000001,13.55,13.0,0.5500000000000007,-0.5500000000000007,54854,72112,39368,32744,15498
2018-02-04,12.86,13.0,12.8,0.1999999999999993,0.0,13.02,13.2,12.8,0.3999999999999986,-0.25,12.71,12.8,12.55,0.25,-0.14999999999999858,12.83,13.0,12.6,0.40000000000000036,-0.40000000000000036,50511,83090,34644,48446,10602
2018-02-11,12.35,12.5,12.25,0.25,-0.25,12.545,12.6,12.5,0.09999999999999964,-0.09999999999999964,12.225,12.4,12.1,0.3000000000000007,-0.20000000000000107,12.3,12.4,12.2,0.20000000000000107,-0.20000000000000107,51354,103261,26465,76796,8270
2018-02-18,11.96,12.15,11.55,0.5999999999999996,-0.15000000000000036,12.136,12.35,12.0,0.34999999999999964,-0.25,11.74,12.1,11.4,0.6999999999999993,-0.25,11.89,12.15,11.5,0.6500000000000004,-0.25,61020,104494,27498,76996,33603
2018-02-25,11.28,12.0,10.8,1.1999999999999993,-1.1999999999999993,11.35,12.0,10.95,1.0500000000000007,-1.0500000000000007,11.004,11.7,10.65,1.049999999999999,-1.049999999999999,11.06,11.75,10.75,1.0,-1.0,84851,123037,22331,100706,77574
2018-03-04,11.85,13.6,10.45,3.1500000000000004,2.8499999999999996,12.56,14.05,10.75,3.3000000000000007,3.3000000000000007,11.66,13.6,10.25,3.3499999999999996,3.1999999999999993,12.36,13.85,10.45,3.4000000000000004,3.4000000000000004,154892,427381,78285,349096,9404
2018-03-11,13.62,13.9,13.35,0.5500000000000007,-0.5,13.776,13.95,13.45,0.5,-0.5,13.4,13.6,13.15,0.4499999999999993,-0.4499999999999993,13.45,13.7,13.15,0.5499999999999989,-0.5499999999999989,75623,135705,49887,85818,8703
2018-03-18,13.11,13.25,12.9,0.34999999999999964,-0.25,13.414,13.62,13.25,0.3699999999999992,-0.05000000000000071,12.98,13.1,12.9,0.1999999999999993,0.0,13.17,13.35,12.9,0.4499999999999993,0.25,37225,71477,19346,52131,-38356
2018-03-25,13.45,13.5,13.4,0.09999999999999964,0.09999999999999964,13.5625,13.62,13.53,0.08999999999999986,-0.02000000000000135,13.2075,13.38,13.05,0.33000000000000007,-0.129999999999999,13.3875,13.6,13.15,0.4499999999999993,-0.29999999999999893,44636,61646,28184,33462,4888
2018-04-01,13.56,13.85,13.2,0.6500000000000004,0.5500000000000007,13.87,14.1,13.5,0.5999999999999996,0.4499999999999993,13.404,13.72,13.05,0.6699999999999999,0.4499999999999993,13.68,13.95,13.45,0.5,0.10000000000000142,36431,46273,29302,16971,4719
2018-04-08,13.63,13.75,13.55,0.1999999999999993,0.05000000000000071,13.815999999999999,13.95,13.7,0.25,-0.019999999999999574,13.46,13.55,13.35,0.20000000000000107,0.15000000000000036,13.64,13.8,13.5,0.3000000000000007,0.10000000000000142,31953,59154,11095,48059,-14682
2018-04-15,14.07,14.3,13.9,0.40000000000000036,0.09999999999999964,14.24,14.4,14.05,0.34999999999999964,-0.05000000000000071,13.95,14.1,13.8,0.29999999999999893,0.1999999999999993,14.11,14.2,13.95,0.25,0.0,26988,31343,19838,11505,-11505
2018-04-22,13.58,14.3,13.2,1.1000000000000014,-0.9500000000000011,13.76,14.4,13.4,1.0,-1.0,13.31,13.95,12.95,1.0,-1.0,13.38,14.0,12.95,1.0500000000000007,-1.0500000000000007,33572,54860,25047,29813,4725
2018-04-29,12.63,13.2,12.25,0.9499999999999993,-0.6500000000000004,12.848,13.3,12.45,0.8500000000000014,-0.8500000000000014,12.42,12.8,12.2,0.6000000000000014,-0.5500000000000007,12.58,13.3,12.25,1.0500000000000007,-0.9500000000000011,49114,80037,20247,59790,55595
2018-05-06,12.58,13.25,12.35,0.9000000000000004,0.9000000000000004,12.76,13.25,12.35,0.9000000000000004,0.9000000000000004,12.47,12.95,12.25,0.6999999999999993,0.6999999999999993,12.71,13.25,12.3,0.9499999999999993,0.7000000000000011,42814,61010,20246,40764,-40764
2018-05-13,13.3,13.65,12.95,0.7000000000000011,0.6000000000000014,13.494,13.65,13.15,0.5,0.5,13.23,13.5,12.95,0.5500000000000007,0.5500000000000007,13.41,13.55,13.1,0.45000000000000107,0.45000000000000107,23015,27247,16105,11142,5007
2018-05-20,13.5125,13.65,13.45,0.20000000000000107,0.05000000000000071,13.675,13.75,13.6,0.15000000000000036,0.09999999999999964,13.424999999999999,13.45,13.35,0.09999999999999964,-0.09999999999999964,13.5375,13.65,13.5,0.15000000000000036,0.0,30915,41234,19999,21235,21235
2018-05-27,13.82,14.0,13.4,0.5999999999999996,0.5999999999999996,14.058,14.29,13.75,0.5399999999999991,0.5399999999999991,13.77,14.0,13.4,0.5999999999999996,0.5999999999999996,13.98,14.2,13.7,0.5,0.5,47648,55430,36696,18734,13866
2018-06-03,13.84,14.2,13.65,0.5499999999999989,-0.5499999999999989,13.9,14.2,13.65,0.5499999999999989,-0.5499999999999989,13.58,13.8,13.2,0.6000000000000014,-0.6000000000000014,13.64,13.85,13.25,0.5999999999999996,-0.5999999999999996,32250,43805,17487,26318,-3382
2018-06-10,13.63,13.9,13.25,0.6500000000000004,0.5500000000000007,13.88,14.15,13.4,0.75,0.75,13.48,13.8,13.1,0.7000000000000011,0.7000000000000011,13.81,14.1,13.4,0.6999999999999993,0.6999999999999993,35246,40265,28458,11807,-11807
2018-06-17,14.44,14.8,14.0,0.8000000000000007,0.6500000000000004,14.706,15.1,14.28,0.8200000000000003,0.370000000000001,14.21,14.5,13.8,0.6999999999999993,0.34999999999999964,14.52,14.75,14.1,0.6500000000000004,0.40000000000000036,76394,187196,40047,147149,-8095
