Date,ProShares Short FTSE China 50_Open_average,ProShares Short FTSE China 50_Open_max,ProShares Short FTSE China 50_Open_min,ProShares Short FTSE China 50_Open_volatility,ProShares Short FTSE China 50_Open_change,ProShares Short FTSE China 50_High_average,ProShares Short FTSE China 50_High_max,ProShares Short FTSE China 50_High_min,ProShares Short FTSE China 50_High_volatility,ProShares Short FTSE China 50_High_change,ProShares Short FTSE China 50_Low_average,ProShares Short FTSE China 50_Low_max,ProShares Short FTSE China 50_Low_min,ProShares Short FTSE China 50_Low_volatility,ProShares Short FTSE China 50_Low_change,ProShares Short FTSE China 50_Close_average,ProShares Short FTSE China 50_Close_max,ProShares Short FTSE China 50_Close_min,ProShares Short FTSE China 50_Close_volatility,ProShares Short FTSE China 50_Close_change
2018-01-14,17.17,17.17,17.17,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.11,17.11,17.11,0.0,0.0,17.11,17.11,17.11,0.0,0.0
2018-01-21,16.69,16.69,16.69,0.0,0.0,16.78,16.78,16.78,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.78,16.78,16.78,0.0,0.0
2018-01-28,17.1,17.1,17.1,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.75,17.75,17.75,0.0,0.0
2018-02-04,18.95,18.95,18.95,0.0,0.0,19.09,19.09,19.09,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.87,18.87,18.87,0.0,0.0
2018-02-11,17.82,17.82,17.82,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2018-02-18,17.62,17.62,17.62,0.0,0.0,17.66,17.66,17.66,0.0,0.0,17.47,17.47,17.47,0.0,0.0,17.47,17.47,17.47,0.0,0.0
2018-02-25,18.8,18.8,18.8,0.0,0.0,18.82,18.82,18.82,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.52,18.52,18.52,0.0,0.0
2018-03-04,17.77,17.77,17.77,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.77,17.77,17.77,0.0,0.0,17.82,17.82,17.82,0.0,0.0
2018-03-11,17.88,17.88,17.88,0.0,0.0,18.11,18.11,18.11,0.0,0.0,17.88,17.88,17.88,0.0,0.0,18.07,18.07,18.07,0.0,0.0
2018-03-18,18.37,18.37,18.37,0.0,0.0,18.63,18.63,18.63,0.0,0.0,18.25,18.25,18.25,0.0,0.0,18.25,18.25,18.25,0.0,0.0
