Date,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Open_average,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Open_max,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Open_min,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Open_volatility,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Open_change,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_High_average,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_High_max,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_High_min,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_High_volatility,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_High_change,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Low_average,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Low_max,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Low_min,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Low_volatility,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Low_change,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Close_average,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Close_max,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Close_min,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Close_volatility,Guggenheim Invest S&P 500 Equal Weight TechnologyEtf_Close_change
2018-01-14,153.82,153.82,153.82,0.0,0.0,154.0,154.0,154.0,0.0,0.0,153.21,153.21,153.21,0.0,0.0,153.98,153.98,153.98,0.0,0.0
2018-01-21,154.8,154.8,154.8,0.0,0.0,156.69,156.69,156.69,0.0,0.0,154.8,154.8,154.8,0.0,0.0,156.68,156.68,156.68,0.0,0.0
2018-01-28,154.1,154.1,154.1,0.0,0.0,154.11,154.11,154.11,0.0,0.0,151.59,151.59,151.59,0.0,0.0,151.59,151.59,151.59,0.0,0.0
2018-02-04,142.67,142.67,142.67,0.0,0.0,145.09,145.09,145.09,0.0,0.0,138.92,138.92,138.92,0.0,0.0,144.1,144.1,144.1,0.0,0.0
2018-02-11,152.25,152.25,152.25,0.0,0.0,154.01,154.01,154.01,0.0,0.0,152.25,152.25,152.25,0.0,0.0,152.66,152.66,152.66,0.0,0.0
2018-02-18,153.33,153.33,153.33,0.0,0.0,155.09,155.09,155.09,0.0,0.0,153.11,153.11,153.11,0.0,0.0,155.05,155.05,155.05,0.0,0.0
2018-02-25,151.7,151.7,151.7,0.0,0.0,155.19,155.19,155.19,0.0,0.0,151.39,151.39,151.39,0.0,0.0,154.98,154.98,154.98,0.0,0.0
2018-03-04,160.45,160.45,160.45,0.0,0.0,162.2,162.2,162.2,0.0,0.0,160.45,160.45,160.45,0.0,0.0,162.18,162.18,162.18,0.0,0.0
2018-03-11,160.97,160.97,160.97,0.0,0.0,161.62,161.62,161.62,0.0,0.0,160.7,160.7,160.7,0.0,0.0,160.72,160.72,160.72,0.0,0.0
2018-03-18,154.38,154.38,154.38,0.0,0.0,154.89,154.89,154.89,0.0,0.0,150.17,150.17,150.17,0.0,0.0,150.17,150.17,150.17,0.0,0.0
