Date,Direxion Daily S&P 500 Bull 2X Shares_Open_average,Direxion Daily S&P 500 Bull 2X Shares_Open_max,Direxion Daily S&P 500 Bull 2X Shares_Open_min,Direxion Daily S&P 500 Bull 2X Shares_Open_volatility,Direxion Daily S&P 500 Bull 2X Shares_Open_change,Direxion Daily S&P 500 Bull 2X Shares_High_average,Direxion Daily S&P 500 Bull 2X Shares_High_max,Direxion Daily S&P 500 Bull 2X Shares_High_min,Direxion Daily S&P 500 Bull 2X Shares_High_volatility,Direxion Daily S&P 500 Bull 2X Shares_High_change,Direxion Daily S&P 500 Bull 2X Shares_Low_average,Direxion Daily S&P 500 Bull 2X Shares_Low_max,Direxion Daily S&P 500 Bull 2X Shares_Low_min,Direxion Daily S&P 500 Bull 2X Shares_Low_volatility,Direxion Daily S&P 500 Bull 2X Shares_Low_change,Direxion Daily S&P 500 Bull 2X Shares_Close_average,Direxion Daily S&P 500 Bull 2X Shares_Close_max,Direxion Daily S&P 500 Bull 2X Shares_Close_min,Direxion Daily S&P 500 Bull 2X Shares_Close_volatility,Direxion Daily S&P 500 Bull 2X Shares_Close_change
2018-01-14,54.4,54.4,54.4,0.0,0.0,54.62,54.62,54.62,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.62,54.62,54.62,0.0,0.0
2018-01-21,56.36,56.36,56.36,0.0,0.0,57.21,57.21,57.21,0.0,0.0,56.36,56.36,56.36,0.0,0.0,57.21,57.21,57.21,0.0,0.0
2018-01-28,54.59,54.59,54.59,0.0,0.0,54.59,54.59,54.59,0.0,0.0,52.81,52.81,52.81,0.0,0.0,52.81,52.81,52.81,0.0,0.0
2018-02-04,47.12,47.12,47.12,0.0,0.0,48.0,48.0,48.0,0.0,0.0,44.69,44.69,44.69,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2018-02-11,51.34,51.34,51.34,0.0,0.0,52.41,52.41,52.41,0.0,0.0,51.34,51.34,51.34,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2018-02-18,51.1,51.1,51.1,0.0,0.0,52.13,52.13,52.13,0.0,0.0,51.08,51.08,51.08,0.0,0.0,52.12,52.12,52.12,0.0,0.0
2018-02-25,48.82,48.82,48.82,0.0,0.0,49.89,49.89,49.89,0.0,0.0,48.5,48.5,48.5,0.0,0.0,49.89,49.89,49.89,0.0,0.0
2018-03-04,52.48,52.48,52.48,0.0,0.0,53.47,53.47,53.47,0.0,0.0,52.4,52.4,52.4,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2018-03-11,52.4,52.4,52.4,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.27,52.27,52.27,0.0,0.0,52.27,52.27,52.27,0.0,0.0
2018-03-18,48.39,48.39,48.39,0.0,0.0,48.43,48.43,48.43,0.0,0.0,46.11,46.11,46.11,0.0,0.0,46.12,46.12,46.12,0.0,0.0
2018-03-25,47.18,47.18,47.18,0.0,0.0,48.34,48.34,48.34,0.0,0.0,46.92,46.92,46.92,0.0,0.0,48.34,48.34,48.34,0.0,0.0
2018-04-01,47.86,47.86,47.86,0.0,0.0,49.07,49.07,49.07,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.61,46.61,46.61,0.0,0.0
2018-04-08,49.34,49.34,49.34,0.0,0.0,49.34,49.34,49.34,0.0,0.0,48.6,48.6,48.6,0.0,0.0,48.73,48.73,48.73,0.0,0.0
2018-04-15,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-04-22,49.08,49.08,49.08,0.0,0.0,49.21,49.21,49.21,0.0,0.0,49.05,49.05,49.05,0.0,0.0,49.15,49.15,49.15,0.0,0.0
2018-04-29,47.01,47.01,47.01,0.0,0.0,48.75,48.75,48.75,0.0,0.0,47.01,47.01,47.01,0.0,0.0,48.58,48.58,48.58,0.0,0.0
2018-05-06,51.02,51.02,51.02,0.0,0.0,51.13,51.13,51.13,0.0,0.0,50.72,50.72,50.72,0.0,0.0,51.01,51.01,51.01,0.0,0.0
2018-05-13,50.73,50.73,50.73,0.0,0.0,50.73,50.73,50.73,0.0,0.0,50.67,50.67,50.67,0.0,0.0,50.72,50.72,50.72,0.0,0.0
2018-05-20,50.93,50.93,50.93,0.0,0.0,51.04,51.04,51.04,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.99,50.99,50.99,0.0,0.0
