Date,ENG_stock_Open_average,ENG_stock_Open_max,ENG_stock_Open_min,ENG_stock_Open_volatility,ENG_stock_Open_change,ENG_stock_High_average,ENG_stock_High_max,ENG_stock_High_min,ENG_stock_High_volatility,ENG_stock_High_change,ENG_stock_Low_average,ENG_stock_Low_max,ENG_stock_Low_min,ENG_stock_Low_volatility,ENG_stock_Low_change,ENG_stock_Close_average,ENG_stock_Close_max,ENG_stock_Close_min,ENG_stock_Close_volatility,ENG_stock_Close_change,ENG_stock_Volume_average,ENG_stock_Volume_max,ENG_stock_Volume_min,ENG_stock_Volume_volatility,ENG_stock_Volume_change
2018-01-14,0.8634999999999999,0.8899,0.835,0.05490000000000006,-0.025000000000000022,0.9231750000000001,0.9596,0.8749,0.0847,0.03959999999999997,0.85125,0.86,0.835,0.025000000000000022,-0.025000000000000022,0.883375,0.9044,0.8575,0.04689999999999994,0.014399999999999968,67017,200487,12984,187503,187503
2018-01-21,0.89378,0.9275,0.87,0.057499999999999996,-0.011399999999999966,0.91782,0.95,0.871,0.07899999999999996,-0.07899999999999996,0.86422,0.8847,0.8143,0.07040000000000002,-0.06709999999999994,0.89132,0.9313,0.86,0.07130000000000003,-0.07130000000000003,30345,39686,16550,23136,2241
2018-01-28,0.8375,0.87,0.8065,0.0635,-0.029000000000000026,0.8697,0.8875,0.841,0.046499999999999986,-0.046499999999999986,0.8077,0.83,0.8,0.029999999999999916,-0.029000000000000026,0.8204,0.85,0.8009999999999999,0.049000000000000044,-0.039000000000000035,35082,69080,21107,47973,-45254
2018-02-04,0.79924,0.82,0.7712,0.048799999999999955,-0.028800000000000048,0.824,0.85,0.81,0.039999999999999925,-0.030000000000000027,0.77816,0.8,0.75,0.050000000000000044,-0.050000000000000044,0.78986,0.8089,0.76,0.048899999999999944,-0.048899999999999944,38210,68379,26810,41569,41569
2018-02-11,0.79796,0.82,0.75,0.06999999999999995,-0.008199999999999985,0.80836,0.82,0.79,0.029999999999999916,-0.008199999999999985,0.76948,0.8001,0.75,0.05010000000000003,0.04349999999999998,0.78546,0.8056,0.7566,0.04899999999999993,0.04899999999999993,15585,29946,3832,26114,-20937
2018-02-18,0.83125,0.85,0.81,0.039999999999999925,0.020000000000000018,0.84925,0.87,0.83,0.040000000000000036,0.020000000000000018,0.803,0.81,0.792,0.018000000000000016,-0.010000000000000009,0.8166,0.83,0.8064,0.023599999999999954,-0.019999999999999907,24336,29363,17299,12064,4108
2018-02-25,0.7910200000000001,0.82,0.77,0.04999999999999993,-0.04999999999999993,0.8066,0.82,0.79,0.029999999999999916,-0.029999999999999916,0.77002,0.8,0.755,0.04500000000000004,-0.040000000000000036,0.7915800000000001,0.81,0.77,0.040000000000000036,-0.019899999999999918,7950,13832,3987,9845,2817
2018-03-04,0.8134600000000001,0.8273,0.8,0.02729999999999999,-0.010000000000000009,0.818,0.83,0.81,0.019999999999999907,0.009999999999999898,0.7834,0.7952,0.77,0.0252,0.0252,0.79638,0.82,0.7803,0.03969999999999996,0.019999999999999907,17754,37305,2548,34757,-11360
2018-03-11,0.87334,0.99,0.82,0.17000000000000004,0.046700000000000075,0.8851,0.99,0.84,0.15000000000000002,0.07000000000000006,0.838,0.87,0.82,0.050000000000000044,0.050000000000000044,0.86128,0.91,0.8298,0.08020000000000005,0.08020000000000005,60823,148485,21047,127438,43633
2018-03-18,0.8923800000000001,0.92,0.856,0.06400000000000006,-0.010000000000000009,0.9018,0.92,0.87,0.050000000000000044,-0.010000000000000009,0.854,0.87,0.84,0.030000000000000027,-0.010000000000000009,0.882,0.9,0.86,0.040000000000000036,-0.020000000000000018,32214,93049,9788,83261,9094
2018-03-25,0.87625,0.9,0.86,0.040000000000000036,0.015000000000000013,0.8845000000000001,0.9,0.878,0.02200000000000002,0.0020000000000000018,0.853425,0.873,0.8320000000000001,0.040999999999999925,-0.03299999999999992,0.8607,0.8779,0.8320000000000001,0.04589999999999994,-0.04589999999999994,17238,31484,1709,29775,21620
2018-04-01,0.8236,0.8362,0.79,0.04620000000000002,0.0,0.8408599999999999,0.847,0.8322,0.014799999999999924,-0.007799999999999918,0.79,0.81,0.75,0.06000000000000005,0.010000000000000009,0.81298,0.83,0.8,0.029999999999999916,-0.015100000000000002,19972,35886,4983,30903,-18370
2018-04-08,0.8116,0.838,0.8,0.03799999999999992,-0.019999999999999907,0.83218,0.8429,0.81,0.03289999999999993,-0.012900000000000023,0.802,0.81,0.8,0.010000000000000009,-0.010000000000000009,0.8218,0.84,0.81,0.029999999999999916,0.019000000000000017,11158,23492,2501,20991,13035
