Date,Amplify Online Retail_Open_average,Amplify Online Retail_Open_max,Amplify Online Retail_Open_min,Amplify Online Retail_Open_volatility,Amplify Online Retail_Open_change,Amplify Online Retail_High_average,Amplify Online Retail_High_max,Amplify Online Retail_High_min,Amplify Online Retail_High_volatility,Amplify Online Retail_High_change,Amplify Online Retail_Low_average,Amplify Online Retail_Low_max,Amplify Online Retail_Low_min,Amplify Online Retail_Low_volatility,Amplify Online Retail_Low_change,Amplify Online Retail_Close_average,Amplify Online Retail_Close_max,Amplify Online Retail_Close_min,Amplify Online Retail_Close_volatility,Amplify Online Retail_Close_change
2018-01-14,44.22,44.22,44.22,0.0,0.0,44.74,44.74,44.74,0.0,0.0,44.0,44.0,44.0,0.0,0.0,44.43,44.43,44.43,0.0,0.0
2018-01-21,45.2,45.2,45.2,0.0,0.0,45.45,45.45,45.45,0.0,0.0,45.01,45.01,45.01,0.0,0.0,45.12,45.12,45.12,0.0,0.0
2018-01-28,43.18,43.18,43.18,0.0,0.0,44.04,44.04,44.04,0.0,0.0,41.01,41.01,41.01,0.0,0.0,42.5,42.5,42.5,0.0,0.0
2018-02-04,42.96,42.96,42.96,0.0,0.0,43.45,43.45,43.45,0.0,0.0,42.3,42.3,42.3,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2018-02-11,45.83,45.83,45.83,0.0,0.0,46.12,46.12,46.12,0.0,0.0,45.62,45.62,45.62,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2018-02-18,46.54,46.54,46.54,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.09,46.09,46.09,0.0,0.0,46.38,46.38,46.38,0.0,0.0
2018-02-25,45.62,45.62,45.62,0.0,0.0,46.53,46.53,46.53,0.0,0.0,45.38,45.38,45.38,0.0,0.0,46.42,46.42,46.42,0.0,0.0
2018-03-04,47.81,47.81,47.81,0.0,0.0,47.94,47.94,47.94,0.0,0.0,47.65,47.65,47.65,0.0,0.0,47.68,47.68,47.68,0.0,0.0
2018-03-11,46.96,46.96,46.96,0.0,0.0,46.96,46.96,46.96,0.0,0.0,45.94,45.94,45.94,0.0,0.0,46.33,46.33,46.33,0.0,0.0
2018-03-18,45.61,45.61,45.61,0.0,0.0,46.19,46.19,46.19,0.0,0.0,45.07,45.07,45.07,0.0,0.0,46.11,46.11,46.11,0.0,0.0
2018-03-25,44.97,44.97,44.97,0.0,0.0,44.97,44.97,44.97,0.0,0.0,43.44,43.44,43.44,0.0,0.0,43.64,43.64,43.64,0.0,0.0
2018-04-01,44.55,44.55,44.55,0.0,0.0,45.09,45.09,45.09,0.0,0.0,44.37,44.37,44.37,0.0,0.0,44.37,44.37,44.37,0.0,0.0
2018-04-08,45.14,45.14,45.14,0.0,0.0,45.38,45.38,45.38,0.0,0.0,44.8,44.8,44.8,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2018-04-15,46.08,46.08,46.08,0.0,0.0,46.44,46.44,46.44,0.0,0.0,45.73,45.73,45.73,0.0,0.0,45.92,45.92,45.92,0.0,0.0
2018-04-22,45.01,45.01,45.01,0.0,0.0,45.34,45.34,45.34,0.0,0.0,44.72,44.72,44.72,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2018-04-29,45.91,45.91,45.91,0.0,0.0,46.29,46.29,46.29,0.0,0.0,45.78,45.78,45.78,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2018-05-06,46.53,46.53,46.53,0.0,0.0,46.7,46.7,46.7,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.26,46.26,46.26,0.0,0.0
2018-05-13,46.82,46.82,46.82,0.0,0.0,47.09,47.09,47.09,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.75,46.75,46.75,0.0,0.0
2018-05-20,46.66,46.66,46.66,0.0,0.0,46.96,46.96,46.96,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2018-05-27,48.22,48.22,48.22,0.0,0.0,48.42,48.42,48.42,0.0,0.0,47.92,47.92,47.92,0.0,0.0,48.39,48.39,48.39,0.0,0.0
2018-06-03,50.36,50.36,50.36,0.0,0.0,50.69,50.69,50.69,0.0,0.0,50.34,50.34,50.34,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2018-06-10,52.56,52.56,52.56,0.0,0.0,53.25,53.25,53.25,0.0,0.0,52.45,52.45,52.45,0.0,0.0,53.19,53.19,53.19,0.0,0.0
2018-06-17,52.17,52.17,52.17,0.0,0.0,52.2,52.2,52.2,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.94,50.94,50.94,0.0,0.0
2018-06-24,50.82,50.82,50.82,0.0,0.0,51.5,51.5,51.5,0.0,0.0,50.64,50.64,50.64,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2018-07-01,53.56,53.56,53.56,0.0,0.0,53.56,53.56,53.56,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2018-07-08,52.75,52.75,52.75,0.0,0.0,52.99,52.99,52.99,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.83,52.83,52.83,0.0,0.0
2018-07-15,52.63,52.63,52.63,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.6,52.6,52.6,0.0,0.0
2018-07-22,51.98,51.98,51.98,0.0,0.0,52.12,52.12,52.12,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.67,50.67,50.67,0.0,0.0
2018-07-29,51.18,51.18,51.18,0.0,0.0,51.97,51.97,51.97,0.0,0.0,51.11,51.11,51.11,0.0,0.0,51.97,51.97,51.97,0.0,0.0
2018-08-05,53.23,53.23,53.23,0.0,0.0,53.3,53.3,53.3,0.0,0.0,52.4,52.4,52.4,0.0,0.0,52.4,52.4,52.4,0.0,0.0
2018-08-12,51.54,51.54,51.54,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-08-19,53.49,53.49,53.49,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2018-08-26,53.43,53.43,53.43,0.0,0.0,54.19,54.19,54.19,0.0,0.0,53.35,53.35,53.35,0.0,0.0,54.14,54.14,54.14,0.0,0.0
2018-09-02,52.6,52.6,52.6,0.0,0.0,52.82,52.82,52.82,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.68,52.68,52.68,0.0,0.0
2018-09-09,53.57,53.57,53.57,0.0,0.0,53.57,53.57,53.57,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.56,52.56,52.56,0.0,0.0
