Date,SPDR SSGA Gender Diversity_Open_average,SPDR SSGA Gender Diversity_Open_max,SPDR SSGA Gender Diversity_Open_min,SPDR SSGA Gender Diversity_Open_volatility,SPDR SSGA Gender Diversity_Open_change,SPDR SSGA Gender Diversity_High_average,SPDR SSGA Gender Diversity_High_max,SPDR SSGA Gender Diversity_High_min,SPDR SSGA Gender Diversity_High_volatility,SPDR SSGA Gender Diversity_High_change,SPDR SSGA Gender Diversity_Low_average,SPDR SSGA Gender Diversity_Low_max,SPDR SSGA Gender Diversity_Low_min,SPDR SSGA Gender Diversity_Low_volatility,SPDR SSGA Gender Diversity_Low_change,SPDR SSGA Gender Diversity_Close_average,SPDR SSGA Gender Diversity_Close_max,SPDR SSGA Gender Diversity_Close_min,SPDR SSGA Gender Diversity_Close_volatility,SPDR SSGA Gender Diversity_Close_change
2018-01-14,74.17,74.17,74.17,0.0,0.0,74.47,74.47,74.47,0.0,0.0,74.17,74.17,74.17,0.0,0.0,74.46,74.46,74.46,0.0,0.0
2018-01-21,75.63,75.63,75.63,0.0,0.0,75.63,75.63,75.63,0.0,0.0,75.21,75.21,75.21,0.0,0.0,75.21,75.21,75.21,0.0,0.0
2018-01-28,72.35,72.35,72.35,0.0,0.0,72.6,72.6,72.6,0.0,0.0,69.64,69.64,69.64,0.0,0.0,70.05,70.05,70.05,0.0,0.0
2018-02-04,69.51,69.51,69.51,0.0,0.0,70.1,70.1,70.1,0.0,0.0,69.32,69.32,69.32,0.0,0.0,69.79,69.79,69.79,0.0,0.0
2018-02-11,71.65,71.65,71.65,0.0,0.0,71.95,71.95,71.95,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.8,71.8,71.8,0.0,0.0
2018-02-18,72.21,72.21,72.21,0.0,0.0,72.48,72.48,72.48,0.0,0.0,71.97,71.97,71.97,0.0,0.0,72.48,72.48,72.48,0.0,0.0
2018-02-25,70.65,70.65,70.65,0.0,0.0,71.84,71.84,71.84,0.0,0.0,70.65,70.65,70.65,0.0,0.0,71.84,71.84,71.84,0.0,0.0
2018-03-04,73.14,73.14,73.14,0.0,0.0,73.14,73.14,73.14,0.0,0.0,72.89,72.89,72.89,0.0,0.0,72.93,72.93,72.93,0.0,0.0
2018-03-11,72.14,72.14,72.14,0.0,0.0,72.14,72.14,72.14,0.0,0.0,70.91,70.91,70.91,0.0,0.0,71.28,71.28,71.28,0.0,0.0
2018-03-18,69.38,69.38,69.38,0.0,0.0,70.18,70.18,70.18,0.0,0.0,69.13,69.13,69.13,0.0,0.0,70.11,70.11,70.11,0.0,0.0
2018-03-25,69.77,69.77,69.77,0.0,0.0,69.77,69.77,69.77,0.0,0.0,67.95,67.95,67.95,0.0,0.0,68.18,68.18,68.18,0.0,0.0
