Date,Global X Scientific Beta Europe_Open_average,Global X Scientific Beta Europe_Open_max,Global X Scientific Beta Europe_Open_min,Global X Scientific Beta Europe_Open_volatility,Global X Scientific Beta Europe_Open_change,Global X Scientific Beta Europe_High_average,Global X Scientific Beta Europe_High_max,Global X Scientific Beta Europe_High_min,Global X Scientific Beta Europe_High_volatility,Global X Scientific Beta Europe_High_change,Global X Scientific Beta Europe_Low_average,Global X Scientific Beta Europe_Low_max,Global X Scientific Beta Europe_Low_min,Global X Scientific Beta Europe_Low_volatility,Global X Scientific Beta Europe_Low_change,Global X Scientific Beta Europe_Close_average,Global X Scientific Beta Europe_Close_max,Global X Scientific Beta Europe_Close_min,Global X Scientific Beta Europe_Close_volatility,Global X Scientific Beta Europe_Close_change
2018-01-14,29.37,29.37,29.37,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.37,29.37,29.37,0.0,0.0
2018-01-21,29.59,29.59,29.59,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.59,29.59,29.59,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-01-28,28.92,28.92,28.92,0.0,0.0,28.92,28.92,28.92,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2018-02-04,27.45,27.45,27.45,0.0,0.0,27.45,27.45,27.45,0.0,0.0,26.9,26.9,26.9,0.0,0.0,27.34,27.34,27.34,0.0,0.0
2018-02-11,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0,28.6,28.6,28.6,0.0,0.0
2018-02-18,28.44,28.44,28.44,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.27,28.27,28.27,0.0,0.0,28.27,28.27,28.27,0.0,0.0
2018-02-25,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0,27.59,27.59,27.59,0.0,0.0
2018-03-04,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-03-11,28.24,28.24,28.24,0.0,0.0,28.25,28.25,28.25,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.18,28.18,28.18,0.0,0.0
2018-03-18,27.55,27.55,27.55,0.0,0.0,27.75,27.75,27.75,0.0,0.0,27.5,27.5,27.5,0.0,0.0,27.5,27.5,27.5,0.0,0.0
2018-03-25,27.84,27.84,27.84,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.84,27.84,27.84,0.0,0.0,27.84,27.84,27.84,0.0,0.0
2018-04-01,28.01,28.01,28.01,0.0,0.0,28.01,28.01,28.01,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.8,27.8,27.8,0.0,0.0
2018-04-08,28.22,28.22,28.22,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.23,28.23,28.23,0.0,0.0
2018-04-15,28.77,28.77,28.77,0.0,0.0,28.94,28.94,28.94,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.8,28.8,28.8,0.0,0.0
2018-04-22,28.4,28.4,28.4,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-04-29,28.18,28.18,28.18,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-05-06,28.5,28.5,28.5,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-05-13,28.44,28.44,28.44,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.4,28.4,28.4,0.0,0.0
2018-05-20,28.17,28.17,28.17,0.0,0.0,28.17,28.17,28.17,0.0,0.0,27.98,27.98,27.98,0.0,0.0,28.14,28.14,28.14,0.0,0.0
2018-05-27,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0,27.6,27.6,27.6,0.0,0.0
2018-06-03,27.83,27.83,27.83,0.0,0.0,27.96,27.96,27.96,0.0,0.0,27.83,27.83,27.83,0.0,0.0,27.96,27.96,27.96,0.0,0.0
