Date,ProShares Large Cap Core Plus_etf_Open_average,ProShares Large Cap Core Plus_etf_Open_max,ProShares Large Cap Core Plus_etf_Open_min,ProShares Large Cap Core Plus_etf_Open_volatility,ProShares Large Cap Core Plus_etf_Open_change,ProShares Large Cap Core Plus_etf_High_average,ProShares Large Cap Core Plus_etf_High_max,ProShares Large Cap Core Plus_etf_High_min,ProShares Large Cap Core Plus_etf_High_volatility,ProShares Large Cap Core Plus_etf_High_change,ProShares Large Cap Core Plus_etf_Low_average,ProShares Large Cap Core Plus_etf_Low_max,ProShares Large Cap Core Plus_etf_Low_min,ProShares Large Cap Core Plus_etf_Low_volatility,ProShares Large Cap Core Plus_etf_Low_change,ProShares Large Cap Core Plus_etf_Close_average,ProShares Large Cap Core Plus_etf_Close_max,ProShares Large Cap Core Plus_etf_Close_min,ProShares Large Cap Core Plus_etf_Close_volatility,ProShares Large Cap Core Plus_etf_Close_change
2018-01-14,69.88,69.88,69.88,0.0,0.0,70.0,70.0,70.0,0.0,0.0,69.76,69.76,69.76,0.0,0.0,69.97,69.97,69.97,0.0,0.0
2018-01-21,70.91,70.91,70.91,0.0,0.0,71.32,71.32,71.32,0.0,0.0,70.77,70.77,70.77,0.0,0.0,71.3,71.3,71.3,0.0,0.0
2018-01-28,69.62,69.62,69.62,0.0,0.0,69.62,69.62,69.62,0.0,0.0,68.39,68.39,68.39,0.0,0.0,68.48,68.48,68.48,0.0,0.0
2018-02-04,65.07,65.07,65.07,0.0,0.0,65.27,65.27,65.27,0.0,0.0,63.01,63.01,63.01,0.0,0.0,65.18,65.18,65.18,0.0,0.0
2018-02-11,68.08,68.08,68.08,0.0,0.0,68.73,68.73,68.73,0.0,0.0,68.08,68.08,68.08,0.0,0.0,68.31,68.31,68.31,0.0,0.0
2018-02-18,67.92,67.92,67.92,0.0,0.0,68.46,68.46,68.46,0.0,0.0,67.73,67.73,67.73,0.0,0.0,68.42,68.42,68.42,0.0,0.0
2018-02-25,66.66,66.66,66.66,0.0,0.0,67.57,67.57,67.57,0.0,0.0,66.48,66.48,66.48,0.0,0.0,67.57,67.57,67.57,0.0,0.0
2018-03-04,69.33,69.33,69.33,0.0,0.0,69.92,69.92,69.92,0.0,0.0,69.1,69.1,69.1,0.0,0.0,69.92,69.92,69.92,0.0,0.0
2018-03-11,68.97,68.97,68.97,0.0,0.0,69.3,69.3,69.3,0.0,0.0,68.97,68.97,68.97,0.0,0.0,69.11,69.11,69.11,0.0,0.0
2018-03-18,66.37,66.37,66.37,0.0,0.0,66.54,66.54,66.54,0.0,0.0,64.96,64.96,64.96,0.0,0.0,64.96,64.96,64.96,0.0,0.0
2018-03-25,65.94,65.94,65.94,0.0,0.0,66.76,66.76,66.76,0.0,0.0,65.68,65.68,65.68,0.0,0.0,66.53,66.53,66.53,0.0,0.0
2018-04-01,66.51,66.51,66.51,0.0,0.0,66.78,66.78,66.78,0.0,0.0,65.08,65.08,65.08,0.0,0.0,65.57,65.57,65.57,0.0,0.0
2018-04-08,67.31,67.31,67.31,0.0,0.0,67.31,67.31,67.31,0.0,0.0,66.51,66.51,66.51,0.0,0.0,66.72,66.72,66.72,0.0,0.0
2018-04-15,67.54,67.54,67.54,0.0,0.0,67.57,67.57,67.57,0.0,0.0,66.87,66.87,66.87,0.0,0.0,66.92,66.92,66.92,0.0,0.0
2018-04-22,67.37,67.37,67.37,0.0,0.0,67.37,67.37,67.37,0.0,0.0,66.91,66.91,66.91,0.0,0.0,67.18,67.18,67.18,0.0,0.0
2018-04-29,65.53,65.53,65.53,0.0,0.0,66.7,66.7,66.7,0.0,0.0,65.53,65.53,65.53,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2018-05-06,67.96,67.96,67.96,0.0,0.0,68.1,68.1,68.1,0.0,0.0,67.75,67.75,67.75,0.0,0.0,67.89,67.89,67.89,0.0,0.0
2018-05-13,67.9,67.9,67.9,0.0,0.0,67.91,67.91,67.91,0.0,0.0,67.72,67.72,67.72,0.0,0.0,67.72,67.72,67.72,0.0,0.0
2018-05-20,68.07,68.07,68.07,0.0,0.0,68.11,68.11,68.11,0.0,0.0,67.85,67.85,67.85,0.0,0.0,68.04,68.04,68.04,0.0,0.0
2018-05-27,68.15,68.15,68.15,0.0,0.0,68.36,68.36,68.36,0.0,0.0,68.06,68.06,68.06,0.0,0.0,68.26,68.26,68.26,0.0,0.0
2018-06-03,69.14,69.14,69.14,0.0,0.0,69.41,69.41,69.41,0.0,0.0,69.02,69.02,69.02,0.0,0.0,69.41,69.41,69.41,0.0,0.0
2018-06-10,69.04,69.04,69.04,0.0,0.0,69.34,69.34,69.34,0.0,0.0,68.89,68.89,68.89,0.0,0.0,69.34,69.34,69.34,0.0,0.0
2018-06-17,68.74,68.74,68.74,0.0,0.0,68.74,68.74,68.74,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.45,68.45,68.45,0.0,0.0
2018-06-24,67.96,67.96,67.96,0.0,0.0,68.23,68.23,68.23,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.53,67.53,67.53,0.0,0.0
2018-07-01,67.89,67.89,67.89,0.0,0.0,68.67,68.67,68.67,0.0,0.0,67.89,67.89,67.89,0.0,0.0,68.64,68.64,68.64,0.0,0.0
2018-07-08,69.35,69.35,69.35,0.0,0.0,69.56,69.56,69.56,0.0,0.0,69.34,69.34,69.34,0.0,0.0,69.44,69.44,69.44,0.0,0.0
2018-07-15,69.55,69.55,69.55,0.0,0.0,69.59,69.59,69.59,0.0,0.0,69.39,69.39,69.39,0.0,0.0,69.42,69.42,69.42,0.0,0.0
2018-07-22,69.93,69.93,69.93,0.0,0.0,70.06,70.06,70.06,0.0,0.0,69.36,69.36,69.36,0.0,0.0,69.55,69.55,69.55,0.0,0.0
2018-07-29,69.96,69.96,69.96,0.0,0.0,70.13,70.13,70.13,0.0,0.0,69.84,69.84,69.84,0.0,0.0,70.13,70.13,70.13,0.0,0.0
2018-08-05,70.25,70.25,70.25,0.0,0.0,70.41,70.41,70.41,0.0,0.0,70.04,70.04,70.04,0.0,0.0,70.2,70.2,70.2,0.0,0.0
2018-08-12,70.39,70.39,70.39,0.0,0.0,70.83,70.83,70.83,0.0,0.0,70.31,70.31,70.31,0.0,0.0,70.68,70.68,70.68,0.0,0.0
2018-08-19,71.03,71.03,71.03,0.0,0.0,71.44,71.44,71.44,0.0,0.0,71.03,71.03,71.03,0.0,0.0,71.42,71.42,71.42,0.0,0.0
2018-08-26,72.07,72.07,72.07,0.0,0.0,72.23,72.23,72.23,0.0,0.0,71.9,71.9,71.9,0.0,0.0,72.15,72.15,72.15,0.0,0.0
2018-09-02,71.27,71.27,71.27,0.0,0.0,71.55,71.55,71.55,0.0,0.0,71.19,71.19,71.19,0.0,0.0,71.27,71.27,71.27,0.0,0.0
2018-09-09,71.94,71.94,71.94,0.0,0.0,72.13,72.13,72.13,0.0,0.0,71.89,71.89,71.89,0.0,0.0,72.11,72.11,72.11,0.0,0.0
2018-09-16,72.85,72.85,72.85,0.0,0.0,72.92,72.92,72.92,0.0,0.0,72.72,72.72,72.72,0.0,0.0,72.75,72.75,72.75,0.0,0.0
2018-09-23,72.08,72.08,72.08,0.0,0.0,72.32,72.32,72.32,0.0,0.0,72.08,72.08,72.08,0.0,0.0,72.23,72.23,72.23,0.0,0.0
2018-09-30,71.83,71.83,71.83,0.0,0.0,71.83,71.83,71.83,0.0,0.0,71.16,71.16,71.16,0.0,0.0,71.41,71.41,71.41,0.0,0.0
2018-10-07,68.5,68.5,68.5,0.0,0.0,68.5,68.5,68.5,0.0,0.0,67.37,67.37,67.37,0.0,0.0,68.33,68.33,68.33,0.0,0.0
2018-10-14,68.88,68.88,68.88,0.0,0.0,68.88,68.88,68.88,0.0,0.0,68.08,68.08,68.08,0.0,0.0,68.21,68.21,68.21,0.0,0.0
2018-10-21,65.23,65.23,65.23,0.0,0.0,66.11,66.11,66.11,0.0,0.0,64.67,64.67,64.67,0.0,0.0,65.29,65.29,65.29,0.0,0.0
2018-10-28,68.01,68.01,68.01,0.0,0.0,68.24,68.24,68.24,0.0,0.0,66.85,66.85,66.85,0.0,0.0,67.28,67.28,67.28,0.0,0.0
2018-11-04,68.83,68.83,68.83,0.0,0.0,68.91,68.91,68.91,0.0,0.0,68.22,68.22,68.22,0.0,0.0,68.62,68.62,68.62,0.0,0.0
2018-11-11,66.55,66.55,66.55,0.0,0.0,67.25,67.25,67.25,0.0,0.0,66.55,66.55,66.55,0.0,0.0,67.08,67.08,67.08,0.0,0.0
2018-11-18,64.57,64.57,64.57,0.0,0.0,64.83,64.83,64.83,0.0,0.0,64.44,64.44,64.44,0.0,0.0,64.53,64.53,64.53,0.0,0.0
2018-11-25,66.61,66.61,66.61,0.0,0.0,67.4,67.4,67.4,0.0,0.0,66.61,66.61,66.61,0.0,0.0,67.34,67.34,67.34,0.0,0.0
2018-12-02,65.53,65.53,65.53,0.0,0.0,66.14,66.14,66.14,0.0,0.0,64.19,64.19,64.19,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2018-12-09,63.85,63.85,63.85,0.0,0.0,64.26,64.26,64.26,0.0,0.0,63.21,63.21,63.21,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2018-12-16,59.73,59.73,59.73,0.0,0.0,60.86,60.86,60.86,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.78,58.78,58.78,0.0,0.0
2018-12-23,60.49,60.49,60.49,0.0,0.0,60.98,60.98,60.98,0.0,0.0,59.86,59.86,59.86,0.0,0.0,60.07,60.07,60.07,0.0,0.0
2018-12-30,60.01,60.01,60.01,0.0,0.0,61.58,61.58,61.58,0.0,0.0,60.01,60.01,60.01,0.0,0.0,61.49,61.49,61.49,0.0,0.0
2019-01-06,63.24,63.24,63.24,0.0,0.0,63.52,63.52,63.52,0.0,0.0,63.04,63.04,63.04,0.0,0.0,63.49,63.49,63.49,0.0,0.0
