Date,ProShares Ultra FTSE China 50_Open_average,ProShares Ultra FTSE China 50_Open_max,ProShares Ultra FTSE China 50_Open_min,ProShares Ultra FTSE China 50_Open_volatility,ProShares Ultra FTSE China 50_Open_change,ProShares Ultra FTSE China 50_High_average,ProShares Ultra FTSE China 50_High_max,ProShares Ultra FTSE China 50_High_min,ProShares Ultra FTSE China 50_High_volatility,ProShares Ultra FTSE China 50_High_change,ProShares Ultra FTSE China 50_Low_average,ProShares Ultra FTSE China 50_Low_max,ProShares Ultra FTSE China 50_Low_min,ProShares Ultra FTSE China 50_Low_volatility,ProShares Ultra FTSE China 50_Low_change,ProShares Ultra FTSE China 50_Close_average,ProShares Ultra FTSE China 50_Close_max,ProShares Ultra FTSE China 50_Close_min,ProShares Ultra FTSE China 50_Close_volatility,ProShares Ultra FTSE China 50_Close_change
2018-01-14,105.44,105.44,105.44,0.0,0.0,106.85,106.85,106.85,0.0,0.0,105.0,105.0,105.0,0.0,0.0,106.8,106.8,106.8,0.0,0.0
2018-01-21,109.75,109.75,109.75,0.0,0.0,110.2,110.2,110.2,0.0,0.0,109.0,109.0,109.0,0.0,0.0,109.22,109.22,109.22,0.0,0.0
2018-01-28,103.77,103.77,103.77,0.0,0.0,105.56,105.56,105.56,0.0,0.0,96.43,96.43,96.43,0.0,0.0,97.45,97.45,97.45,0.0,0.0
2018-02-04,83.54,83.54,83.54,0.0,0.0,85.73,85.73,85.73,0.0,0.0,82.38,82.38,82.38,0.0,0.0,84.59,84.59,84.59,0.0,0.0
2018-02-11,94.0,94.0,94.0,0.0,0.0,96.45,96.45,96.45,0.0,0.0,94.0,94.0,94.0,0.0,0.0,94.3,94.3,94.3,0.0,0.0
2018-02-18,96.12,96.12,96.12,0.0,0.0,97.88,97.88,97.88,0.0,0.0,95.5,95.5,95.5,0.0,0.0,97.79,97.79,97.79,0.0,0.0
2018-02-25,83.79,83.79,83.79,0.0,0.0,86.11,86.11,86.11,0.0,0.0,83.57,83.57,83.57,0.0,0.0,86.11,86.11,86.11,0.0,0.0
2018-03-04,92.61,92.61,92.61,0.0,0.0,93.15,93.15,93.15,0.0,0.0,91.95,91.95,91.95,0.0,0.0,92.81,92.81,92.81,0.0,0.0
2018-03-11,91.5,91.5,91.5,0.0,0.0,92.07,92.07,92.07,0.0,0.0,89.67,89.67,89.67,0.0,0.0,90.58,90.58,90.58,0.0,0.0
2018-03-18,85.54,85.54,85.54,0.0,0.0,87.13,87.13,87.13,0.0,0.0,83.49,83.49,83.49,0.0,0.0,86.92,86.92,86.92,0.0,0.0
2018-03-25,83.58,83.58,83.58,0.0,0.0,83.58,83.58,83.58,0.0,0.0,80.0,80.0,80.0,0.0,0.0,81.69,81.69,81.69,0.0,0.0
2018-04-01,82.66,82.66,82.66,0.0,0.0,84.36,84.36,84.36,0.0,0.0,81.99,81.99,81.99,0.0,0.0,82.33,82.33,82.33,0.0,0.0
2018-04-08,83.24,83.24,83.24,0.0,0.0,84.21,84.21,84.21,0.0,0.0,82.96,82.96,82.96,0.0,0.0,84.21,84.21,84.21,0.0,0.0
2018-04-15,82.05,82.05,82.05,0.0,0.0,82.69,82.69,82.69,0.0,0.0,81.26,81.26,81.26,0.0,0.0,81.98,81.98,81.98,0.0,0.0
2018-04-22,85.73,85.73,85.73,0.0,0.0,85.94,85.94,85.94,0.0,0.0,83.61,83.61,83.61,0.0,0.0,83.61,83.61,83.61,0.0,0.0
2018-04-29,81.05,81.05,81.05,0.0,0.0,82.01,82.01,82.01,0.0,0.0,80.76,80.76,80.76,0.0,0.0,81.54,81.54,81.54,0.0,0.0
2018-05-06,90.12,90.12,90.12,0.0,0.0,90.65,90.65,90.65,0.0,0.0,89.5,89.5,89.5,0.0,0.0,89.66,89.66,89.66,0.0,0.0
2018-05-13,88.34,88.34,88.34,0.0,0.0,88.85,88.85,88.85,0.0,0.0,87.77,87.77,87.77,0.0,0.0,88.19,88.19,88.19,0.0,0.0
2018-05-20,83.39,83.39,83.39,0.0,0.0,84.19,84.19,84.19,0.0,0.0,83.39,83.39,83.39,0.0,0.0,84.19,84.19,84.19,0.0,0.0
2018-05-27,86.39,86.39,86.39,0.0,0.0,87.19,87.19,87.19,0.0,0.0,86.02,86.02,86.02,0.0,0.0,86.95,86.95,86.95,0.0,0.0
2018-06-03,87.03,87.03,87.03,0.0,0.0,87.49,87.49,87.49,0.0,0.0,86.9,86.9,86.9,0.0,0.0,86.99,86.99,86.99,0.0,0.0
2018-06-10,80.32,80.32,80.32,0.0,0.0,80.89,80.89,80.89,0.0,0.0,79.8,79.8,79.8,0.0,0.0,80.89,80.89,80.89,0.0,0.0
