Date,iShares Currency Hedged MSCI South Korea_Open_average,iShares Currency Hedged MSCI South Korea_Open_max,iShares Currency Hedged MSCI South Korea_Open_min,iShares Currency Hedged MSCI South Korea_Open_volatility,iShares Currency Hedged MSCI South Korea_Open_change,iShares Currency Hedged MSCI South Korea_High_average,iShares Currency Hedged MSCI South Korea_High_max,iShares Currency Hedged MSCI South Korea_High_min,iShares Currency Hedged MSCI South Korea_High_volatility,iShares Currency Hedged MSCI South Korea_High_change,iShares Currency Hedged MSCI South Korea_Low_average,iShares Currency Hedged MSCI South Korea_Low_max,iShares Currency Hedged MSCI South Korea_Low_min,iShares Currency Hedged MSCI South Korea_Low_volatility,iShares Currency Hedged MSCI South Korea_Low_change,iShares Currency Hedged MSCI South Korea_Close_average,iShares Currency Hedged MSCI South Korea_Close_max,iShares Currency Hedged MSCI South Korea_Close_min,iShares Currency Hedged MSCI South Korea_Close_volatility,iShares Currency Hedged MSCI South Korea_Close_change
2018-01-14,31.08,31.08,31.08,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2018-01-21,31.54,31.54,31.54,0.0,0.0,31.88,31.88,31.88,0.0,0.0,31.54,31.54,31.54,0.0,0.0,31.88,31.88,31.88,0.0,0.0
2018-01-28,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.36,30.36,30.36,0.0,0.0
2018-02-04,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-02-11,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-02-18,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0
2018-02-25,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-03-04,30.18,30.18,30.18,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.18,30.18,30.18,0.0,0.0,30.18,30.18,30.18,0.0,0.0
2018-03-11,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.52,30.52,30.52,0.0,0.0
2018-03-18,30.38,30.38,30.38,0.0,0.0,30.38,30.38,30.38,0.0,0.0,29.53,29.53,29.53,0.0,0.0,29.61,29.61,29.61,0.0,0.0
