Date,HFC_Open_average,HFC_Open_max,HFC_Open_min,HFC_Open_volatility,HFC_Open_change,HFC_High_average,HFC_High_max,HFC_High_min,HFC_High_volatility,HFC_High_change,HFC_Low_average,HFC_Low_max,HFC_Low_min,HFC_Low_volatility,HFC_Low_change,HFC_Close_average,HFC_Close_max,HFC_Close_min,HFC_Close_volatility,HFC_Close_change,HFC_Volume_average,HFC_Volume_max,HFC_Volume_min,HFC_Volume_volatility,HFC_Volume_change
2018-01-14,51.88,52.84,50.91,1.9300000000000068,-1.740000000000002,52.332,53.21,51.15,2.0600000000000023,-1.0300000000000011,51.182,52.07,50.4,1.6700000000000017,-1.0,51.647999999999996,52.4,50.91,1.490000000000002,-0.509999999999998,2444278,3242888,1797916,1444972,303324
2018-01-21,50.016,51.93,48.39,3.539999999999999,-3.539999999999999,50.248,51.95,48.4,3.5500000000000043,-3.5500000000000043,48.596,51.33,46.61,4.719999999999999,-4.719999999999999,49.022,51.72,46.82,4.899999999999999,-4.899999999999999,3316783,4830304,2112050,2718254,1107447
2018-01-28,46.712,48.03,45.79,2.240000000000002,-0.23000000000000398,47.598,48.1,47.1,1.0,0.04999999999999716,45.738,46.53,44.07,2.460000000000001,-1.4200000000000017,46.704,47.96,44.99,2.969999999999999,-1.5599999999999952,2585573,3166530,1946484,1220046,-425878
2018-02-04,45.134,46.55,43.82,2.729999999999997,1.1099999999999994,46.24,47.13,45.24,1.8900000000000006,-0.8400000000000034,44.18,45.67,42.88,2.789999999999999,0.9599999999999937,45.17,46.47,44.36,2.1099999999999994,-1.740000000000002,2630471,3116601,2322588,794013,-728041
2018-02-11,45.725,46.89,44.63,2.259999999999998,1.9499999999999957,46.7525,47.88,45.36,2.520000000000003,1.5399999999999991,45.31,46.12,44.48,1.6400000000000006,1.4200000000000017,46.3125,46.81,45.26,1.5500000000000043,1.1400000000000006,1837218,2104884,1425406,679478,-679478
2018-02-18,44.986000000000004,46.21,44.46,1.75,-1.0799999999999983,45.472,46.56,45.1,1.4600000000000009,-1.240000000000002,44.444,45.62,43.68,1.9399999999999977,-0.7899999999999991,44.908,45.98,44.09,1.8899999999999935,-0.9199999999999946,3267344,4368428,2211171,2157257,-1697052
2018-02-25,43.796,44.75,42.82,1.9299999999999997,-0.9200000000000017,44.918,46.06,43.7,2.3599999999999994,-1.3900000000000006,43.152,44.37,42.42,1.9499999999999957,-0.9299999999999997,43.836,44.42,42.83,1.5900000000000034,0.020000000000003126,2311791,3178563,1620093,1558470,-365845
2018-03-04,45.388,46.7,44.66,2.0400000000000063,2.0400000000000063,46.174,47.0,45.37,1.6300000000000026,1.4099999999999966,45.004,45.88,44.35,1.5300000000000011,1.5,45.596000000000004,46.52,44.95,1.5700000000000003,0.7600000000000051,2194171,2442135,1795664,646471,-646471
2018-03-11,46.216,46.46,45.82,0.6400000000000006,0.10999999999999943,46.746,47.0,46.55,0.45000000000000284,-0.2700000000000031,45.632,46.01,44.7,1.3099999999999952,-0.15000000000000568,46.154,46.51,45.59,0.9199999999999946,0.11999999999999744,2274879,3813212,1515860,2297352,250120
2018-03-18,48.07,48.59,46.7,1.8900000000000006,1.8900000000000006,49.238,49.74,48.66,1.0800000000000054,0.7800000000000011,47.676,48.1,46.6,1.5,1.3900000000000006,48.478,49.36,47.81,1.5499999999999972,1.3500000000000014,1871179,2344080,1507258,836822,-704199
2018-03-25,48.8225,49.7,48.0,1.7000000000000028,-1.0900000000000034,49.3725,50.5,48.84,1.6599999999999966,-1.6599999999999966,47.870000000000005,48.61,47.35,1.259999999999998,-0.8699999999999974,48.425,48.98,47.56,1.4199999999999946,-0.6799999999999997,1623194,1947260,1346485,600775,-203122
2018-04-01,50.682,53.01,48.62,4.390000000000001,4.390000000000001,52.048,53.65,49.75,3.8999999999999986,3.8999999999999986,50.588,52.79,48.62,4.170000000000002,4.170000000000002,51.65,52.91,49.69,3.219999999999999,3.219999999999999,2211439,2514007,2048505,465502,13787
2018-04-08,54.734,56.0,53.86,2.1400000000000006,2.1400000000000006,55.592,57.39,54.74,2.6499999999999986,2.6499999999999986,54.348,55.69,53.66,2.030000000000001,1.9600000000000009,55.12,57.17,53.96,3.210000000000001,3.210000000000001,2117158,2474126,1780268,693858,-301681
2018-04-15,57.99,58.38,57.36,1.0200000000000031,1.0200000000000031,58.586,59.14,57.92,1.2199999999999989,1.2199999999999989,57.518,57.88,56.79,1.0900000000000034,1.0900000000000034,58.274,59.08,57.76,1.3200000000000003,1.3200000000000003,1841059,2306263,1341855,964408,247895
2018-04-22,60.31,61.88,59.5,2.3800000000000026,1.0,61.69,62.24,59.91,2.3300000000000054,-0.01999999999999602,59.706,60.68,58.5,2.1799999999999997,1.1000000000000014,60.652,62.11,59.63,2.479999999999997,0.29999999999999716,3048761,5317802,1517186,3800616,-1868345
