Date,WisdomTree Europe Hedged SmallCap EquityEtf_Open_average,WisdomTree Europe Hedged SmallCap EquityEtf_Open_max,WisdomTree Europe Hedged SmallCap EquityEtf_Open_min,WisdomTree Europe Hedged SmallCap EquityEtf_Open_volatility,WisdomTree Europe Hedged SmallCap EquityEtf_Open_change,WisdomTree Europe Hedged SmallCap EquityEtf_High_average,WisdomTree Europe Hedged SmallCap EquityEtf_High_max,WisdomTree Europe Hedged SmallCap EquityEtf_High_min,WisdomTree Europe Hedged SmallCap EquityEtf_High_volatility,WisdomTree Europe Hedged SmallCap EquityEtf_High_change,WisdomTree Europe Hedged SmallCap EquityEtf_Low_average,WisdomTree Europe Hedged SmallCap EquityEtf_Low_max,WisdomTree Europe Hedged SmallCap EquityEtf_Low_min,WisdomTree Europe Hedged SmallCap EquityEtf_Low_volatility,WisdomTree Europe Hedged SmallCap EquityEtf_Low_change,WisdomTree Europe Hedged SmallCap EquityEtf_Close_average,WisdomTree Europe Hedged SmallCap EquityEtf_Close_max,WisdomTree Europe Hedged SmallCap EquityEtf_Close_min,WisdomTree Europe Hedged SmallCap EquityEtf_Close_volatility,WisdomTree Europe Hedged SmallCap EquityEtf_Close_change
2018-01-14,32.64,32.64,32.64,0.0,0.0,32.72,32.72,32.72,0.0,0.0,32.59,32.59,32.59,0.0,0.0,32.7,32.7,32.7,0.0,0.0
2018-01-21,32.66,32.66,32.66,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.73,32.73,32.73,0.0,0.0
2018-01-28,31.79,31.79,31.79,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-02-04,30.38,30.38,30.38,0.0,0.0,30.75,30.75,30.75,0.0,0.0,29.96,29.96,29.96,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-02-11,31.23,31.23,31.23,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.23,31.23,31.23,0.0,0.0,31.35,31.35,31.35,0.0,0.0
2018-02-18,31.48,31.48,31.48,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2018-02-25,30.4,30.4,30.4,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2018-03-04,31.3,31.3,31.3,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.28,31.28,31.28,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-03-11,31.17,31.17,31.17,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.01,31.01,31.01,0.0,0.0,31.01,31.01,31.01,0.0,0.0
2018-03-18,30.41,30.41,30.41,0.0,0.0,30.48,30.48,30.48,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2018-03-25,30.54,30.54,30.54,0.0,0.0,30.68,30.68,30.68,0.0,0.0,30.54,30.54,30.54,0.0,0.0,30.68,30.68,30.68,0.0,0.0
2018-04-01,30.89,30.89,30.89,0.0,0.0,30.91,30.91,30.91,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2018-04-08,31.17,31.17,31.17,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-04-15,31.5,31.5,31.5,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-04-22,31.71,31.71,31.71,0.0,0.0,31.71,31.71,31.71,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2018-04-29,31.95,31.95,31.95,0.0,0.0,32.22,32.22,32.22,0.0,0.0,31.95,31.95,31.95,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2018-05-06,32.24,32.24,32.24,0.0,0.0,32.28,32.28,32.28,0.0,0.0,32.18,32.18,32.18,0.0,0.0,32.2,32.2,32.2,0.0,0.0
2018-05-13,31.9,31.9,31.9,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.82,31.82,31.82,0.0,0.0
2018-05-20,31.62,31.62,31.62,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.59,31.59,31.59,0.0,0.0
2018-05-27,31.5,31.5,31.5,0.0,0.0,31.62,31.62,31.62,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2018-06-03,31.51,31.51,31.51,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2018-06-10,31.95,31.95,31.95,0.0,0.0,31.95,31.95,31.95,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.91,31.91,31.91,0.0,0.0
2018-06-17,31.32,31.32,31.32,0.0,0.0,31.36,31.36,31.36,0.0,0.0,31.3,31.3,31.3,0.0,0.0,31.34,31.34,31.34,0.0,0.0
2018-06-24,30.19,30.19,30.19,0.0,0.0,30.21,30.21,30.21,0.0,0.0,30.01,30.01,30.01,0.0,0.0,30.03,30.03,30.03,0.0,0.0
2018-07-01,30.31,30.31,30.31,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.34,30.34,30.34,0.0,0.0
2018-07-08,30.36,30.36,30.36,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2018-07-15,30.45,30.45,30.45,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.4,30.4,30.4,0.0,0.0,30.47,30.47,30.47,0.0,0.0
