Date,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Open_average,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Open_max,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Open_min,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Open_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Open_change,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_High_average,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_High_max,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_High_min,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_High_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_High_change,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Low_average,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Low_max,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Low_min,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Low_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Low_change,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Close_average,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Close_max,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Close_min,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Close_volatility,UBS E-TRACS Monthly Pay 2xLeveraged Dow Jones Sele_etf_Close_change
2018-01-14,75.06,75.06,75.06,0.0,0.0,75.14,75.14,75.14,0.0,0.0,74.7,74.7,74.7,0.0,0.0,75.14,75.14,75.14,0.0,0.0
2018-01-21,76.88,76.88,76.88,0.0,0.0,77.86,77.86,77.86,0.0,0.0,76.81,76.81,76.81,0.0,0.0,77.77,77.77,77.77,0.0,0.0
2018-01-28,73.6,73.6,73.6,0.0,0.0,73.61,73.61,73.61,0.0,0.0,72.4,72.4,72.4,0.0,0.0,72.4,72.4,72.4,0.0,0.0
2018-02-04,63.9,63.9,63.9,0.0,0.0,64.69,64.69,64.69,0.0,0.0,62.0,62.0,62.0,0.0,0.0,63.69,63.69,63.69,0.0,0.0
2018-02-11,71.5,71.5,71.5,0.0,0.0,72.22,72.22,72.22,0.0,0.0,70.81,70.81,70.81,0.0,0.0,71.68,71.68,71.68,0.0,0.0
2018-02-18,69.65,69.65,69.65,0.0,0.0,71.37,71.37,71.37,0.0,0.0,69.65,69.65,69.65,0.0,0.0,71.37,71.37,71.37,0.0,0.0
2018-02-25,66.95,66.95,66.95,0.0,0.0,67.7,67.7,67.7,0.0,0.0,66.9,66.9,66.9,0.0,0.0,67.62,67.62,67.62,0.0,0.0
2018-03-04,69.81,69.81,69.81,0.0,0.0,70.71,70.71,70.71,0.0,0.0,69.81,69.81,69.81,0.0,0.0,70.58,70.58,70.58,0.0,0.0
2018-03-11,68.78,68.78,68.78,0.0,0.0,69.71,69.71,69.71,0.0,0.0,67.69,67.69,67.69,0.0,0.0,69.58,69.58,69.58,0.0,0.0
2018-03-18,66.77,66.77,66.77,0.0,0.0,66.77,66.77,66.77,0.0,0.0,64.81,64.81,64.81,0.0,0.0,64.81,64.81,64.81,0.0,0.0
2018-03-25,66.77,66.77,66.77,0.0,0.0,67.88,67.88,67.88,0.0,0.0,66.77,66.77,66.77,0.0,0.0,67.88,67.88,67.88,0.0,0.0
2018-04-01,68.48,68.48,68.48,0.0,0.0,68.48,68.48,68.48,0.0,0.0,66.08,66.08,66.08,0.0,0.0,66.46,66.46,66.46,0.0,0.0
2018-04-08,68.17,68.17,68.17,0.0,0.0,68.17,68.17,68.17,0.0,0.0,67.6,67.6,67.6,0.0,0.0,67.9,67.9,67.9,0.0,0.0
2018-04-15,67.6,67.6,67.6,0.0,0.0,67.67,67.67,67.67,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.54,67.54,67.54,0.0,0.0
2018-04-22,68.52,68.52,68.52,0.0,0.0,69.62,69.62,69.62,0.0,0.0,68.52,68.52,68.52,0.0,0.0,69.62,69.62,69.62,0.0,0.0
2018-04-29,67.5,67.5,67.5,0.0,0.0,69.13,69.13,69.13,0.0,0.0,67.5,67.5,67.5,0.0,0.0,69.13,69.13,69.13,0.0,0.0
2018-05-06,69.31,69.31,69.31,0.0,0.0,69.32,69.32,69.32,0.0,0.0,69.31,69.31,69.31,0.0,0.0,69.32,69.32,69.32,0.0,0.0
2018-05-13,69.66,69.66,69.66,0.0,0.0,69.66,69.66,69.66,0.0,0.0,69.3,69.3,69.3,0.0,0.0,69.44,69.44,69.44,0.0,0.0
2018-05-20,70.14,70.14,70.14,0.0,0.0,70.14,70.14,70.14,0.0,0.0,69.95,69.95,69.95,0.0,0.0,69.96,69.96,69.96,0.0,0.0
2018-05-27,70.25,70.25,70.25,0.0,0.0,70.65,70.65,70.65,0.0,0.0,70.11,70.11,70.11,0.0,0.0,70.11,70.11,70.11,0.0,0.0
2018-06-03,70.85,70.85,70.85,0.0,0.0,71.1,71.1,71.1,0.0,0.0,70.85,70.85,70.85,0.0,0.0,71.1,71.1,71.1,0.0,0.0
2018-06-10,70.06,70.06,70.06,0.0,0.0,70.86,70.86,70.86,0.0,0.0,70.06,70.06,70.06,0.0,0.0,70.66,70.66,70.66,0.0,0.0
2018-06-17,70.95,70.95,70.95,0.0,0.0,71.24,71.24,71.24,0.0,0.0,70.95,70.95,70.95,0.0,0.0,71.24,71.24,71.24,0.0,0.0
2018-06-24,71.0,71.0,71.0,0.0,0.0,71.47,71.47,71.47,0.0,0.0,71.0,71.0,71.0,0.0,0.0,71.1,71.1,71.1,0.0,0.0
2018-07-01,73.0,73.0,73.0,0.0,0.0,73.0,73.0,73.0,0.0,0.0,73.0,73.0,73.0,0.0,0.0,73.0,73.0,73.0,0.0,0.0
2018-07-08,70.72,70.72,70.72,0.0,0.0,71.6,71.6,71.6,0.0,0.0,70.72,70.72,70.72,0.0,0.0,71.6,71.6,71.6,0.0,0.0
