Date,Global X S&P 500 Catholic Values_Open_average,Global X S&P 500 Catholic Values_Open_max,Global X S&P 500 Catholic Values_Open_min,Global X S&P 500 Catholic Values_Open_volatility,Global X S&P 500 Catholic Values_Open_change,Global X S&P 500 Catholic Values_High_average,Global X S&P 500 Catholic Values_High_max,Global X S&P 500 Catholic Values_High_min,Global X S&P 500 Catholic Values_High_volatility,Global X S&P 500 Catholic Values_High_change,Global X S&P 500 Catholic Values_Low_average,Global X S&P 500 Catholic Values_Low_max,Global X S&P 500 Catholic Values_Low_min,Global X S&P 500 Catholic Values_Low_volatility,Global X S&P 500 Catholic Values_Low_change,Global X S&P 500 Catholic Values_Close_average,Global X S&P 500 Catholic Values_Close_max,Global X S&P 500 Catholic Values_Close_min,Global X S&P 500 Catholic Values_Close_volatility,Global X S&P 500 Catholic Values_Close_change
2018-01-14,34.63,34.63,34.63,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2018-01-21,35.15,35.15,35.15,0.0,0.0,35.33,35.33,35.33,0.0,0.0,35.04,35.04,35.04,0.0,0.0,35.04,35.04,35.04,0.0,0.0
2018-01-28,33.53,33.53,33.53,0.0,0.0,33.89,33.89,33.89,0.0,0.0,32.57,32.57,32.57,0.0,0.0,32.57,32.57,32.57,0.0,0.0
2018-02-04,32.49,32.49,32.49,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.44,32.44,32.44,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-02-11,33.45,33.45,33.45,0.0,0.0,33.81,33.81,33.81,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-02-18,33.95,33.95,33.95,0.0,0.0,34.19,34.19,34.19,0.0,0.0,33.93,33.93,33.93,0.0,0.0,34.19,34.19,34.19,0.0,0.0
2018-02-25,32.96,32.96,32.96,0.0,0.0,33.55,33.55,33.55,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-03-04,34.48,34.48,34.48,0.0,0.0,34.48,34.48,34.48,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2018-03-11,33.72,33.72,33.72,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.47,33.47,33.47,0.0,0.0
2018-03-18,32.37,32.37,32.37,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.25,32.25,32.25,0.0,0.0,32.75,32.75,32.75,0.0,0.0
2018-03-25,32.44,32.44,32.44,0.0,0.0,32.44,32.44,32.44,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.66,31.66,31.66,0.0,0.0
2018-04-01,32.26,32.26,32.26,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.25,32.25,32.25,0.0,0.0
2018-04-08,32.96,32.96,32.96,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.98,32.98,32.98,0.0,0.0
2018-04-15,32.98,32.98,32.98,0.0,0.0,32.98,32.98,32.98,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.79,32.79,32.79,0.0,0.0
2018-04-22,33.04,33.04,33.04,0.0,0.0,33.04,33.04,33.04,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-04-29,33.0,33.0,33.0,0.0,0.0,33.09,33.09,33.09,0.0,0.0,32.99,32.99,32.99,0.0,0.0,33.01,33.01,33.01,0.0,0.0
2018-05-06,33.8,33.8,33.8,0.0,0.0,33.8,33.8,33.8,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-05-13,33.74,33.74,33.74,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.74,33.74,33.74,0.0,0.0
2018-05-20,33.64,33.64,33.64,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.66,33.66,33.66,0.0,0.0
2018-05-27,33.9,33.9,33.9,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.97,33.97,33.97,0.0,0.0
2018-06-03,34.4,34.4,34.4,0.0,0.0,34.49,34.49,34.49,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.46,34.46,34.46,0.0,0.0
2018-06-10,34.3,34.3,34.3,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.26,34.26,34.26,0.0,0.0,34.36,34.36,34.36,0.0,0.0
2018-06-17,33.83,33.83,33.83,0.0,0.0,33.83,33.83,33.83,0.0,0.0,33.6,33.6,33.6,0.0,0.0,33.6,33.6,33.6,0.0,0.0
2018-06-24,33.49,33.49,33.49,0.0,0.0,33.72,33.72,33.72,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.72,33.72,33.72,0.0,0.0
2018-07-01,34.35,34.35,34.35,0.0,0.0,34.52,34.52,34.52,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.52,34.52,34.52,0.0,0.0
