Date,ProShares SP 500 ex Health Care_etf_Open_average,ProShares SP 500 ex Health Care_etf_Open_max,ProShares SP 500 ex Health Care_etf_Open_min,ProShares SP 500 ex Health Care_etf_Open_volatility,ProShares SP 500 ex Health Care_etf_Open_change,ProShares SP 500 ex Health Care_etf_High_average,ProShares SP 500 ex Health Care_etf_High_max,ProShares SP 500 ex Health Care_etf_High_min,ProShares SP 500 ex Health Care_etf_High_volatility,ProShares SP 500 ex Health Care_etf_High_change,ProShares SP 500 ex Health Care_etf_Low_average,ProShares SP 500 ex Health Care_etf_Low_max,ProShares SP 500 ex Health Care_etf_Low_min,ProShares SP 500 ex Health Care_etf_Low_volatility,ProShares SP 500 ex Health Care_etf_Low_change,ProShares SP 500 ex Health Care_etf_Close_average,ProShares SP 500 ex Health Care_etf_Close_max,ProShares SP 500 ex Health Care_etf_Close_min,ProShares SP 500 ex Health Care_etf_Close_volatility,ProShares SP 500 ex Health Care_etf_Close_change
2018-01-14,58.55,58.55,58.55,0.0,0.0,58.56,58.56,58.56,0.0,0.0,58.53,58.53,58.53,0.0,0.0,58.53,58.53,58.53,0.0,0.0
2018-01-21,59.27,59.27,59.27,0.0,0.0,59.27,59.27,59.27,0.0,0.0,59.27,59.27,59.27,0.0,0.0,59.27,59.27,59.27,0.0,0.0
2018-01-28,59.0,59.0,59.0,0.0,0.0,59.06,59.06,59.06,0.0,0.0,59.0,59.0,59.0,0.0,0.0,59.06,59.06,59.06,0.0,0.0
2018-02-04,55.2,55.2,55.2,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.2,55.2,55.2,0.0,0.0,55.25,55.25,55.25,0.0,0.0
2018-02-11,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0
2018-02-18,56.3,56.3,56.3,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.3,56.3,56.3,0.0,0.0
2018-02-25,57.15,57.15,57.15,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.15,57.15,57.15,0.0,0.0,57.15,57.15,57.15,0.0,0.0
2018-03-04,58.15,58.15,58.15,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.15,58.15,58.15,0.0,0.0,58.15,58.15,58.15,0.0,0.0
2018-03-11,58.46,58.46,58.46,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.46,58.46,58.46,0.0,0.0,58.46,58.46,58.46,0.0,0.0
2018-03-18,57.39,57.39,57.39,0.0,0.0,57.4,57.4,57.4,0.0,0.0,57.33,57.33,57.33,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2018-03-25,54.69,54.69,54.69,0.0,0.0,54.69,54.69,54.69,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.43,54.43,54.43,0.0,0.0
2018-04-01,55.65,55.65,55.65,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.65,55.65,55.65,0.0,0.0
2018-04-08,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0
2018-04-15,56.21,56.21,56.21,0.0,0.0,56.21,56.21,56.21,0.0,0.0,56.21,56.21,56.21,0.0,0.0,56.21,56.21,56.21,0.0,0.0
2018-04-22,55.63,55.63,55.63,0.0,0.0,55.63,55.63,55.63,0.0,0.0,55.63,55.63,55.63,0.0,0.0,55.63,55.63,55.63,0.0,0.0
2018-04-29,57.2,57.2,57.2,0.0,0.0,57.2,57.2,57.2,0.0,0.0,57.2,57.2,57.2,0.0,0.0,57.2,57.2,57.2,0.0,0.0
2018-05-06,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0
2018-05-13,57.38,57.38,57.38,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2018-05-20,57.43,57.43,57.43,0.0,0.0,57.43,57.43,57.43,0.0,0.0,57.43,57.43,57.43,0.0,0.0,57.43,57.43,57.43,0.0,0.0
2018-05-27,56.71,56.71,56.71,0.0,0.0,56.71,56.71,56.71,0.0,0.0,56.71,56.71,56.71,0.0,0.0,56.71,56.71,56.71,0.0,0.0
2018-06-03,57.69,57.69,57.69,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.69,57.69,57.69,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2018-06-10,58.41,58.41,58.41,0.0,0.0,58.54,58.54,58.54,0.0,0.0,58.37,58.37,58.37,0.0,0.0,58.5,58.5,58.5,0.0,0.0
2018-06-17,58.86,58.86,58.86,0.0,0.0,58.87,58.87,58.87,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2018-06-24,58.77,58.77,58.77,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.67,58.67,58.67,0.0,0.0
2018-07-01,58.77,58.77,58.77,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.77,58.77,58.77,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2018-07-08,59.12,59.12,59.12,0.0,0.0,59.12,59.12,59.12,0.0,0.0,59.12,59.12,59.12,0.0,0.0,59.12,59.12,59.12,0.0,0.0
2018-07-15,59.33,59.33,59.33,0.0,0.0,59.33,59.33,59.33,0.0,0.0,59.33,59.33,59.33,0.0,0.0,59.33,59.33,59.33,0.0,0.0
2018-07-22,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0
2018-07-29,58.85,58.85,58.85,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.85,58.85,58.85,0.0,0.0,58.85,58.85,58.85,0.0,0.0
2018-08-05,59.76,59.76,59.76,0.0,0.0,59.81,59.81,59.81,0.0,0.0,59.76,59.76,59.76,0.0,0.0,59.81,59.81,59.81,0.0,0.0
2018-08-12,59.01,59.01,59.01,0.0,0.0,59.43,59.43,59.43,0.0,0.0,59.01,59.01,59.01,0.0,0.0,59.43,59.43,59.43,0.0,0.0
2018-08-19,59.61,59.61,59.61,0.0,0.0,59.69,59.69,59.69,0.0,0.0,59.61,59.61,59.61,0.0,0.0,59.69,59.69,59.69,0.0,0.0
