Date,SPDR SSGA Gender Diversity_etf_Open_average,SPDR SSGA Gender Diversity_etf_Open_max,SPDR SSGA Gender Diversity_etf_Open_min,SPDR SSGA Gender Diversity_etf_Open_volatility,SPDR SSGA Gender Diversity_etf_Open_change,SPDR SSGA Gender Diversity_etf_High_average,SPDR SSGA Gender Diversity_etf_High_max,SPDR SSGA Gender Diversity_etf_High_min,SPDR SSGA Gender Diversity_etf_High_volatility,SPDR SSGA Gender Diversity_etf_High_change,SPDR SSGA Gender Diversity_etf_Low_average,SPDR SSGA Gender Diversity_etf_Low_max,SPDR SSGA Gender Diversity_etf_Low_min,SPDR SSGA Gender Diversity_etf_Low_volatility,SPDR SSGA Gender Diversity_etf_Low_change,SPDR SSGA Gender Diversity_etf_Close_average,SPDR SSGA Gender Diversity_etf_Close_max,SPDR SSGA Gender Diversity_etf_Close_min,SPDR SSGA Gender Diversity_etf_Close_volatility,SPDR SSGA Gender Diversity_etf_Close_change
2018-01-14,73.78,73.78,73.78,0.0,0.0,73.96,73.96,73.96,0.0,0.0,73.59,73.59,73.59,0.0,0.0,73.96,73.96,73.96,0.0,0.0
2018-01-21,74.64,74.64,74.64,0.0,0.0,75.6,75.6,75.6,0.0,0.0,74.64,74.64,74.64,0.0,0.0,75.57,75.57,75.57,0.0,0.0
2018-01-28,73.76,73.76,73.76,0.0,0.0,73.76,73.76,73.76,0.0,0.0,72.71,72.71,72.71,0.0,0.0,72.78,72.78,72.78,0.0,0.0
2018-02-04,68.56,68.56,68.56,0.0,0.0,69.06,69.06,69.06,0.0,0.0,66.79,66.79,66.79,0.0,0.0,69.06,69.06,69.06,0.0,0.0
2018-02-11,71.65,71.65,71.65,0.0,0.0,71.95,71.95,71.95,0.0,0.0,71.65,71.65,71.65,0.0,0.0,71.8,71.8,71.8,0.0,0.0
2018-02-18,71.2,71.2,71.2,0.0,0.0,71.82,71.82,71.82,0.0,0.0,71.12,71.12,71.12,0.0,0.0,71.82,71.82,71.82,0.0,0.0
2018-02-25,69.93,69.93,69.93,0.0,0.0,70.91,70.91,70.91,0.0,0.0,69.93,69.93,69.93,0.0,0.0,70.91,70.91,70.91,0.0,0.0
2018-03-04,72.24,72.24,72.24,0.0,0.0,72.98,72.98,72.98,0.0,0.0,72.23,72.23,72.23,0.0,0.0,72.98,72.98,72.98,0.0,0.0
2018-03-11,72.27,72.27,72.27,0.0,0.0,72.45,72.45,72.45,0.0,0.0,72.27,72.27,72.27,0.0,0.0,72.39,72.39,72.39,0.0,0.0
2018-03-18,69.89,69.89,69.89,0.0,0.0,69.9,69.9,69.9,0.0,0.0,68.58,68.58,68.58,0.0,0.0,68.58,68.58,68.58,0.0,0.0
2018-03-25,69.53,69.53,69.53,0.0,0.0,70.21,70.21,70.21,0.0,0.0,69.53,69.53,69.53,0.0,0.0,70.09,70.09,70.09,0.0,0.0
