Date,ProShares UltraPro Short QQQEtf_Open_average,ProShares UltraPro Short QQQEtf_Open_max,ProShares UltraPro Short QQQEtf_Open_min,ProShares UltraPro Short QQQEtf_Open_volatility,ProShares UltraPro Short QQQEtf_Open_change,ProShares UltraPro Short QQQEtf_High_average,ProShares UltraPro Short QQQEtf_High_max,ProShares UltraPro Short QQQEtf_High_min,ProShares UltraPro Short QQQEtf_High_volatility,ProShares UltraPro Short QQQEtf_High_change,ProShares UltraPro Short QQQEtf_Low_average,ProShares UltraPro Short QQQEtf_Low_max,ProShares UltraPro Short QQQEtf_Low_min,ProShares UltraPro Short QQQEtf_Low_volatility,ProShares UltraPro Short QQQEtf_Low_change,ProShares UltraPro Short QQQEtf_Close_average,ProShares UltraPro Short QQQEtf_Close_max,ProShares UltraPro Short QQQEtf_Close_min,ProShares UltraPro Short QQQEtf_Close_volatility,ProShares UltraPro Short QQQEtf_Close_change
2018-01-14,70.56,70.56,70.56,0.0,0.0,71.56,71.56,71.56,0.0,0.0,70.18,70.18,70.18,0.0,0.0,70.52,70.52,70.52,0.0,0.0
2018-01-21,66.84,66.84,66.84,0.0,0.0,67.28,67.28,67.28,0.0,0.0,64.94,64.94,64.94,0.0,0.0,65.0,65.0,65.0,0.0,0.0
2018-01-28,69.16,69.16,69.16,0.0,0.0,72.56,72.56,72.56,0.0,0.0,68.72,68.72,68.72,0.0,0.0,72.4,72.4,72.4,0.0,0.0
2018-02-04,83.6,83.6,83.6,0.0,0.0,93.04,93.04,93.04,0.0,0.0,80.92,80.92,80.92,0.0,0.0,82.92,82.92,82.92,0.0,0.0
2018-02-11,69.6,69.6,69.6,0.0,0.0,70.2,70.2,70.2,0.0,0.0,67.6,67.6,67.6,0.0,0.0,69.68,69.68,69.68,0.0,0.0
2018-02-18,68.46,68.46,68.46,0.0,0.0,69.28,69.28,69.28,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.84,65.84,65.84,0.0,0.0
2018-02-25,72.52,72.52,72.52,0.0,0.0,73.36,73.36,73.36,0.0,0.0,67.84,67.84,67.84,0.0,0.0,68.2,68.2,68.2,0.0,0.0
2018-03-04,62.32,62.32,62.32,0.0,0.0,62.6,62.6,62.6,0.0,0.0,60.04,60.04,60.04,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2018-03-11,61.4,61.4,61.4,0.0,0.0,62.28,62.28,62.28,0.0,0.0,60.92,60.92,60.92,0.0,0.0,62.16,62.16,62.16,0.0,0.0
2018-03-18,71.36,71.36,71.36,0.0,0.0,76.96,76.96,76.96,0.0,0.0,70.52,70.52,70.52,0.0,0.0,76.84,76.84,76.84,0.0,0.0
2018-03-25,76.2,76.2,76.2,0.0,0.0,78.48,78.48,78.48,0.0,0.0,70.98,70.98,70.98,0.0,0.0,73.32,73.32,73.32,0.0,0.0
2018-04-01,74.44,74.44,74.44,0.0,0.0,78.57,78.57,78.57,0.0,0.0,72.4,72.4,72.4,0.0,0.0,77.56,77.56,77.56,0.0,0.0
2018-04-08,68.6,68.6,68.6,0.0,0.0,71.6,71.6,71.6,0.0,0.0,68.28,68.28,68.28,0.0,0.0,70.64,70.64,70.64,0.0,0.0
2018-04-15,66.58,66.58,66.58,0.0,0.0,69.88,69.88,69.88,0.0,0.0,66.44,66.44,66.44,0.0,0.0,69.08,69.08,69.08,0.0,0.0
2018-04-22,66.36,66.36,66.36,0.0,0.0,70.4,70.4,70.4,0.0,0.0,66.28,66.28,66.28,0.0,0.0,69.16,69.16,69.16,0.0,0.0
2018-04-29,70.44,70.44,70.44,0.0,0.0,70.64,70.64,70.64,0.0,0.0,65.12,65.12,65.12,0.0,0.0,65.64,65.64,65.64,0.0,0.0
2018-05-06,60.52,60.52,60.52,0.0,0.0,61.2,61.2,61.2,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.4,60.4,60.4,0.0,0.0
2018-05-13,62.3,62.3,62.3,0.0,0.0,62.88,62.88,62.88,0.0,0.0,61.72,61.72,61.72,0.0,0.0,62.56,62.56,62.56,0.0,0.0
2018-05-20,60.36,60.36,60.36,0.0,0.0,60.72,60.72,60.72,0.0,0.0,59.52,59.52,59.52,0.0,0.0,60.2,60.2,60.2,0.0,0.0
2018-05-27,58.92,58.92,58.92,0.0,0.0,58.98,58.98,58.98,0.0,0.0,56.88,56.88,56.88,0.0,0.0,57.0,57.0,57.0,0.0,0.0
2018-06-03,56.24,56.24,56.24,0.0,0.0,56.56,56.56,56.56,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.32,55.32,55.32,0.0,0.0
2018-06-10,53.08,53.08,53.08,0.0,0.0,53.8,53.8,53.8,0.0,0.0,52.72,52.72,52.72,0.0,0.0,53.0,53.0,53.0,0.0,0.0
2018-06-17,53.16,53.16,53.16,0.0,0.0,54.64,54.64,54.64,0.0,0.0,53.08,53.08,53.08,0.0,0.0,54.2,54.2,54.2,0.0,0.0
2018-06-24,57.0,57.0,57.0,0.0,0.0,57.64,57.64,57.64,0.0,0.0,56.16,56.16,56.16,0.0,0.0,57.56,57.56,57.56,0.0,0.0
2018-07-01,55.8,55.8,55.8,0.0,0.0,56.08,56.08,56.08,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.6,53.6,53.6,0.0,0.0
