Date,FDS_stock_Open_average,FDS_stock_Open_max,FDS_stock_Open_min,FDS_stock_Open_volatility,FDS_stock_Open_change,FDS_stock_High_average,FDS_stock_High_max,FDS_stock_High_min,FDS_stock_High_volatility,FDS_stock_High_change,FDS_stock_Low_average,FDS_stock_Low_max,FDS_stock_Low_min,FDS_stock_Low_volatility,FDS_stock_Low_change,FDS_stock_Close_average,FDS_stock_Close_max,FDS_stock_Close_min,FDS_stock_Close_volatility,FDS_stock_Close_change,FDS_stock_Volume_average,FDS_stock_Volume_max,FDS_stock_Volume_min,FDS_stock_Volume_volatility,FDS_stock_Volume_change
2018-01-14,199.095,200.0,198.5,1.5,1.5,200.27249999999998,201.79,199.6,2.1899999999999977,1.9099999999999966,197.76,198.54,197.03,1.509999999999991,1.3100000000000023,199.265,201.04,198.33,2.7099999999999795,2.7099999999999795,305549,406679,260833,145846,-145846
2018-01-21,199.792,201.62,198.61,3.009999999999991,0.9900000000000091,202.096,209.02,199.09,9.930000000000007,7.980000000000018,198.136,200.23,196.71,3.519999999999982,1.6999999999999886,201.042,208.69,197.78,10.909999999999997,9.189999999999998,389912,556660,251364,305296,208776
2018-01-28,203.972,207.69,200.73,6.960000000000008,-4.650000000000006,205.138,207.84,202.7,5.140000000000015,-4.719999999999999,200.29,201.8,198.8,3.0,-3.0,201.558,204.3,199.33,4.969999999999999,-3.4199999999999875,338824,515325,206837,308488,-308488
2018-02-04,192.056,197.15,189.12,8.030000000000001,-8.030000000000001,195.182,200.03,191.28,8.75,-8.75,188.558,192.11,185.03,7.0800000000000125,-7.0800000000000125,190.812,192.15,187.99,4.159999999999997,-2.3499999999999943,350782,464502,247230,217272,84130
2018-02-11,195.97,201.3,191.0,10.300000000000011,10.02000000000001,199.656,203.15,195.15,8.0,8.0,194.932,200.21,190.84,9.370000000000005,9.370000000000005,198.592,202.18,192.87,9.310000000000002,9.310000000000002,279610,335999,224429,111570,-34880
2018-02-18,201.4875,201.97,200.96,1.009999999999991,1.009999999999991,204.4275,205.29,202.58,2.7099999999999795,2.7099999999999795,200.89249999999998,201.97,199.73,2.240000000000009,2.240000000000009,202.1375,205.23,200.71,4.519999999999982,4.519999999999982,173004,200809,140471,60338,-53978
2018-02-25,204.454,205.92,202.01,3.9099999999999966,-3.6200000000000045,207.08,208.0,206.2,1.8000000000000114,-0.6200000000000045,202.762,204.56,200.94,3.6200000000000045,-3.6200000000000045,204.7,206.59,203.1,3.490000000000009,0.18000000000000682,212168,302662,123689,178973,114156
2018-03-04,208.108,209.25,205.5,3.75,3.5600000000000023,210.9,213.69,209.08,4.609999999999985,3.3499999999999943,205.724,207.44,203.43,4.009999999999991,2.569999999999993,209.686,213.61,207.95,5.660000000000025,5.25,243042,321648,182694,138954,-49213
2018-03-11,213.088,213.88,212.08,1.799999999999983,-0.23999999999998067,214.276,215.61,213.02,2.5900000000000034,1.4700000000000273,211.248,212.89,209.44,3.4499999999999886,0.8499999999999943,212.868,214.58,211.31,3.2700000000000102,1.2600000000000193,223731,396220,148646,247574,247574
2018-03-18,212.272,215.36,207.52,7.840000000000003,-6.109999999999985,214.528,217.36,209.38,7.980000000000018,-5.3799999999999955,209.104,213.84,203.66,10.180000000000007,-6.659999999999997,210.424,215.63,203.85,11.780000000000001,-7.800000000000011,332189,468112,207651,260461,182377
2018-03-25,202.7425,206.19,199.5,6.689999999999998,-6.689999999999998,205.82,211.67,201.13,10.539999999999992,-10.539999999999992,200.27249999999998,206.04,197.29,8.75,-8.370000000000005,202.39499999999998,209.99,198.44,11.550000000000011,-10.570000000000022,624705,854440,480885,373555,-110186
2018-04-01,196.698,198.83,195.12,3.710000000000008,-3.5800000000000125,198.194,199.7,196.96,2.7399999999999807,-2.4599999999999795,193.78,195.4,192.13,3.2700000000000102,-0.4200000000000159,196.114,198.04,193.65,4.389999999999986,-2.5,356593,409994,297213,112781,-112781
