Date,UBS ETRACS Bloomberg CMCI Agriculture_Open_average,UBS ETRACS Bloomberg CMCI Agriculture_Open_max,UBS ETRACS Bloomberg CMCI Agriculture_Open_min,UBS ETRACS Bloomberg CMCI Agriculture_Open_volatility,UBS ETRACS Bloomberg CMCI Agriculture_Open_change,UBS ETRACS Bloomberg CMCI Agriculture_High_average,UBS ETRACS Bloomberg CMCI Agriculture_High_max,UBS ETRACS Bloomberg CMCI Agriculture_High_min,UBS ETRACS Bloomberg CMCI Agriculture_High_volatility,UBS ETRACS Bloomberg CMCI Agriculture_High_change,UBS ETRACS Bloomberg CMCI Agriculture_Low_average,UBS ETRACS Bloomberg CMCI Agriculture_Low_max,UBS ETRACS Bloomberg CMCI Agriculture_Low_min,UBS ETRACS Bloomberg CMCI Agriculture_Low_volatility,UBS ETRACS Bloomberg CMCI Agriculture_Low_change,UBS ETRACS Bloomberg CMCI Agriculture_Close_average,UBS ETRACS Bloomberg CMCI Agriculture_Close_max,UBS ETRACS Bloomberg CMCI Agriculture_Close_min,UBS ETRACS Bloomberg CMCI Agriculture_Close_volatility,UBS ETRACS Bloomberg CMCI Agriculture_Close_change
2018-01-14,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0
2018-01-21,17.82,17.82,17.82,0.0,0.0,17.82,17.82,17.82,0.0,0.0,17.81,17.81,17.81,0.0,0.0,17.81,17.81,17.81,0.0,0.0
2018-01-28,18.11,18.11,18.11,0.0,0.0,18.11,18.11,18.11,0.0,0.0,17.9,17.9,17.9,0.0,0.0,17.9,17.9,17.9,0.0,0.0
2018-02-04,17.92,17.92,17.92,0.0,0.0,18.0,18.0,18.0,0.0,0.0,17.92,17.92,17.92,0.0,0.0,18.0,18.0,18.0,0.0,0.0
2018-02-11,17.96,17.96,17.96,0.0,0.0,17.96,17.96,17.96,0.0,0.0,17.95,17.95,17.95,0.0,0.0,17.95,17.95,17.95,0.0,0.0
2018-02-18,18.19,18.19,18.19,0.0,0.0,18.22,18.22,18.22,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.22,18.22,18.22,0.0,0.0
2018-02-25,18.86,18.86,18.86,0.0,0.0,18.86,18.86,18.86,0.0,0.0,18.8,18.8,18.8,0.0,0.0,18.8,18.8,18.8,0.0,0.0
2018-03-04,18.5,18.5,18.5,0.0,0.0,18.5,18.5,18.5,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2018-03-11,18.47,18.47,18.47,0.0,0.0,18.47,18.47,18.47,0.0,0.0,18.12,18.12,18.12,0.0,0.0,18.12,18.12,18.12,0.0,0.0
2018-03-18,18.1,18.1,18.1,0.0,0.0,18.13,18.13,18.13,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.13,18.13,18.13,0.0,0.0
2018-03-25,18.1,18.1,18.1,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.1,18.1,18.1,0.0,0.0,18.1,18.1,18.1,0.0,0.0
2018-04-01,18.11,18.11,18.11,0.0,0.0,18.11,18.11,18.11,0.0,0.0,18.11,18.11,18.11,0.0,0.0,18.11,18.11,18.11,0.0,0.0
2018-04-08,17.86,17.86,17.86,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.86,17.86,17.86,0.0,0.0
2018-04-15,18.17,18.17,18.17,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.17,18.17,18.17,0.0,0.0,18.31,18.31,18.31,0.0,0.0
2018-04-22,17.5,17.5,17.5,0.0,0.0,17.79,17.79,17.79,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.79,17.79,17.79,0.0,0.0
2018-04-29,17.72,17.72,17.72,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-05-06,17.83,17.83,17.83,0.0,0.0,18.39,18.39,18.39,0.0,0.0,17.83,17.83,17.83,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2018-05-13,18.69,18.69,18.69,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2018-05-20,16.63,16.63,16.63,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.63,16.63,16.63,0.0,0.0
2018-05-27,16.38,16.38,16.38,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.38,16.38,16.38,0.0,0.0,16.69,16.69,16.69,0.0,0.0
2018-06-03,16.18,16.18,16.18,0.0,0.0,16.18,16.18,16.18,0.0,0.0,16.18,16.18,16.18,0.0,0.0,16.18,16.18,16.18,0.0,0.0
2018-06-10,16.19,16.19,16.19,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.19,16.19,16.19,0.0,0.0
2018-06-17,16.19,16.19,16.19,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.19,16.19,16.19,0.0,0.0,16.2,16.2,16.2,0.0,0.0
2018-06-24,16.62,16.62,16.62,0.0,0.0,16.64,16.64,16.64,0.0,0.0,16.62,16.62,16.62,0.0,0.0,16.64,16.64,16.64,0.0,0.0
2018-07-01,16.88,16.88,16.88,0.0,0.0,16.88,16.88,16.88,0.0,0.0,16.86,16.86,16.86,0.0,0.0,16.86,16.86,16.86,0.0,0.0
