Date,SPDR S&P Transportation_Open_average,SPDR S&P Transportation_Open_max,SPDR S&P Transportation_Open_min,SPDR S&P Transportation_Open_volatility,SPDR S&P Transportation_Open_change,SPDR S&P Transportation_High_average,SPDR S&P Transportation_High_max,SPDR S&P Transportation_High_min,SPDR S&P Transportation_High_volatility,SPDR S&P Transportation_High_change,SPDR S&P Transportation_Low_average,SPDR S&P Transportation_Low_max,SPDR S&P Transportation_Low_min,SPDR S&P Transportation_Low_volatility,SPDR S&P Transportation_Low_change,SPDR S&P Transportation_Close_average,SPDR S&P Transportation_Close_max,SPDR S&P Transportation_Close_min,SPDR S&P Transportation_Close_volatility,SPDR S&P Transportation_Close_change
2018-01-14,68.85,68.85,68.85,0.0,0.0,69.19,69.19,69.19,0.0,0.0,68.5,68.5,68.5,0.0,0.0,69.19,69.19,69.19,0.0,0.0
2018-01-21,67.91,67.91,67.91,0.0,0.0,68.4,68.4,68.4,0.0,0.0,67.77,67.77,67.77,0.0,0.0,67.81,67.81,67.81,0.0,0.0
2018-01-28,64.83,64.83,64.83,0.0,0.0,65.53,65.53,65.53,0.0,0.0,63.0,63.0,63.0,0.0,0.0,63.0,63.0,63.0,0.0,0.0
2018-02-04,62.29,62.29,62.29,0.0,0.0,63.24,63.24,63.24,0.0,0.0,61.64,61.64,61.64,0.0,0.0,62.82,62.82,62.82,0.0,0.0
2018-02-11,63.73,63.73,63.73,0.0,0.0,64.45,64.45,64.45,0.0,0.0,63.73,63.73,63.73,0.0,0.0,63.91,63.91,63.91,0.0,0.0
2018-02-18,64.18,64.18,64.18,0.0,0.0,64.97,64.97,64.97,0.0,0.0,64.18,64.18,64.18,0.0,0.0,64.79,64.79,64.79,0.0,0.0
2018-02-25,62.18,62.18,62.18,0.0,0.0,62.74,62.74,62.74,0.0,0.0,61.76,61.76,61.76,0.0,0.0,62.58,62.58,62.58,0.0,0.0
2018-03-04,65.34,65.34,65.34,0.0,0.0,65.37,65.37,65.37,0.0,0.0,64.89,64.89,64.89,0.0,0.0,65.27,65.27,65.27,0.0,0.0
2018-03-11,65.33,65.33,65.33,0.0,0.0,65.39,65.39,65.39,0.0,0.0,64.41,64.41,64.41,0.0,0.0,65.01,65.01,65.01,0.0,0.0
2018-03-18,63.1,63.1,63.1,0.0,0.0,63.1,63.1,63.1,0.0,0.0,61.8,61.8,61.8,0.0,0.0,62.88,62.88,62.88,0.0,0.0
2018-03-25,62.53,62.53,62.53,0.0,0.0,62.92,62.92,62.92,0.0,0.0,60.85,60.85,60.85,0.0,0.0,61.28,61.28,61.28,0.0,0.0
2018-04-01,62.17,62.17,62.17,0.0,0.0,62.17,62.17,62.17,0.0,0.0,61.18,61.18,61.18,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2018-04-08,62.68,62.68,62.68,0.0,0.0,64.11,64.11,64.11,0.0,0.0,62.68,62.68,62.68,0.0,0.0,63.91,63.91,63.91,0.0,0.0
2018-04-15,63.43,63.43,63.43,0.0,0.0,63.71,63.71,63.71,0.0,0.0,63.07,63.07,63.07,0.0,0.0,63.42,63.42,63.42,0.0,0.0
2018-04-22,62.63,62.63,62.63,0.0,0.0,62.63,62.63,62.63,0.0,0.0,61.97,61.97,61.97,0.0,0.0,61.98,61.98,61.98,0.0,0.0
2018-04-29,62.15,62.15,62.15,0.0,0.0,62.33,62.33,62.33,0.0,0.0,61.91,61.91,61.91,0.0,0.0,62.17,62.17,62.17,0.0,0.0
2018-05-06,64.48,64.48,64.48,0.0,0.0,64.48,64.48,64.48,0.0,0.0,63.79,63.79,63.79,0.0,0.0,63.86,63.86,63.86,0.0,0.0
2018-05-13,64.91,64.91,64.91,0.0,0.0,65.54,65.54,65.54,0.0,0.0,64.91,64.91,64.91,0.0,0.0,65.39,65.39,65.39,0.0,0.0
2018-05-20,65.1,65.1,65.1,0.0,0.0,65.76,65.76,65.76,0.0,0.0,65.02,65.02,65.02,0.0,0.0,65.52,65.52,65.52,0.0,0.0
2018-05-27,65.5,65.5,65.5,0.0,0.0,65.69,65.69,65.69,0.0,0.0,64.69,64.69,64.69,0.0,0.0,64.87,64.87,64.87,0.0,0.0
2018-06-03,65.79,65.79,65.79,0.0,0.0,67.14,67.14,67.14,0.0,0.0,65.79,65.79,65.79,0.0,0.0,66.94,66.94,66.94,0.0,0.0
2018-06-10,66.5,66.5,66.5,0.0,0.0,67.15,67.15,67.15,0.0,0.0,66.35,66.35,66.35,0.0,0.0,66.98,66.98,66.98,0.0,0.0
2018-06-17,66.05,66.05,66.05,0.0,0.0,66.05,66.05,66.05,0.0,0.0,64.41,64.41,64.41,0.0,0.0,64.42,64.42,64.42,0.0,0.0
2018-06-24,62.64,62.64,62.64,0.0,0.0,63.66,63.66,63.66,0.0,0.0,62.6,62.6,62.6,0.0,0.0,63.66,63.66,63.66,0.0,0.0
2018-07-01,64.3,64.3,64.3,0.0,0.0,65.4,65.4,65.4,0.0,0.0,64.28,64.28,64.28,0.0,0.0,65.31,65.31,65.31,0.0,0.0
2018-07-08,64.33,64.33,64.33,0.0,0.0,64.34,64.34,64.34,0.0,0.0,62.66,62.66,62.66,0.0,0.0,62.85,62.85,62.85,0.0,0.0
2018-07-15,65.06,65.06,65.06,0.0,0.0,65.6,65.6,65.6,0.0,0.0,64.99,64.99,64.99,0.0,0.0,65.48,65.48,65.48,0.0,0.0
2018-07-22,65.14,65.14,65.14,0.0,0.0,65.14,65.14,65.14,0.0,0.0,64.5,64.5,64.5,0.0,0.0,64.5,64.5,64.5,0.0,0.0
2018-07-29,65.9,65.9,65.9,0.0,0.0,66.14,66.14,66.14,0.0,0.0,65.61,65.61,65.61,0.0,0.0,66.14,66.14,66.14,0.0,0.0
2018-08-05,66.33,66.33,66.33,0.0,0.0,66.33,66.33,66.33,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.89,65.89,65.89,0.0,0.0
2018-08-12,67.14,67.14,67.14,0.0,0.0,68.06,68.06,68.06,0.0,0.0,67.14,67.14,67.14,0.0,0.0,68.03,68.03,68.03,0.0,0.0
2018-08-19,67.5,67.5,67.5,0.0,0.0,68.47,68.47,68.47,0.0,0.0,67.5,67.5,67.5,0.0,0.0,68.09,68.09,68.09,0.0,0.0
