Date,Deutsche X-trackers Investment Grade Bond Interest_etf_Open_average,Deutsche X-trackers Investment Grade Bond Interest_etf_Open_max,Deutsche X-trackers Investment Grade Bond Interest_etf_Open_min,Deutsche X-trackers Investment Grade Bond Interest_etf_Open_volatility,Deutsche X-trackers Investment Grade Bond Interest_etf_Open_change,Deutsche X-trackers Investment Grade Bond Interest_etf_High_average,Deutsche X-trackers Investment Grade Bond Interest_etf_High_max,Deutsche X-trackers Investment Grade Bond Interest_etf_High_min,Deutsche X-trackers Investment Grade Bond Interest_etf_High_volatility,Deutsche X-trackers Investment Grade Bond Interest_etf_High_change,Deutsche X-trackers Investment Grade Bond Interest_etf_Low_average,Deutsche X-trackers Investment Grade Bond Interest_etf_Low_max,Deutsche X-trackers Investment Grade Bond Interest_etf_Low_min,Deutsche X-trackers Investment Grade Bond Interest_etf_Low_volatility,Deutsche X-trackers Investment Grade Bond Interest_etf_Low_change,Deutsche X-trackers Investment Grade Bond Interest_etf_Close_average,Deutsche X-trackers Investment Grade Bond Interest_etf_Close_max,Deutsche X-trackers Investment Grade Bond Interest_etf_Close_min,Deutsche X-trackers Investment Grade Bond Interest_etf_Close_volatility,Deutsche X-trackers Investment Grade Bond Interest_etf_Close_change
2018-01-14,24.34,24.34,24.34,0.0,0.0,24.58,24.58,24.58,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2018-01-21,24.59,24.59,24.59,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.47,24.47,24.47,0.0,0.0,24.58,24.58,24.58,0.0,0.0
2018-01-28,24.51,24.51,24.51,0.0,0.0,24.56,24.56,24.56,0.0,0.0,24.51,24.51,24.51,0.0,0.0,24.53,24.53,24.53,0.0,0.0
2018-02-04,24.99,24.99,24.99,0.0,0.0,24.99,24.99,24.99,0.0,0.0,24.45,24.45,24.45,0.0,0.0,24.55,24.55,24.55,0.0,0.0
2018-02-11,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0,24.33,24.33,24.33,0.0,0.0
2018-02-18,24.44,24.44,24.44,0.0,0.0,24.54,24.54,24.54,0.0,0.0,24.42,24.42,24.42,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2018-02-25,24.19,24.19,24.19,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.03,24.03,24.03,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2018-03-04,24.22,24.22,24.22,0.0,0.0,24.25,24.25,24.25,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.25,24.25,24.25,0.0,0.0
2018-03-11,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.13,24.13,24.13,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2018-03-18,23.97,23.97,23.97,0.0,0.0,24.13,24.13,24.13,0.0,0.0,23.97,23.97,23.97,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2018-03-25,24.02,24.02,24.02,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.02,24.02,24.02,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2018-04-01,24.34,24.34,24.34,0.0,0.0,24.41,24.41,24.41,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.35,24.35,24.35,0.0,0.0
2018-04-08,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.34,24.34,24.34,0.0,0.0
2018-04-15,24.41,24.41,24.41,0.0,0.0,24.55,24.55,24.55,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-04-22,24.35,24.35,24.35,0.0,0.0,24.35,24.35,24.35,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.28,24.28,24.28,0.0,0.0
2018-04-29,24.07,24.07,24.07,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.07,24.07,24.07,0.0,0.0,24.07,24.07,24.07,0.0,0.0
2018-05-06,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.15,24.15,24.15,0.0,0.0
2018-05-13,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0
