Date,Direxion Daily Natural Gas Related Bull 3X Shares_Open_average,Direxion Daily Natural Gas Related Bull 3X Shares_Open_max,Direxion Daily Natural Gas Related Bull 3X Shares_Open_min,Direxion Daily Natural Gas Related Bull 3X Shares_Open_volatility,Direxion Daily Natural Gas Related Bull 3X Shares_Open_change,Direxion Daily Natural Gas Related Bull 3X Shares_High_average,Direxion Daily Natural Gas Related Bull 3X Shares_High_max,Direxion Daily Natural Gas Related Bull 3X Shares_High_min,Direxion Daily Natural Gas Related Bull 3X Shares_High_volatility,Direxion Daily Natural Gas Related Bull 3X Shares_High_change,Direxion Daily Natural Gas Related Bull 3X Shares_Low_average,Direxion Daily Natural Gas Related Bull 3X Shares_Low_max,Direxion Daily Natural Gas Related Bull 3X Shares_Low_min,Direxion Daily Natural Gas Related Bull 3X Shares_Low_volatility,Direxion Daily Natural Gas Related Bull 3X Shares_Low_change,Direxion Daily Natural Gas Related Bull 3X Shares_Close_average,Direxion Daily Natural Gas Related Bull 3X Shares_Close_max,Direxion Daily Natural Gas Related Bull 3X Shares_Close_min,Direxion Daily Natural Gas Related Bull 3X Shares_Close_volatility,Direxion Daily Natural Gas Related Bull 3X Shares_Close_change
2018-01-14,143.85,143.85,143.85,0.0,0.0,152.85,152.85,152.85,0.0,0.0,141.45,141.45,141.45,0.0,0.0,152.7,152.7,152.7,0.0,0.0
2018-01-21,144.9,144.9,144.9,0.0,0.0,147.35,147.35,147.35,0.0,0.0,140.0,140.0,140.0,0.0,0.0,140.55,140.55,140.55,0.0,0.0
2018-01-28,109.6,109.6,109.6,0.0,0.0,112.75,112.75,112.75,0.0,0.0,99.45,99.45,99.45,0.0,0.0,101.3,101.3,101.3,0.0,0.0
2018-02-04,86.85,86.85,86.85,0.0,0.0,91.25,91.25,91.25,0.0,0.0,85.4,85.4,85.4,0.0,0.0,89.45,89.45,89.45,0.0,0.0
2018-02-11,93.25,93.25,93.25,0.0,0.0,96.1,96.1,96.1,0.0,0.0,91.15,91.15,91.15,0.0,0.0,91.95,91.95,91.95,0.0,0.0
2018-02-18,94.2,94.2,94.2,0.0,0.0,96.05,96.05,96.05,0.0,0.0,91.55,91.55,91.55,0.0,0.0,95.1,95.1,95.1,0.0,0.0
2018-02-25,89.15,89.15,89.15,0.0,0.0,96.75,96.75,96.75,0.0,0.0,89.14,89.14,89.14,0.0,0.0,95.4,95.4,95.4,0.0,0.0
2018-03-04,93.5,93.5,93.5,0.0,0.0,96.45,96.45,96.45,0.0,0.0,91.85,91.85,91.85,0.0,0.0,95.45,95.45,95.45,0.0,0.0
2018-03-11,88.8,88.8,88.8,0.0,0.0,88.8,88.8,88.8,0.0,0.0,80.6,80.6,80.6,0.0,0.0,82.6,82.6,82.6,0.0,0.0
2018-03-18,90.5,90.5,90.5,0.0,0.0,91.25,91.25,91.25,0.0,0.0,85.35,85.35,85.35,0.0,0.0,90.95,90.95,90.95,0.0,0.0
2018-03-25,85.6,85.6,85.6,0.0,0.0,85.9,85.9,85.9,0.0,0.0,73.12,73.12,73.12,0.0,0.0,77.55,77.55,77.55,0.0,0.0
2018-04-01,82.8,82.8,82.8,0.0,0.0,84.25,84.25,84.25,0.0,0.0,79.65,79.65,79.65,0.0,0.0,79.7,79.7,79.7,0.0,0.0
2018-04-08,96.4,96.4,96.4,0.0,0.0,99.25,99.25,99.25,0.0,0.0,93.7,93.7,93.7,0.0,0.0,98.05,98.05,98.05,0.0,0.0
2018-04-15,100.65,100.65,100.65,0.0,0.0,107.0,107.0,107.0,0.0,0.0,99.47,99.47,99.47,0.0,0.0,106.45,106.45,106.45,0.0,0.0
2018-04-22,103.65,103.65,103.65,0.0,0.0,109.7,109.7,109.7,0.0,0.0,103.25,103.25,103.25,0.0,0.0,106.85,106.85,106.85,0.0,0.0
2018-04-29,104.7,104.7,104.7,0.0,0.0,112.35,112.35,112.35,0.0,0.0,103.8,103.8,103.8,0.0,0.0,104.4,104.4,104.4,0.0,0.0
2018-05-06,113.5,113.5,113.5,0.0,0.0,116.8,116.8,116.8,0.0,0.0,113.5,113.5,113.5,0.0,0.0,116.0,116.0,116.0,0.0,0.0
2018-05-13,125.3,125.3,125.3,0.0,0.0,130.2,130.2,130.2,0.0,0.0,124.4,124.4,124.4,0.0,0.0,129.75,129.75,129.75,0.0,0.0
2018-05-20,110.15,110.15,110.15,0.0,0.0,110.15,110.15,110.15,0.0,0.0,101.0,101.0,101.0,0.0,0.0,106.9,106.9,106.9,0.0,0.0
2018-05-27,114.85,114.85,114.85,0.0,0.0,115.59,115.59,115.59,0.0,0.0,102.07,102.07,102.07,0.0,0.0,103.7,103.7,103.7,0.0,0.0
2018-06-03,109.45,109.45,109.45,0.0,0.0,115.39,115.39,115.39,0.0,0.0,108.8,108.8,108.8,0.0,0.0,114.15,114.15,114.15,0.0,0.0
2018-06-10,103.15,103.15,103.15,0.0,0.0,112.1,112.1,112.1,0.0,0.0,102.5,102.5,102.5,0.0,0.0,108.4,108.4,108.4,0.0,0.0
2018-06-17,116.5,116.5,116.5,0.0,0.0,117.5,117.5,117.5,0.0,0.0,108.8,108.8,108.8,0.0,0.0,110.15,110.15,110.15,0.0,0.0
2018-06-24,118.8,118.8,118.8,0.0,0.0,118.95,118.95,118.95,0.0,0.0,112.75,112.75,112.75,0.0,0.0,115.35,115.35,115.35,0.0,0.0
2018-07-01,126.7,126.7,126.7,0.0,0.0,132.7,132.7,132.7,0.0,0.0,125.2,125.2,125.2,0.0,0.0,132.6,132.6,132.6,0.0,0.0
2018-07-08,119.6,119.6,119.6,0.0,0.0,121.15,121.15,121.15,0.0,0.0,114.5,114.5,114.5,0.0,0.0,118.6,118.6,118.6,0.0,0.0
2018-07-15,122.55,122.55,122.55,0.0,0.0,124.05,124.05,124.05,0.0,0.0,118.95,118.95,118.95,0.0,0.0,119.5,119.5,119.5,0.0,0.0
2018-07-22,115.0,115.0,115.0,0.0,0.0,118.4,118.4,118.4,0.0,0.0,115.0,115.0,115.0,0.0,0.0,116.55,116.55,116.55,0.0,0.0
2018-07-29,114.5,114.5,114.5,0.0,0.0,117.25,117.25,117.25,0.0,0.0,112.8,112.8,112.8,0.0,0.0,114.35,114.35,114.35,0.0,0.0
2018-08-05,109.35,109.35,109.35,0.0,0.0,110.45,110.45,110.45,0.0,0.0,103.25,103.25,103.25,0.0,0.0,103.25,103.25,103.25,0.0,0.0
2018-08-12,97.2,97.2,97.2,0.0,0.0,99.9,99.9,99.9,0.0,0.0,96.05,96.05,96.05,0.0,0.0,99.1,99.1,99.1,0.0,0.0
2018-08-19,110.8,110.8,110.8,0.0,0.0,111.9,111.9,111.9,0.0,0.0,108.75,108.75,108.75,0.0,0.0,109.5,109.5,109.5,0.0,0.0
2018-08-26,106.2,106.2,106.2,0.0,0.0,106.7,106.7,106.7,0.0,0.0,104.45,104.45,104.45,0.0,0.0,105.95,105.95,105.95,0.0,0.0
2018-09-02,94.3,94.3,94.3,0.0,0.0,94.3,94.3,94.3,0.0,0.0,91.3,91.3,91.3,0.0,0.0,91.3,91.3,91.3,0.0,0.0
2018-09-09,98.75,98.75,98.75,0.0,0.0,100.33,100.33,100.33,0.0,0.0,96.0,96.0,96.0,0.0,0.0,96.6,96.6,96.6,0.0,0.0
2018-09-16,108.5,108.5,108.5,0.0,0.0,111.7,111.7,111.7,0.0,0.0,104.9,104.9,104.9,0.0,0.0,107.3,107.3,107.3,0.0,0.0
2018-09-23,107.45,107.45,107.45,0.0,0.0,109.25,109.25,109.25,0.0,0.0,104.65,104.65,104.65,0.0,0.0,107.85,107.85,107.85,0.0,0.0
2018-09-30,108.4,108.4,108.4,0.0,0.0,111.75,111.75,111.75,0.0,0.0,105.5,105.5,105.5,0.0,0.0,109.8,109.8,109.8,0.0,0.0
2018-10-07,98.5,98.5,98.5,0.0,0.0,101.6,101.6,101.6,0.0,0.0,96.25,96.25,96.25,0.0,0.0,99.45,99.45,99.45,0.0,0.0
2018-10-14,92.5,92.5,92.5,0.0,0.0,92.55,92.55,92.55,0.0,0.0,86.25,86.25,86.25,0.0,0.0,87.65,87.65,87.65,0.0,0.0
2018-10-21,65.7,65.7,65.7,0.0,0.0,67.41,67.41,67.41,0.0,0.0,56.7,56.7,56.7,0.0,0.0,59.45,59.45,59.45,0.0,0.0
2018-10-28,69.05,69.05,69.05,0.0,0.0,71.95,71.95,71.95,0.0,0.0,67.9,67.9,67.9,0.0,0.0,71.4,71.4,71.4,0.0,0.0
2018-11-04,71.45,71.45,71.45,0.0,0.0,71.5,71.5,71.5,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.35,62.35,62.35,0.0,0.0
2018-11-11,57.2,57.2,57.2,0.0,0.0,60.5,60.5,60.5,0.0,0.0,56.2,56.2,56.2,0.0,0.0,59.1,59.1,59.1,0.0,0.0
2018-11-18,52.25,52.25,52.25,0.0,0.0,52.95,52.95,52.95,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.9,50.9,50.9,0.0,0.0
2018-11-25,52.5,52.5,52.5,0.0,0.0,54.8,54.8,54.8,0.0,0.0,51.7,51.7,51.7,0.0,0.0,54.4,54.4,54.4,0.0,0.0
2018-12-02,44.6,44.6,44.6,0.0,0.0,45.75,45.75,45.75,0.0,0.0,40.5,40.5,40.5,0.0,0.0,42.05,42.05,42.05,0.0,0.0
2018-12-09,36.5,36.5,36.5,0.0,0.0,37.65,37.65,37.65,0.0,0.0,32.85,32.85,32.85,0.0,0.0,33.45,33.45,33.45,0.0,0.0
2018-12-16,24.25,24.25,24.25,0.0,0.0,24.4,24.4,24.4,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.45,21.45,21.45,0.0,0.0
2018-12-23,26.65,26.65,26.65,0.0,0.0,26.65,26.65,26.65,0.0,0.0,24.25,24.25,24.25,0.0,0.0,25.65,25.65,25.65,0.0,0.0
2018-12-30,33.25,33.25,33.25,0.0,0.0,36.95,36.95,36.95,0.0,0.0,32.95,32.95,32.95,0.0,0.0,35.7,35.7,35.7,0.0,0.0
2019-01-06,37.5,37.5,37.5,0.0,0.0,40.2,40.2,40.2,0.0,0.0,36.75,36.75,36.75,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2019-01-13,42.85,42.85,42.85,0.0,0.0,44.09,44.09,44.09,0.0,0.0,42.2,42.2,42.2,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2019-01-20,38.45,38.45,38.45,0.0,0.0,38.95,38.95,38.95,0.0,0.0,37.05,37.05,37.05,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2019-01-27,38.6,38.6,38.6,0.0,0.0,39.9,39.9,39.9,0.0,0.0,37.25,37.25,37.25,0.0,0.0,39.9,39.9,39.9,0.0,0.0
2019-02-03,30.1,30.1,30.1,0.0,0.0,32.1,32.1,32.1,0.0,0.0,29.4,29.4,29.4,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2019-02-10,36.85,36.85,36.85,0.0,0.0,38.95,38.95,38.95,0.0,0.0,36.85,36.85,36.85,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2019-02-17,37.75,37.75,37.75,0.0,0.0,39.05,39.05,39.05,0.0,0.0,37.35,37.35,37.35,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2019-02-24,39.25,39.25,39.25,0.0,0.0,39.53,39.53,39.53,0.0,0.0,36.9,36.9,36.9,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2019-03-03,32.25,32.25,32.25,0.0,0.0,33.05,33.05,33.05,0.0,0.0,31.55,31.55,31.55,0.0,0.0,32.85,32.85,32.85,0.0,0.0
2019-03-10,36.7,36.7,36.7,0.0,0.0,38.75,38.75,38.75,0.0,0.0,36.3,36.3,36.3,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2019-03-17,36.05,36.05,36.05,0.0,0.0,37.35,37.35,37.35,0.0,0.0,34.83,34.83,34.83,0.0,0.0,36.85,36.85,36.85,0.0,0.0
2019-03-24,40.2,40.2,40.2,0.0,0.0,41.35,41.35,41.35,0.0,0.0,39.6,39.6,39.6,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2019-03-31,41.05,41.05,41.05,0.0,0.0,42.3,42.3,42.3,0.0,0.0,40.35,40.35,40.35,0.0,0.0,41.15,41.15,41.15,0.0,0.0
2019-04-07,41.3,41.3,41.3,0.0,0.0,42.6,42.6,42.6,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.8,40.8,40.8,0.0,0.0
