Date,United States CopperEtf_Open_average,United States CopperEtf_Open_max,United States CopperEtf_Open_min,United States CopperEtf_Open_volatility,United States CopperEtf_Open_change,United States CopperEtf_High_average,United States CopperEtf_High_max,United States CopperEtf_High_min,United States CopperEtf_High_volatility,United States CopperEtf_High_change,United States CopperEtf_Low_average,United States CopperEtf_Low_max,United States CopperEtf_Low_min,United States CopperEtf_Low_volatility,United States CopperEtf_Low_change,United States CopperEtf_Close_average,United States CopperEtf_Close_max,United States CopperEtf_Close_min,United States CopperEtf_Close_volatility,United States CopperEtf_Close_change
2018-01-14,20.33,20.33,20.33,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.33,20.33,20.33,0.0,0.0,20.34,20.34,20.34,0.0,0.0
2018-01-21,20.32,20.32,20.32,0.0,0.0,20.49,20.49,20.49,0.0,0.0,20.32,20.32,20.32,0.0,0.0,20.46,20.46,20.46,0.0,0.0
2018-01-28,20.59,20.59,20.59,0.0,0.0,20.59,20.59,20.59,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.26,20.26,20.26,0.0,0.0
2018-02-04,19.62,19.62,19.62,0.0,0.0,19.62,19.62,19.62,0.0,0.0,19.47,19.47,19.47,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2018-02-11,20.65,20.65,20.65,0.0,0.0,20.85,20.85,20.85,0.0,0.0,20.65,20.65,20.65,0.0,0.0,20.65,20.65,20.65,0.0,0.0
2018-02-18,20.5,20.5,20.5,0.0,0.0,20.58,20.58,20.58,0.0,0.0,20.43,20.43,20.43,0.0,0.0,20.54,20.54,20.54,0.0,0.0
2018-02-25,19.88,19.88,19.88,0.0,0.0,19.95,19.95,19.95,0.0,0.0,19.81,19.81,19.81,0.0,0.0,19.95,19.95,19.95,0.0,0.0
2018-03-04,19.87,19.87,19.87,0.0,0.0,20.01,20.01,20.01,0.0,0.0,19.82,19.82,19.82,0.0,0.0,20.0,20.0,20.0,0.0,0.0
2018-03-11,19.85,19.85,19.85,0.0,0.0,19.85,19.85,19.85,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.75,19.75,19.75,0.0,0.0
2018-03-18,19.21,19.21,19.21,0.0,0.0,19.25,19.25,19.25,0.0,0.0,18.99,18.99,18.99,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2018-03-25,19.38,19.38,19.38,0.0,0.0,19.38,19.38,19.38,0.0,0.0,19.2,19.2,19.2,0.0,0.0,19.2,19.2,19.2,0.0,0.0
2018-04-01,19.34,19.34,19.34,0.0,0.0,19.42,19.42,19.42,0.0,0.0,19.22,19.22,19.22,0.0,0.0,19.42,19.42,19.42,0.0,0.0
