Date,BioShares Biotechnology ProductsEtf_Open_average,BioShares Biotechnology ProductsEtf_Open_max,BioShares Biotechnology ProductsEtf_Open_min,BioShares Biotechnology ProductsEtf_Open_volatility,BioShares Biotechnology ProductsEtf_Open_change,BioShares Biotechnology ProductsEtf_High_average,BioShares Biotechnology ProductsEtf_High_max,BioShares Biotechnology ProductsEtf_High_min,BioShares Biotechnology ProductsEtf_High_volatility,BioShares Biotechnology ProductsEtf_High_change,BioShares Biotechnology ProductsEtf_Low_average,BioShares Biotechnology ProductsEtf_Low_max,BioShares Biotechnology ProductsEtf_Low_min,BioShares Biotechnology ProductsEtf_Low_volatility,BioShares Biotechnology ProductsEtf_Low_change,BioShares Biotechnology ProductsEtf_Close_average,BioShares Biotechnology ProductsEtf_Close_max,BioShares Biotechnology ProductsEtf_Close_min,BioShares Biotechnology ProductsEtf_Close_volatility,BioShares Biotechnology ProductsEtf_Close_change
2018-01-14,40.8,40.8,40.8,0.0,0.0,41.3,41.3,41.3,0.0,0.0,40.8,40.8,40.8,0.0,0.0,41.29,41.29,41.29,0.0,0.0
2018-01-21,44.53,44.53,44.53,0.0,0.0,44.58,44.58,44.58,0.0,0.0,44.28,44.28,44.28,0.0,0.0,44.36,44.36,44.36,0.0,0.0
2018-01-28,43.04,43.04,43.04,0.0,0.0,43.26,43.26,43.26,0.0,0.0,42.55,42.55,42.55,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-02-04,39.51,39.51,39.51,0.0,0.0,39.73,39.73,39.73,0.0,0.0,38.19,38.19,38.19,0.0,0.0,39.42,39.42,39.42,0.0,0.0
2018-02-11,42.36,42.36,42.36,0.0,0.0,42.48,42.48,42.48,0.0,0.0,42.23,42.23,42.23,0.0,0.0,42.23,42.23,42.23,0.0,0.0
2018-02-18,42.0,42.0,42.0,0.0,0.0,42.23,42.23,42.23,0.0,0.0,41.9,41.9,41.9,0.0,0.0,42.22,42.22,42.22,0.0,0.0
2018-02-25,40.29,40.29,40.29,0.0,0.0,41.77,41.77,41.77,0.0,0.0,40.0,40.0,40.0,0.0,0.0,41.77,41.77,41.77,0.0,0.0
2018-03-04,43.97,43.97,43.97,0.0,0.0,44.09,44.09,44.09,0.0,0.0,43.6,43.6,43.6,0.0,0.0,44.09,44.09,44.09,0.0,0.0
2018-03-11,43.71,43.71,43.71,0.0,0.0,43.71,43.71,43.71,0.0,0.0,43.12,43.12,43.12,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2018-03-18,41.71,41.71,41.71,0.0,0.0,41.74,41.74,41.74,0.0,0.0,40.75,40.75,40.75,0.0,0.0,40.75,40.75,40.75,0.0,0.0
2018-03-25,40.74,40.74,40.74,0.0,0.0,41.27,41.27,41.27,0.0,0.0,40.74,40.74,40.74,0.0,0.0,41.27,41.27,41.27,0.0,0.0
2018-04-01,40.41,40.41,40.41,0.0,0.0,40.41,40.41,40.41,0.0,0.0,40.3,40.3,40.3,0.0,0.0,40.3,40.3,40.3,0.0,0.0
2018-04-08,41.47,41.47,41.47,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.44,41.44,41.44,0.0,0.0,41.44,41.44,41.44,0.0,0.0
2018-04-15,41.09,41.09,41.09,0.0,0.0,41.16,41.16,41.16,0.0,0.0,41.09,41.09,41.09,0.0,0.0,41.16,41.16,41.16,0.0,0.0
2018-04-22,40.79,40.79,40.79,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.79,40.79,40.79,0.0,0.0,40.79,40.79,40.79,0.0,0.0
2018-04-29,40.88,40.88,40.88,0.0,0.0,40.88,40.88,40.88,0.0,0.0,40.76,40.76,40.76,0.0,0.0,40.76,40.76,40.76,0.0,0.0
2018-05-06,42.1,42.1,42.1,0.0,0.0,42.8,42.8,42.8,0.0,0.0,41.92,41.92,41.92,0.0,0.0,42.77,42.77,42.77,0.0,0.0
2018-05-13,43.33,43.33,43.33,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.17,43.17,43.17,0.0,0.0,43.19,43.19,43.19,0.0,0.0
2018-05-20,42.64,42.64,42.64,0.0,0.0,42.72,42.72,42.72,0.0,0.0,42.64,42.64,42.64,0.0,0.0,42.72,42.72,42.72,0.0,0.0
2018-05-27,44.33,44.33,44.33,0.0,0.0,44.33,44.33,44.33,0.0,0.0,43.88,43.88,43.88,0.0,0.0,44.02,44.02,44.02,0.0,0.0
2018-06-03,43.08,43.08,43.08,0.0,0.0,44.04,44.04,44.04,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.95,43.95,43.95,0.0,0.0
2018-06-10,44.31,44.31,44.31,0.0,0.0,44.56,44.56,44.56,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.55,44.55,44.55,0.0,0.0
2018-06-17,45.49,45.49,45.49,0.0,0.0,45.49,45.49,45.49,0.0,0.0,45.33,45.33,45.33,0.0,0.0,45.46,45.46,45.46,0.0,0.0
2018-06-24,43.68,43.68,43.68,0.0,0.0,44.04,44.04,44.04,0.0,0.0,43.68,43.68,43.68,0.0,0.0,43.89,43.89,43.89,0.0,0.0
