Date,iShares MSCI Emerging Markets Asia_Open_average,iShares MSCI Emerging Markets Asia_Open_max,iShares MSCI Emerging Markets Asia_Open_min,iShares MSCI Emerging Markets Asia_Open_volatility,iShares MSCI Emerging Markets Asia_Open_change,iShares MSCI Emerging Markets Asia_High_average,iShares MSCI Emerging Markets Asia_High_max,iShares MSCI Emerging Markets Asia_High_min,iShares MSCI Emerging Markets Asia_High_volatility,iShares MSCI Emerging Markets Asia_High_change,iShares MSCI Emerging Markets Asia_Low_average,iShares MSCI Emerging Markets Asia_Low_max,iShares MSCI Emerging Markets Asia_Low_min,iShares MSCI Emerging Markets Asia_Low_volatility,iShares MSCI Emerging Markets Asia_Low_change,iShares MSCI Emerging Markets Asia_Close_average,iShares MSCI Emerging Markets Asia_Close_max,iShares MSCI Emerging Markets Asia_Close_min,iShares MSCI Emerging Markets Asia_Close_volatility,iShares MSCI Emerging Markets Asia_Close_change
2018-01-14,78.67,78.67,78.67,0.0,0.0,79.28,79.28,79.28,0.0,0.0,78.56,78.56,78.56,0.0,0.0,79.28,79.28,79.28,0.0,0.0
2018-01-21,81.19,81.19,81.19,0.0,0.0,81.19,81.19,81.19,0.0,0.0,80.11,80.11,80.11,0.0,0.0,80.28,80.28,80.28,0.0,0.0
2018-01-28,76.27,76.27,76.27,0.0,0.0,76.87,76.87,76.87,0.0,0.0,74.25,74.25,74.25,0.0,0.0,74.39,74.39,74.39,0.0,0.0
2018-02-04,72.74,72.74,72.74,0.0,0.0,73.61,73.61,73.61,0.0,0.0,72.35,72.35,72.35,0.0,0.0,73.23,73.23,73.23,0.0,0.0
2018-02-11,76.94,76.94,76.94,0.0,0.0,77.42,77.42,77.42,0.0,0.0,76.66,76.66,76.66,0.0,0.0,76.73,76.73,76.73,0.0,0.0
2018-02-18,76.99,76.99,76.99,0.0,0.0,77.48,77.48,77.48,0.0,0.0,76.67,76.67,76.67,0.0,0.0,77.39,77.39,77.39,0.0,0.0
2018-02-25,73.81,73.81,73.81,0.0,0.0,74.61,74.61,74.61,0.0,0.0,73.55,73.55,73.55,0.0,0.0,74.6,74.6,74.6,0.0,0.0
2018-03-04,77.12,77.12,77.12,0.0,0.0,77.5,77.5,77.5,0.0,0.0,77.04,77.04,77.04,0.0,0.0,77.35,77.35,77.35,0.0,0.0
2018-03-11,76.99,76.99,76.99,0.0,0.0,76.99,76.99,76.99,0.0,0.0,75.75,75.75,75.75,0.0,0.0,76.25,76.25,76.25,0.0,0.0
2018-03-18,74.86,74.86,74.86,0.0,0.0,75.55,75.55,75.55,0.0,0.0,74.13,74.13,74.13,0.0,0.0,75.53,75.53,75.53,0.0,0.0
