Date,Guggenheim Total Return BondEtf_Open_average,Guggenheim Total Return BondEtf_Open_max,Guggenheim Total Return BondEtf_Open_min,Guggenheim Total Return BondEtf_Open_volatility,Guggenheim Total Return BondEtf_Open_change,Guggenheim Total Return BondEtf_High_average,Guggenheim Total Return BondEtf_High_max,Guggenheim Total Return BondEtf_High_min,Guggenheim Total Return BondEtf_High_volatility,Guggenheim Total Return BondEtf_High_change,Guggenheim Total Return BondEtf_Low_average,Guggenheim Total Return BondEtf_Low_max,Guggenheim Total Return BondEtf_Low_min,Guggenheim Total Return BondEtf_Low_volatility,Guggenheim Total Return BondEtf_Low_change,Guggenheim Total Return BondEtf_Close_average,Guggenheim Total Return BondEtf_Close_max,Guggenheim Total Return BondEtf_Close_min,Guggenheim Total Return BondEtf_Close_volatility,Guggenheim Total Return BondEtf_Close_change
2018-01-14,52.55,52.55,52.55,0.0,0.0,52.71,52.71,52.71,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-01-21,52.75,52.75,52.75,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.62,52.62,52.62,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2018-01-28,52.35,52.35,52.35,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.41,52.41,52.41,0.0,0.0
2018-02-04,52.01,52.01,52.01,0.0,0.0,52.21,52.21,52.21,0.0,0.0,52.01,52.01,52.01,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2018-02-11,52.2,52.2,52.2,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.26,52.26,52.26,0.0,0.0
2018-02-18,52.18,52.18,52.18,0.0,0.0,52.2,52.2,52.2,0.0,0.0,52.13,52.13,52.13,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2018-02-25,52.13,52.13,52.13,0.0,0.0,52.15,52.15,52.15,0.0,0.0,51.99,51.99,51.99,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-03-04,52.07,52.07,52.07,0.0,0.0,52.11,52.11,52.11,0.0,0.0,51.96,51.96,51.96,0.0,0.0,51.98,51.98,51.98,0.0,0.0
2018-03-11,52.09,52.09,52.09,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.14,52.14,52.14,0.0,0.0
2018-03-18,52.22,52.22,52.22,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.19,52.19,52.19,0.0,0.0
2018-03-25,52.23,52.23,52.23,0.0,0.0,52.49,52.49,52.49,0.0,0.0,52.23,52.23,52.23,0.0,0.0,52.32,52.32,52.32,0.0,0.0
2018-04-01,52.17,52.17,52.17,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.17,52.17,52.17,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2018-04-08,51.98,51.98,51.98,0.0,0.0,52.29,52.29,52.29,0.0,0.0,51.96,51.96,51.96,0.0,0.0,52.28,52.28,52.28,0.0,0.0
2018-04-15,51.97,51.97,51.97,0.0,0.0,51.98,51.98,51.98,0.0,0.0,51.8,51.8,51.8,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2018-04-22,51.89,51.89,51.89,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.77,51.77,51.77,0.0,0.0,51.77,51.77,51.77,0.0,0.0
2018-04-29,51.83,51.83,51.83,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-05-06,51.66,51.66,51.66,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.62,51.62,51.62,0.0,0.0,51.7,51.7,51.7,0.0,0.0
2018-05-13,51.37,51.37,51.37,0.0,0.0,51.45,51.45,51.45,0.0,0.0,51.28,51.28,51.28,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2018-05-20,51.77,51.77,51.77,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.78,51.78,51.78,0.0,0.0
2018-05-27,51.96,51.96,51.96,0.0,0.0,52.04,52.04,52.04,0.0,0.0,51.95,51.95,51.95,0.0,0.0,52.04,52.04,52.04,0.0,0.0
2018-06-03,51.73,51.73,51.73,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.66,51.66,51.66,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2018-06-10,51.8,51.8,51.8,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.79,51.79,51.79,0.0,0.0,51.81,51.81,51.81,0.0,0.0
2018-06-17,51.92,51.92,51.92,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.88,51.88,51.88,0.0,0.0,51.9,51.9,51.9,0.0,0.0
2018-06-24,51.95,51.95,51.95,0.0,0.0,51.99,51.99,51.99,0.0,0.0,51.95,51.95,51.95,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-07-01,52.06,52.06,52.06,0.0,0.0,52.06,52.06,52.06,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-07-08,52.07,52.07,52.07,0.0,0.0,52.08,52.08,52.08,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.07,52.07,52.07,0.0,0.0
2018-07-15,51.93,51.93,51.93,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.93,51.93,51.93,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-07-22,51.74,51.74,51.74,0.0,0.0,51.78,51.78,51.78,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.78,51.78,51.78,0.0,0.0
2018-07-29,51.76,51.76,51.76,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.69,51.69,51.69,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2018-08-05,52.02,52.02,52.02,0.0,0.0,52.02,52.02,52.02,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-08-12,52.05,52.05,52.05,0.0,0.0,52.15,52.15,52.15,0.0,0.0,52.05,52.05,52.05,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2018-08-19,52.11,52.11,52.11,0.0,0.0,52.22,52.22,52.22,0.0,0.0,52.1,52.1,52.1,0.0,0.0,52.18,52.18,52.18,0.0,0.0
2018-08-26,52.34,52.34,52.34,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.12,52.12,52.12,0.0,0.0
2018-09-02,51.81,51.81,51.81,0.0,0.0,51.92,51.92,51.92,0.0,0.0,51.81,51.81,51.81,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-09-09,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0,51.74,51.74,51.74,0.0,0.0
2018-09-16,51.65,51.65,51.65,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.65,51.65,51.65,0.0,0.0,51.65,51.65,51.65,0.0,0.0
2018-09-23,51.56,51.56,51.56,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.52,51.52,51.52,0.0,0.0,51.52,51.52,51.52,0.0,0.0
2018-09-30,51.19,51.19,51.19,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.02,51.02,51.02,0.0,0.0,51.1,51.1,51.1,0.0,0.0
2018-10-07,51.31,51.31,51.31,0.0,0.0,51.38,51.38,51.38,0.0,0.0,51.29,51.29,51.29,0.0,0.0,51.38,51.38,51.38,0.0,0.0
2018-10-14,51.2,51.2,51.2,0.0,0.0,51.25,51.25,51.25,0.0,0.0,51.18,51.18,51.18,0.0,0.0,51.18,51.18,51.18,0.0,0.0
2018-10-21,51.06,51.06,51.06,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.01,51.01,51.01,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-10-28,50.9,50.9,50.9,0.0,0.0,50.93,50.93,50.93,0.0,0.0,50.71,50.71,50.71,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-11-04,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-11-11,50.95,50.95,50.95,0.0,0.0,50.97,50.97,50.97,0.0,0.0,50.94,50.94,50.94,0.0,0.0,50.97,50.97,50.97,0.0,0.0
