Date,ProShares Short FTSE China 50Etf_Open_average,ProShares Short FTSE China 50Etf_Open_max,ProShares Short FTSE China 50Etf_Open_min,ProShares Short FTSE China 50Etf_Open_volatility,ProShares Short FTSE China 50Etf_Open_change,ProShares Short FTSE China 50Etf_High_average,ProShares Short FTSE China 50Etf_High_max,ProShares Short FTSE China 50Etf_High_min,ProShares Short FTSE China 50Etf_High_volatility,ProShares Short FTSE China 50Etf_High_change,ProShares Short FTSE China 50Etf_Low_average,ProShares Short FTSE China 50Etf_Low_max,ProShares Short FTSE China 50Etf_Low_min,ProShares Short FTSE China 50Etf_Low_volatility,ProShares Short FTSE China 50Etf_Low_change,ProShares Short FTSE China 50Etf_Close_average,ProShares Short FTSE China 50Etf_Close_max,ProShares Short FTSE China 50Etf_Close_min,ProShares Short FTSE China 50Etf_Close_volatility,ProShares Short FTSE China 50Etf_Close_change
2018-01-14,17.17,17.17,17.17,0.0,0.0,17.24,17.24,17.24,0.0,0.0,17.11,17.11,17.11,0.0,0.0,17.11,17.11,17.11,0.0,0.0
2018-01-21,16.51,16.51,16.51,0.0,0.0,16.53,16.53,16.53,0.0,0.0,16.42,16.42,16.42,0.0,0.0,16.42,16.42,16.42,0.0,0.0
2018-01-28,17.1,17.1,17.1,0.0,0.0,17.34,17.34,17.34,0.0,0.0,17.1,17.1,17.1,0.0,0.0,17.33,17.33,17.33,0.0,0.0
2018-02-04,19.25,19.25,19.25,0.0,0.0,19.73,19.73,19.73,0.0,0.0,18.94,18.94,18.94,0.0,0.0,19.1,19.1,19.1,0.0,0.0
2018-02-11,17.82,17.82,17.82,0.0,0.0,17.86,17.86,17.86,0.0,0.0,17.63,17.63,17.63,0.0,0.0,17.8,17.8,17.8,0.0,0.0
2018-02-18,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.67,17.67,17.67,0.0,0.0,17.67,17.67,17.67,0.0,0.0
2018-02-25,18.86,18.86,18.86,0.0,0.0,18.96,18.96,18.96,0.0,0.0,18.56,18.56,18.56,0.0,0.0,18.56,18.56,18.56,0.0,0.0
2018-03-04,18.09,18.09,18.09,0.0,0.0,18.11,18.11,18.11,0.0,0.0,17.84,17.84,17.84,0.0,0.0,17.84,17.84,17.84,0.0,0.0
2018-03-11,17.85,17.85,17.85,0.0,0.0,17.88,17.88,17.88,0.0,0.0,17.77,17.77,17.77,0.0,0.0,17.77,17.77,17.77,0.0,0.0
2018-03-18,18.67,18.67,18.67,0.0,0.0,18.92,18.92,18.92,0.0,0.0,18.57,18.57,18.57,0.0,0.0,18.92,18.92,18.92,0.0,0.0
2018-03-25,18.53,18.53,18.53,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.4,18.4,18.4,0.0,0.0
2018-04-01,18.64,18.64,18.64,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.64,18.64,18.64,0.0,0.0,19.0,19.0,19.0,0.0,0.0
2018-04-08,18.19,18.19,18.19,0.0,0.0,18.27,18.27,18.27,0.0,0.0,18.19,18.19,18.19,0.0,0.0,18.27,18.27,18.27,0.0,0.0
2018-04-15,18.65,18.65,18.65,0.0,0.0,18.78,18.78,18.78,0.0,0.0,18.64,18.64,18.64,0.0,0.0,18.74,18.74,18.74,0.0,0.0
2018-04-22,18.65,18.65,18.65,0.0,0.0,18.65,18.65,18.65,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-04-29,18.71,18.71,18.71,0.0,0.0,18.71,18.71,18.71,0.0,0.0,18.6,18.6,18.6,0.0,0.0,18.6,18.6,18.6,0.0,0.0
2018-05-06,17.95,17.95,17.95,0.0,0.0,18.07,18.07,18.07,0.0,0.0,17.95,17.95,17.95,0.0,0.0,18.05,18.05,18.05,0.0,0.0
2018-05-13,18.11,18.11,18.11,0.0,0.0,18.15,18.15,18.15,0.0,0.0,18.11,18.11,18.11,0.0,0.0,18.14,18.14,18.14,0.0,0.0
2018-05-20,18.41,18.41,18.41,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.41,18.41,18.41,0.0,0.0,18.42,18.42,18.42,0.0,0.0
