Date,ProShares Ultra Telecommunications_Open_average,ProShares Ultra Telecommunications_Open_max,ProShares Ultra Telecommunications_Open_min,ProShares Ultra Telecommunications_Open_volatility,ProShares Ultra Telecommunications_Open_change,ProShares Ultra Telecommunications_High_average,ProShares Ultra Telecommunications_High_max,ProShares Ultra Telecommunications_High_min,ProShares Ultra Telecommunications_High_volatility,ProShares Ultra Telecommunications_High_change,ProShares Ultra Telecommunications_Low_average,ProShares Ultra Telecommunications_Low_max,ProShares Ultra Telecommunications_Low_min,ProShares Ultra Telecommunications_Low_volatility,ProShares Ultra Telecommunications_Low_change,ProShares Ultra Telecommunications_Close_average,ProShares Ultra Telecommunications_Close_max,ProShares Ultra Telecommunications_Close_min,ProShares Ultra Telecommunications_Close_volatility,ProShares Ultra Telecommunications_Close_change
2018-01-14,41.87,41.87,41.87,0.0,0.0,43.4,43.4,43.4,0.0,0.0,41.87,41.87,41.87,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-01-21,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-01-28,44.75,44.75,44.75,0.0,0.0,44.75,44.75,44.75,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2018-02-04,36.83,36.83,36.83,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-02-11,39.25,39.25,39.25,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.25,39.25,39.25,0.0,0.0,39.58,39.58,39.58,0.0,0.0
2018-02-18,39.36,39.36,39.36,0.0,0.0,39.92,39.92,39.92,0.0,0.0,39.2,39.2,39.2,0.0,0.0,39.92,39.92,39.92,0.0,0.0
2018-02-25,38.3,38.3,38.3,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.3,38.3,38.3,0.0,0.0
2018-03-04,38.48,38.48,38.48,0.0,0.0,39.09,39.09,39.09,0.0,0.0,38.48,38.48,38.48,0.0,0.0,39.09,39.09,39.09,0.0,0.0
2018-03-11,38.42,38.42,38.42,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.42,38.42,38.42,0.0,0.0
2018-03-18,36.44,36.44,36.44,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.31,36.31,36.31,0.0,0.0,36.31,36.31,36.31,0.0,0.0
