Date,QuantShares US Market Neutral Value_Open_average,QuantShares US Market Neutral Value_Open_max,QuantShares US Market Neutral Value_Open_min,QuantShares US Market Neutral Value_Open_volatility,QuantShares US Market Neutral Value_Open_change,QuantShares US Market Neutral Value_High_average,QuantShares US Market Neutral Value_High_max,QuantShares US Market Neutral Value_High_min,QuantShares US Market Neutral Value_High_volatility,QuantShares US Market Neutral Value_High_change,QuantShares US Market Neutral Value_Low_average,QuantShares US Market Neutral Value_Low_max,QuantShares US Market Neutral Value_Low_min,QuantShares US Market Neutral Value_Low_volatility,QuantShares US Market Neutral Value_Low_change,QuantShares US Market Neutral Value_Close_average,QuantShares US Market Neutral Value_Close_max,QuantShares US Market Neutral Value_Close_min,QuantShares US Market Neutral Value_Close_volatility,QuantShares US Market Neutral Value_Close_change
2018-12-23,21.11,21.11,21.11,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.47,21.47,21.47,0.0,0.0
2018-12-30,21.81,21.81,21.81,0.0,0.0,21.96,21.96,21.96,0.0,0.0,21.76,21.76,21.76,0.0,0.0,21.96,21.96,21.96,0.0,0.0
2019-01-06,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0,22.43,22.43,22.43,0.0,0.0
2019-01-13,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0,22.02,22.02,22.02,0.0,0.0
2019-01-20,22.26,22.26,22.26,0.0,0.0,22.26,22.26,22.26,0.0,0.0,22.26,22.26,22.26,0.0,0.0,22.26,22.26,22.26,0.0,0.0
2019-01-27,21.86,21.86,21.86,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.86,21.86,21.86,0.0,0.0,21.86,21.86,21.86,0.0,0.0
2019-02-03,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0,21.51,21.51,21.51,0.0,0.0
2019-02-10,21.95,21.95,21.95,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.95,21.95,21.95,0.0,0.0,21.95,21.95,21.95,0.0,0.0
2019-02-17,21.98,21.98,21.98,0.0,0.0,21.98,21.98,21.98,0.0,0.0,21.98,21.98,21.98,0.0,0.0,21.98,21.98,21.98,0.0,0.0
2019-02-24,22.11,22.11,22.11,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.11,22.11,22.11,0.0,0.0,22.45,22.45,22.45,0.0,0.0
2019-03-03,21.48,21.48,21.48,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.48,21.48,21.48,0.0,0.0,21.48,21.48,21.48,0.0,0.0
2019-03-10,21.42,21.42,21.42,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.42,21.42,21.42,0.0,0.0,21.42,21.42,21.42,0.0,0.0
2019-03-17,21.14,21.14,21.14,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.14,21.14,21.14,0.0,0.0
2019-03-24,21.1,21.1,21.1,0.0,0.0,21.11,21.11,21.11,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.11,21.11,21.11,0.0,0.0
2019-03-31,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0,21.47,21.47,21.47,0.0,0.0
2019-04-07,21.38,21.38,21.38,0.0,0.0,21.39,21.39,21.39,0.0,0.0,21.38,21.38,21.38,0.0,0.0,21.39,21.39,21.39,0.0,0.0
2019-04-14,21.43,21.43,21.43,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.43,21.43,21.43,0.0,0.0,21.43,21.43,21.43,0.0,0.0
2019-04-21,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0,21.25,21.25,21.25,0.0,0.0
2019-04-28,21.14,21.14,21.14,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.14,21.14,21.14,0.0,0.0
2019-05-05,20.95,20.95,20.95,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.95,20.95,20.95,0.0,0.0,20.95,20.95,20.95,0.0,0.0
2019-05-12,20.54,20.54,20.54,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.54,20.54,20.54,0.0,0.0,20.54,20.54,20.54,0.0,0.0
2019-05-19,20.27,20.27,20.27,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.27,20.27,20.27,0.0,0.0,20.27,20.27,20.27,0.0,0.0
2019-05-26,19.98,19.98,19.98,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2019-06-02,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0,19.7,19.7,19.7,0.0,0.0
2019-06-09,19.63,19.63,19.63,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.63,19.63,19.63,0.0,0.0,19.63,19.63,19.63,0.0,0.0
2019-06-16,19.96,19.96,19.96,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.96,19.96,19.96,0.0,0.0,19.96,19.96,19.96,0.0,0.0
2019-06-23,20.25,20.25,20.25,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.25,20.25,20.25,0.0,0.0,20.25,20.25,20.25,0.0,0.0
2019-06-30,20.09,20.09,20.09,0.0,0.0,20.09,20.09,20.09,0.0,0.0,20.09,20.09,20.09,0.0,0.0,20.09,20.09,20.09,0.0,0.0
2019-07-07,19.71,19.71,19.71,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.71,19.71,19.71,0.0,0.0,19.71,19.71,19.71,0.0,0.0
2019-07-14,19.51,19.51,19.51,0.0,0.0,19.51,19.51,19.51,0.0,0.0,19.5,19.5,19.5,0.0,0.0,19.5,19.5,19.5,0.0,0.0
2019-07-21,19.91,19.91,19.91,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.91,19.91,19.91,0.0,0.0,19.91,19.91,19.91,0.0,0.0
2019-07-28,19.53,19.53,19.53,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.53,19.53,19.53,0.0,0.0,19.53,19.53,19.53,0.0,0.0
2019-08-04,19.11,19.11,19.11,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.11,19.11,19.11,0.0,0.0,19.11,19.11,19.11,0.0,0.0
2019-08-11,19.07,19.07,19.07,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.07,19.07,19.07,0.0,0.0,19.07,19.07,19.07,0.0,0.0
2019-08-18,18.88,18.88,18.88,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.88,18.88,18.88,0.0,0.0
2019-08-25,18.93,18.93,18.93,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.93,18.93,18.93,0.0,0.0,18.93,18.93,18.93,0.0,0.0
2019-09-01,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0,20.02,20.02,20.02,0.0,0.0
2019-09-08,20.71,20.71,20.71,0.0,0.0,20.71,20.71,20.71,0.0,0.0,20.71,20.71,20.71,0.0,0.0,20.71,20.71,20.71,0.0,0.0
2019-09-15,20.36,20.36,20.36,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.36,20.36,20.36,0.0,0.0,20.36,20.36,20.36,0.0,0.0
2019-09-22,20.51,20.51,20.51,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.51,20.51,20.51,0.0,0.0
2019-09-29,19.98,19.98,19.98,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.98,19.98,19.98,0.0,0.0,19.98,19.98,19.98,0.0,0.0
2019-10-06,20.05,20.05,20.05,0.0,0.0,20.05,20.05,20.05,0.0,0.0,20.05,20.05,20.05,0.0,0.0,20.05,20.05,20.05,0.0,0.0
2019-10-13,20.48,20.48,20.48,0.0,0.0,20.48,20.48,20.48,0.0,0.0,20.48,20.48,20.48,0.0,0.0,20.48,20.48,20.48,0.0,0.0
2019-10-20,21.14,21.14,21.14,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.14,21.14,21.14,0.0,0.0,21.14,21.14,21.14,0.0,0.0
2019-10-27,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0
2019-11-03,21.68,21.68,21.68,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.68,21.68,21.68,0.0,0.0,21.68,21.68,21.68,0.0,0.0
2019-11-10,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0,21.3,21.3,21.3,0.0,0.0
2019-11-17,20.92,20.92,20.92,0.0,0.0,21.07,21.07,21.07,0.0,0.0,20.92,20.92,20.92,0.0,0.0,21.07,21.07,21.07,0.0,0.0
2019-11-24,20.68,20.68,20.68,0.0,0.0,21.17,21.17,21.17,0.0,0.0,20.64,20.64,20.64,0.0,0.0,20.96,20.96,20.96,0.0,0.0
2019-12-01,21.1,21.1,21.1,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.1,21.1,21.1,0.0,0.0,21.1,21.1,21.1,0.0,0.0
2019-12-08,21.23,21.23,21.23,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.23,21.23,21.23,0.0,0.0,21.23,21.23,21.23,0.0,0.0
2019-12-15,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0,21.46,21.46,21.46,0.0,0.0
2019-12-22,21.1,21.1,21.1,0.0,0.0,21.1,21.1,21.1,0.0,0.0,20.98,20.98,20.98,0.0,0.0,20.98,20.98,20.98,0.0,0.0
2019-12-29,20.73,20.73,20.73,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.73,20.73,20.73,0.0,0.0,20.73,20.73,20.73,0.0,0.0
