Date,SPDR S&P Software & Services_Open_average,SPDR S&P Software & Services_Open_max,SPDR S&P Software & Services_Open_min,SPDR S&P Software & Services_Open_volatility,SPDR S&P Software & Services_Open_change,SPDR S&P Software & Services_High_average,SPDR S&P Software & Services_High_max,SPDR S&P Software & Services_High_min,SPDR S&P Software & Services_High_volatility,SPDR S&P Software & Services_High_change,SPDR S&P Software & Services_Low_average,SPDR S&P Software & Services_Low_max,SPDR S&P Software & Services_Low_min,SPDR S&P Software & Services_Low_volatility,SPDR S&P Software & Services_Low_change,SPDR S&P Software & Services_Close_average,SPDR S&P Software & Services_Close_max,SPDR S&P Software & Services_Close_min,SPDR S&P Software & Services_Close_volatility,SPDR S&P Software & Services_Close_change
2018-01-14,74.05,74.05,74.05,0.0,0.0,74.52,74.52,74.52,0.0,0.0,74.05,74.05,74.05,0.0,0.0,74.52,74.52,74.52,0.0,0.0
2018-01-21,75.55,75.55,75.55,0.0,0.0,75.55,75.55,75.55,0.0,0.0,74.85,74.85,74.85,0.0,0.0,74.85,74.85,74.85,0.0,0.0
2018-01-28,72.78,72.78,72.78,0.0,0.0,73.28,73.28,73.28,0.0,0.0,70.78,70.78,70.78,0.0,0.0,71.0,71.0,71.0,0.0,0.0
2018-02-04,71.31,71.31,71.31,0.0,0.0,71.57,71.57,71.57,0.0,0.0,71.27,71.27,71.27,0.0,0.0,71.27,71.27,71.27,0.0,0.0
2018-02-11,74.78,74.78,74.78,0.0,0.0,75.43,75.43,75.43,0.0,0.0,74.78,74.78,74.78,0.0,0.0,75.28,75.28,75.28,0.0,0.0
2018-02-18,76.25,76.25,76.25,0.0,0.0,76.43,76.43,76.43,0.0,0.0,75.97,75.97,75.97,0.0,0.0,76.28,76.28,76.28,0.0,0.0
2018-02-25,75.98,75.98,75.98,0.0,0.0,77.31,77.31,77.31,0.0,0.0,75.88,75.88,75.88,0.0,0.0,77.17,77.17,77.17,0.0,0.0
2018-03-04,79.58,79.58,79.58,0.0,0.0,79.68,79.68,79.68,0.0,0.0,79.25,79.25,79.25,0.0,0.0,79.55,79.55,79.55,0.0,0.0
2018-03-11,78.34,78.34,78.34,0.0,0.0,78.34,78.34,78.34,0.0,0.0,76.97,76.97,76.97,0.0,0.0,77.91,77.91,77.91,0.0,0.0
2018-03-18,76.04,76.04,76.04,0.0,0.0,76.82,76.82,76.82,0.0,0.0,75.72,75.72,75.72,0.0,0.0,76.82,76.82,76.82,0.0,0.0
2018-03-25,75.0,75.0,75.0,0.0,0.0,75.0,75.0,75.0,0.0,0.0,73.67,73.67,73.67,0.0,0.0,74.0,74.0,74.0,0.0,0.0
2018-04-01,75.12,75.12,75.12,0.0,0.0,75.77,75.77,75.77,0.0,0.0,74.86,74.86,74.86,0.0,0.0,74.86,74.86,74.86,0.0,0.0
2018-04-08,76.65,76.65,76.65,0.0,0.0,77.39,77.39,77.39,0.0,0.0,76.64,76.64,76.64,0.0,0.0,77.33,77.33,77.33,0.0,0.0
2018-04-15,78.02,78.02,78.02,0.0,0.0,78.17,78.17,78.17,0.0,0.0,77.63,77.63,77.63,0.0,0.0,77.74,77.74,77.74,0.0,0.0
2018-04-22,78.01,78.01,78.01,0.0,0.0,78.01,78.01,78.01,0.0,0.0,77.42,77.42,77.42,0.0,0.0,77.44,77.44,77.44,0.0,0.0
