Date,Proshares UltraPro NASDAQ Biotechnology_Open_average,Proshares UltraPro NASDAQ Biotechnology_Open_max,Proshares UltraPro NASDAQ Biotechnology_Open_min,Proshares UltraPro NASDAQ Biotechnology_Open_volatility,Proshares UltraPro NASDAQ Biotechnology_Open_change,Proshares UltraPro NASDAQ Biotechnology_High_average,Proshares UltraPro NASDAQ Biotechnology_High_max,Proshares UltraPro NASDAQ Biotechnology_High_min,Proshares UltraPro NASDAQ Biotechnology_High_volatility,Proshares UltraPro NASDAQ Biotechnology_High_change,Proshares UltraPro NASDAQ Biotechnology_Low_average,Proshares UltraPro NASDAQ Biotechnology_Low_max,Proshares UltraPro NASDAQ Biotechnology_Low_min,Proshares UltraPro NASDAQ Biotechnology_Low_volatility,Proshares UltraPro NASDAQ Biotechnology_Low_change,Proshares UltraPro NASDAQ Biotechnology_Close_average,Proshares UltraPro NASDAQ Biotechnology_Close_max,Proshares UltraPro NASDAQ Biotechnology_Close_min,Proshares UltraPro NASDAQ Biotechnology_Close_volatility,Proshares UltraPro NASDAQ Biotechnology_Close_change
2018-01-14,39.6,39.6,39.6,0.0,0.0,42.24,42.24,42.24,0.0,0.0,39.51,39.51,39.51,0.0,0.0,42.2,42.2,42.2,0.0,0.0
2018-01-21,45.03,45.03,45.03,0.0,0.0,46.35,46.35,46.35,0.0,0.0,44.94,44.94,44.94,0.0,0.0,45.49,45.49,45.49,0.0,0.0
2018-01-28,37.46,37.46,37.46,0.0,0.0,38.64,38.64,38.64,0.0,0.0,33.22,33.22,33.22,0.0,0.0,33.22,33.22,33.22,0.0,0.0
2018-02-04,32.82,32.82,32.82,0.0,0.0,34.14,34.14,34.14,0.0,0.0,31.83,31.83,31.83,0.0,0.0,33.26,33.26,33.26,0.0,0.0
2018-02-11,35.85,35.85,35.85,0.0,0.0,37.13,37.13,37.13,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2018-02-18,36.55,36.55,36.55,0.0,0.0,37.2,37.2,37.2,0.0,0.0,36.13,36.13,36.13,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-02-25,34.24,34.24,34.24,0.0,0.0,36.41,36.41,36.41,0.0,0.0,34.21,34.21,34.21,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2018-03-04,39.99,39.99,39.99,0.0,0.0,40.27,40.27,40.27,0.0,0.0,39.08,39.08,39.08,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2018-03-11,36.91,36.91,36.91,0.0,0.0,37.79,37.79,37.79,0.0,0.0,34.6,34.6,34.6,0.0,0.0,35.68,35.68,35.68,0.0,0.0
2018-03-18,32.14,32.14,32.14,0.0,0.0,33.36,33.36,33.36,0.0,0.0,30.6,30.6,30.6,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-03-25,31.26,31.26,31.26,0.0,0.0,31.26,31.26,31.26,0.0,0.0,27.17,27.17,27.17,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-04-01,27.66,27.66,27.66,0.0,0.0,29.41,29.41,29.41,0.0,0.0,27.62,27.62,27.62,0.0,0.0,28.12,28.12,28.12,0.0,0.0
2018-04-08,31.27,31.27,31.27,0.0,0.0,31.27,31.27,31.27,0.0,0.0,29.94,29.94,29.94,0.0,0.0,30.02,30.02,30.02,0.0,0.0
2018-04-15,29.81,29.81,29.81,0.0,0.0,30.17,30.17,30.17,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.54,29.54,29.54,0.0,0.0
2018-04-22,29.43,29.43,29.43,0.0,0.0,30.3,30.3,30.3,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.38,28.38,28.38,0.0,0.0
2018-04-29,27.68,27.68,27.68,0.0,0.0,28.03,28.03,28.03,0.0,0.0,27.61,27.61,27.61,0.0,0.0,27.85,27.85,27.85,0.0,0.0
2018-05-06,31.03,31.03,31.03,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.0,31.0,31.0,0.0,0.0,31.69,31.69,31.69,0.0,0.0
2018-05-13,32.18,32.18,32.18,0.0,0.0,32.32,32.32,32.32,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2018-05-20,31.33,31.33,31.33,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-05-27,33.77,33.77,33.77,0.0,0.0,33.77,33.77,33.77,0.0,0.0,31.47,31.47,31.47,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2018-06-03,33.72,33.72,33.72,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2018-06-10,33.83,33.83,33.83,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-06-17,34.83,34.83,34.83,0.0,0.0,35.16,35.16,35.16,0.0,0.0,32.82,32.82,32.82,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-06-24,32.35,32.35,32.35,0.0,0.0,34.1,34.1,34.1,0.0,0.0,32.2,32.2,32.2,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2018-07-01,39.68,39.68,39.68,0.0,0.0,39.95,39.95,39.95,0.0,0.0,38.87,38.87,38.87,0.0,0.0,39.82,39.82,39.82,0.0,0.0
2018-07-08,41.36,41.36,41.36,0.0,0.0,41.36,41.36,41.36,0.0,0.0,40.04,40.04,40.04,0.0,0.0,40.45,40.45,40.45,0.0,0.0
2018-07-15,41.39,41.39,41.39,0.0,0.0,41.47,41.47,41.47,0.0,0.0,40.86,40.86,40.86,0.0,0.0,41.11,41.11,41.11,0.0,0.0
2018-07-22,38.26,38.26,38.26,0.0,0.0,38.26,38.26,38.26,0.0,0.0,36.75,36.75,36.75,0.0,0.0,36.97,36.97,36.97,0.0,0.0
2018-07-29,39.56,39.56,39.56,0.0,0.0,40.1,40.1,40.1,0.0,0.0,39.01,39.01,39.01,0.0,0.0,39.63,39.63,39.63,0.0,0.0
2018-08-05,39.25,39.25,39.25,0.0,0.0,39.55,39.55,39.55,0.0,0.0,38.5,38.5,38.5,0.0,0.0,39.15,39.15,39.15,0.0,0.0
2018-08-12,38.63,38.63,38.63,0.0,0.0,39.23,39.23,39.23,0.0,0.0,38.2,38.2,38.2,0.0,0.0,38.54,38.54,38.54,0.0,0.0
2018-08-19,40.5,40.5,40.5,0.0,0.0,42.25,42.25,42.25,0.0,0.0,40.4,40.4,40.4,0.0,0.0,41.98,41.98,41.98,0.0,0.0
2018-08-26,44.7,44.7,44.7,0.0,0.0,45.08,45.08,45.08,0.0,0.0,44.15,44.15,44.15,0.0,0.0,44.75,44.75,44.75,0.0,0.0
2018-09-02,40.82,40.82,40.82,0.0,0.0,40.82,40.82,40.82,0.0,0.0,39.71,39.71,39.71,0.0,0.0,40.08,40.08,40.08,0.0,0.0
2018-09-09,39.71,39.71,39.71,0.0,0.0,39.94,39.94,39.94,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2018-09-16,41.14,41.14,41.14,0.0,0.0,42.18,42.18,42.18,0.0,0.0,41.0,41.0,41.0,0.0,0.0,42.12,42.12,42.12,0.0,0.0
2018-09-23,44.75,44.75,44.75,0.0,0.0,45.28,45.28,45.28,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.18,43.18,43.18,0.0,0.0
