Date,iPath S&P GSCI Crude Oil Total Return_Open_average,iPath S&P GSCI Crude Oil Total Return_Open_max,iPath S&P GSCI Crude Oil Total Return_Open_min,iPath S&P GSCI Crude Oil Total Return_Open_volatility,iPath S&P GSCI Crude Oil Total Return_Open_change,iPath S&P GSCI Crude Oil Total Return_High_average,iPath S&P GSCI Crude Oil Total Return_High_max,iPath S&P GSCI Crude Oil Total Return_High_min,iPath S&P GSCI Crude Oil Total Return_High_volatility,iPath S&P GSCI Crude Oil Total Return_High_change,iPath S&P GSCI Crude Oil Total Return_Low_average,iPath S&P GSCI Crude Oil Total Return_Low_max,iPath S&P GSCI Crude Oil Total Return_Low_min,iPath S&P GSCI Crude Oil Total Return_Low_volatility,iPath S&P GSCI Crude Oil Total Return_Low_change,iPath S&P GSCI Crude Oil Total Return_Close_average,iPath S&P GSCI Crude Oil Total Return_Close_max,iPath S&P GSCI Crude Oil Total Return_Close_min,iPath S&P GSCI Crude Oil Total Return_Close_volatility,iPath S&P GSCI Crude Oil Total Return_Close_change
2018-01-14,7.02,7.02,7.02,0.0,0.0,7.14,7.14,7.14,0.0,0.0,6.99,6.99,6.99,0.0,0.0,7.08,7.08,7.08,0.0,0.0
2018-01-21,7.35,7.35,7.35,0.0,0.0,7.37,7.37,7.37,0.0,0.0,7.26,7.26,7.26,0.0,0.0,7.34,7.34,7.34,0.0,0.0
2018-01-28,7.28,7.28,7.28,0.0,0.0,7.3,7.3,7.3,0.0,0.0,7.05,7.05,7.05,0.0,0.0,7.09,7.09,7.09,0.0,0.0
2018-02-04,6.52,6.52,6.52,0.0,0.0,6.59,6.59,6.59,0.0,0.0,6.43,6.43,6.43,0.0,0.0,6.44,6.44,6.44,0.0,0.0
2018-02-11,6.72,6.72,6.72,0.0,0.0,6.85,6.85,6.85,0.0,0.0,6.7,6.7,6.7,0.0,0.0,6.8,6.8,6.8,0.0,0.0
2018-02-18,7.05,7.05,7.05,0.0,0.0,7.19,7.19,7.19,0.0,0.0,7.03,7.03,7.03,0.0,0.0,7.16,7.16,7.16,0.0,0.0
2018-02-25,6.77,6.77,6.77,0.0,0.0,6.99,6.99,6.99,0.0,0.0,6.76,6.76,6.76,0.0,0.0,6.95,6.95,6.95,0.0,0.0
2018-03-04,6.83,6.83,6.83,0.0,0.0,6.85,6.85,6.85,0.0,0.0,6.69,6.69,6.69,0.0,0.0,6.78,6.78,6.78,0.0,0.0
2018-03-11,6.93,6.93,6.93,0.0,0.0,6.94,6.94,6.94,0.0,0.0,6.81,6.81,6.81,0.0,0.0,6.92,6.92,6.92,0.0,0.0
2018-03-18,7.41,7.41,7.41,0.0,0.0,7.45,7.45,7.45,0.0,0.0,7.33,7.33,7.33,0.0,0.0,7.4,7.4,7.4,0.0,0.0
