Date,Oppenheimer Russell 1000 Quality Factor_etf_Open_average,Oppenheimer Russell 1000 Quality Factor_etf_Open_max,Oppenheimer Russell 1000 Quality Factor_etf_Open_min,Oppenheimer Russell 1000 Quality Factor_etf_Open_volatility,Oppenheimer Russell 1000 Quality Factor_etf_Open_change,Oppenheimer Russell 1000 Quality Factor_etf_High_average,Oppenheimer Russell 1000 Quality Factor_etf_High_max,Oppenheimer Russell 1000 Quality Factor_etf_High_min,Oppenheimer Russell 1000 Quality Factor_etf_High_volatility,Oppenheimer Russell 1000 Quality Factor_etf_High_change,Oppenheimer Russell 1000 Quality Factor_etf_Low_average,Oppenheimer Russell 1000 Quality Factor_etf_Low_max,Oppenheimer Russell 1000 Quality Factor_etf_Low_min,Oppenheimer Russell 1000 Quality Factor_etf_Low_volatility,Oppenheimer Russell 1000 Quality Factor_etf_Low_change,Oppenheimer Russell 1000 Quality Factor_etf_Close_average,Oppenheimer Russell 1000 Quality Factor_etf_Close_max,Oppenheimer Russell 1000 Quality Factor_etf_Close_min,Oppenheimer Russell 1000 Quality Factor_etf_Close_volatility,Oppenheimer Russell 1000 Quality Factor_etf_Close_change
2018-01-14,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-01-21,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0,26.88,26.88,26.88,0.0,0.0
2018-01-28,26.75,26.75,26.75,0.0,0.0,26.76,26.76,26.76,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.76,26.76,26.76,0.0,0.0
2018-02-04,25.3,25.3,25.3,0.0,0.0,25.3,25.3,25.3,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2018-02-11,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0,24.71,24.71,24.71,0.0,0.0
2018-02-18,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0,26.42,26.42,26.42,0.0,0.0
2018-02-25,25.97,25.97,25.97,0.0,0.0,26.18,26.18,26.18,0.0,0.0,25.95,25.95,25.95,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-03-04,26.11,26.11,26.11,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.11,26.11,26.11,0.0,0.0,26.11,26.11,26.11,0.0,0.0
2018-03-11,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-03-18,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-03-25,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2018-04-01,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0,25.45,25.45,25.45,0.0,0.0
2018-04-08,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0,25.89,25.89,25.89,0.0,0.0
2018-04-15,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-04-22,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-04-29,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0,26.03,26.03,26.03,0.0,0.0
2018-05-06,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0,26.7,26.7,26.7,0.0,0.0
2018-05-13,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-05-20,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-05-27,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-06-03,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-06-10,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0,27.66,27.66,27.66,0.0,0.0
2018-06-17,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.56,27.56,27.56,0.0,0.0
