Date,MRCY_Open_average,MRCY_Open_max,MRCY_Open_min,MRCY_Open_volatility,MRCY_Open_change,MRCY_High_average,MRCY_High_max,MRCY_High_min,MRCY_High_volatility,MRCY_High_change,MRCY_Low_average,MRCY_Low_max,MRCY_Low_min,MRCY_Low_volatility,MRCY_Low_change,MRCY_Close_average,MRCY_Close_max,MRCY_Close_min,MRCY_Close_volatility,MRCY_Close_change,MRCY_Volume_average,MRCY_Volume_max,MRCY_Volume_min,MRCY_Volume_volatility,MRCY_Volume_change
2018-01-14,51.336,51.71,50.55,1.1600000000000037,-0.9299999999999997,51.728,52.59,50.55,2.0400000000000063,-2.0400000000000063,50.444,51.38,48.39,2.990000000000002,-2.769999999999996,50.802,51.71,49.26,2.450000000000003,-1.9699999999999989,400473,584406,276882,307524,169601
2018-01-21,47.438,48.78,46.52,2.259999999999998,-2.25,48.239999999999995,49.44,46.62,2.8200000000000003,-0.8900000000000006,46.403999999999996,48.29,45.48,2.8100000000000023,-1.8399999999999963,47.467999999999996,49.04,46.39,2.6499999999999986,-0.8500000000000014,929899,1819281,635724,1183557,131066
2018-01-28,47.528,48.01,46.08,1.9299999999999997,-1.8000000000000043,48.022,48.84,46.27,2.5700000000000003,-2.3599999999999994,46.474000000000004,47.87,43.38,4.489999999999995,-4.489999999999995,46.862,48.22,43.42,4.799999999999997,-4.579999999999998,461512,762286,288652,473634,359963
2018-02-04,43.758,45.26,41.99,3.269999999999996,3.009999999999998,45.276,45.88,44.56,1.3200000000000003,0.7999999999999972,42.542,43.91,41.64,2.269999999999996,1.25,44.056,45.0,41.82,3.1799999999999997,0.04000000000000625,593008,966861,304445,662416,-273412
2018-02-11,44.485,45.3,43.94,1.3599999999999994,1.0799999999999983,45.455,46.43,44.86,1.5700000000000003,1.5700000000000003,44.17,45.07,43.69,1.3800000000000026,1.0200000000000031,45.0225,45.86,44.36,1.5,1.4500000000000028,331702,438426,260988,177438,760
2018-02-18,46.224000000000004,46.79,45.54,1.25,1.25,46.766,48.01,45.82,2.1899999999999977,2.1899999999999977,45.756,46.79,44.95,1.8399999999999963,1.8399999999999963,46.446,47.94,45.31,2.6299999999999955,2.6299999999999955,242947,307554,181916,125638,-58633
2018-02-25,46.68,47.94,45.37,2.5700000000000003,-0.9399999999999977,47.472,48.24,46.7,1.5399999999999991,-0.5100000000000051,45.892,46.74,45.16,1.5800000000000054,-0.5200000000000031,46.7,47.47,45.95,1.519999999999996,0.6899999999999977,256171,390257,191615,198642,-78283
2018-03-04,48.52,50.0,47.2,2.799999999999997,2.1599999999999966,49.162,50.92,47.84,3.0799999999999983,3.0799999999999983,47.958,49.73,46.78,2.9499999999999957,2.9499999999999957,48.86,50.18,47.48,2.700000000000003,2.700000000000003,266540,330047,215933,114114,40874
2018-03-11,48.772,50.22,47.6,2.6199999999999974,-2.229999999999997,49.13,50.42,48.1,2.3200000000000003,-2.3200000000000003,47.71,49.5,46.38,3.1199999999999974,-3.1199999999999974,48.21,49.86,47.07,2.789999999999999,-2.789999999999999,377274,765354,208780,556574,76420
2018-03-18,46.416,47.37,45.3,2.0700000000000003,-1.6700000000000017,47.234,48.51,45.92,2.5899999999999963,-2.019999999999996,45.693999999999996,47.37,44.3,3.0700000000000003,-2.520000000000003,46.164,47.52,44.71,2.8100000000000023,-1.5599999999999952,261826,378349,127364,250985,250985
