Date,SPDR S&P Aerospace & Defense_Open_average,SPDR S&P Aerospace & Defense_Open_max,SPDR S&P Aerospace & Defense_Open_min,SPDR S&P Aerospace & Defense_Open_volatility,SPDR S&P Aerospace & Defense_Open_change,SPDR S&P Aerospace & Defense_High_average,SPDR S&P Aerospace & Defense_High_max,SPDR S&P Aerospace & Defense_High_min,SPDR S&P Aerospace & Defense_High_volatility,SPDR S&P Aerospace & Defense_High_change,SPDR S&P Aerospace & Defense_Low_average,SPDR S&P Aerospace & Defense_Low_max,SPDR S&P Aerospace & Defense_Low_min,SPDR S&P Aerospace & Defense_Low_volatility,SPDR S&P Aerospace & Defense_Low_change,SPDR S&P Aerospace & Defense_Close_average,SPDR S&P Aerospace & Defense_Close_max,SPDR S&P Aerospace & Defense_Close_min,SPDR S&P Aerospace & Defense_Close_volatility,SPDR S&P Aerospace & Defense_Close_change
2018-01-14,87.5,87.5,87.5,0.0,0.0,87.51,87.51,87.51,0.0,0.0,86.6,86.6,86.6,0.0,0.0,87.05,87.05,87.05,0.0,0.0
2018-01-21,89.01,89.01,89.01,0.0,0.0,89.74,89.74,89.74,0.0,0.0,88.94,88.94,88.94,0.0,0.0,89.34,89.34,89.34,0.0,0.0
2018-01-28,85.87,85.87,85.87,0.0,0.0,86.59,86.59,86.59,0.0,0.0,81.6,81.6,81.6,0.0,0.0,82.36,82.36,82.36,0.0,0.0
2018-02-04,83.57,83.57,83.57,0.0,0.0,84.61,84.61,84.61,0.0,0.0,82.64,82.64,82.64,0.0,0.0,84.06,84.06,84.06,0.0,0.0
2018-02-11,87.79,87.79,87.79,0.0,0.0,88.93,88.93,88.93,0.0,0.0,87.71,87.71,87.71,0.0,0.0,88.37,88.37,88.37,0.0,0.0
2018-02-18,88.7,88.7,88.7,0.0,0.0,89.32,89.32,89.32,0.0,0.0,88.43,88.43,88.43,0.0,0.0,89.21,89.21,89.21,0.0,0.0
2018-02-25,86.68,86.68,86.68,0.0,0.0,87.95,87.95,87.95,0.0,0.0,86.14,86.14,86.14,0.0,0.0,87.75,87.75,87.75,0.0,0.0
2018-03-04,90.05,90.05,90.05,0.0,0.0,90.17,90.17,90.17,0.0,0.0,88.76,88.76,88.76,0.0,0.0,88.93,88.93,88.93,0.0,0.0
2018-03-11,86.76,86.76,86.76,0.0,0.0,87.1,87.1,87.1,0.0,0.0,86.02,86.02,86.02,0.0,0.0,87.0,87.0,87.0,0.0,0.0
2018-03-18,86.67,86.67,86.67,0.0,0.0,87.7,87.7,87.7,0.0,0.0,86.02,86.02,86.02,0.0,0.0,87.65,87.65,87.65,0.0,0.0
