Date,iShares Global Tech_etf_Open_average,iShares Global Tech_etf_Open_max,iShares Global Tech_etf_Open_min,iShares Global Tech_etf_Open_volatility,iShares Global Tech_etf_Open_change,iShares Global Tech_etf_High_average,iShares Global Tech_etf_High_max,iShares Global Tech_etf_High_min,iShares Global Tech_etf_High_volatility,iShares Global Tech_etf_High_change,iShares Global Tech_etf_Low_average,iShares Global Tech_etf_Low_max,iShares Global Tech_etf_Low_min,iShares Global Tech_etf_Low_volatility,iShares Global Tech_etf_Low_change,iShares Global Tech_etf_Close_average,iShares Global Tech_etf_Close_max,iShares Global Tech_etf_Close_min,iShares Global Tech_etf_Close_volatility,iShares Global Tech_etf_Close_change
2018-01-14,164.05,164.05,164.05,0.0,0.0,164.37,164.37,164.37,0.0,0.0,163.35,163.35,163.35,0.0,0.0,163.94,163.94,163.94,0.0,0.0
2018-01-21,165.65,165.65,165.65,0.0,0.0,166.92,166.92,166.92,0.0,0.0,165.21,165.21,165.21,0.0,0.0,166.87,166.87,166.87,0.0,0.0
2018-01-28,162.42,162.42,162.42,0.0,0.0,162.78,162.78,162.78,0.0,0.0,159.45,159.45,159.45,0.0,0.0,159.45,159.45,159.45,0.0,0.0
2018-02-04,151.22,151.22,151.22,0.0,0.0,152.97,152.97,152.97,0.0,0.0,146.24,146.24,146.24,0.0,0.0,152.15,152.15,152.15,0.0,0.0
2018-02-11,161.64,161.64,161.64,0.0,0.0,163.55,163.55,163.55,0.0,0.0,161.32,161.32,161.32,0.0,0.0,161.93,161.93,161.93,0.0,0.0
2018-02-18,162.01,162.01,162.01,0.0,0.0,164.06,164.06,164.06,0.0,0.0,161.91,161.91,161.91,0.0,0.0,164.06,164.06,164.06,0.0,0.0
2018-02-25,158.77,158.77,158.77,0.0,0.0,162.1,162.1,162.1,0.0,0.0,158.02,158.02,158.02,0.0,0.0,161.78,161.78,161.78,0.0,0.0
2018-03-04,167.13,167.13,167.13,0.0,0.0,169.24,169.24,169.24,0.0,0.0,167.07,167.07,167.07,0.0,0.0,169.24,169.24,169.24,0.0,0.0
2018-03-11,168.57,168.57,168.57,0.0,0.0,168.86,168.86,168.86,0.0,0.0,167.97,167.97,167.97,0.0,0.0,168.09,168.09,168.09,0.0,0.0
2018-03-18,159.41,159.41,159.41,0.0,0.0,160.18,160.18,160.18,0.0,0.0,155.38,155.38,155.38,0.0,0.0,155.52,155.52,155.52,0.0,0.0
2018-03-25,156.32,156.32,156.32,0.0,0.0,159.6,159.6,159.6,0.0,0.0,155.23,155.23,155.23,0.0,0.0,158.33,158.33,158.33,0.0,0.0
2018-04-01,156.5,156.5,156.5,0.0,0.0,157.46,157.46,157.46,0.0,0.0,153.71,153.71,153.71,0.0,0.0,154.19,154.19,154.19,0.0,0.0
2018-04-08,160.88,160.88,160.88,0.0,0.0,161.34,161.34,161.34,0.0,0.0,158.86,158.86,158.86,0.0,0.0,159.39,159.39,159.39,0.0,0.0
2018-04-15,160.51,160.51,160.51,0.0,0.0,160.51,160.51,160.51,0.0,0.0,158.44,158.44,158.44,0.0,0.0,159.03,159.03,159.03,0.0,0.0
2018-04-22,160.1,160.1,160.1,0.0,0.0,160.1,160.1,160.1,0.0,0.0,157.74,157.74,157.74,0.0,0.0,158.51,158.51,158.51,0.0,0.0
2018-04-29,158.91,158.91,158.91,0.0,0.0,162.49,162.49,162.49,0.0,0.0,158.38,158.38,158.38,0.0,0.0,162.12,162.12,162.12,0.0,0.0
2018-05-06,167.57,167.57,167.57,0.0,0.0,168.0,168.0,168.0,0.0,0.0,166.93,166.93,166.93,0.0,0.0,167.64,167.64,167.64,0.0,0.0
2018-05-13,165.09,165.09,165.09,0.0,0.0,165.65,165.65,165.65,0.0,0.0,164.87,164.87,164.87,0.0,0.0,164.95,164.95,164.95,0.0,0.0
2018-05-20,166.92,166.92,166.92,0.0,0.0,167.56,167.56,167.56,0.0,0.0,166.85,166.85,166.85,0.0,0.0,167.23,167.23,167.23,0.0,0.0
2018-05-27,167.92,167.92,167.92,0.0,0.0,169.91,169.91,169.91,0.0,0.0,167.92,167.92,167.92,0.0,0.0,169.91,169.91,169.91,0.0,0.0
2018-06-03,170.16,170.16,170.16,0.0,0.0,171.12,171.12,171.12,0.0,0.0,169.76,169.76,169.76,0.0,0.0,170.88,170.88,170.88,0.0,0.0
2018-06-10,171.44,171.44,171.44,0.0,0.0,171.44,171.44,171.44,0.0,0.0,170.36,170.36,170.36,0.0,0.0,171.03,171.03,171.03,0.0,0.0
2018-06-17,168.82,168.82,168.82,0.0,0.0,168.92,168.92,168.92,0.0,0.0,167.23,167.23,167.23,0.0,0.0,167.73,167.73,167.73,0.0,0.0
