Date,BLDRS Europe Select ADR_etf_Open_average,BLDRS Europe Select ADR_etf_Open_max,BLDRS Europe Select ADR_etf_Open_min,BLDRS Europe Select ADR_etf_Open_volatility,BLDRS Europe Select ADR_etf_Open_change,BLDRS Europe Select ADR_etf_High_average,BLDRS Europe Select ADR_etf_High_max,BLDRS Europe Select ADR_etf_High_min,BLDRS Europe Select ADR_etf_High_volatility,BLDRS Europe Select ADR_etf_High_change,BLDRS Europe Select ADR_etf_Low_average,BLDRS Europe Select ADR_etf_Low_max,BLDRS Europe Select ADR_etf_Low_min,BLDRS Europe Select ADR_etf_Low_volatility,BLDRS Europe Select ADR_etf_Low_change,BLDRS Europe Select ADR_etf_Close_average,BLDRS Europe Select ADR_etf_Close_max,BLDRS Europe Select ADR_etf_Close_min,BLDRS Europe Select ADR_etf_Close_volatility,BLDRS Europe Select ADR_etf_Close_change
2018-01-14,24.0,24.0,24.0,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.11,24.11,24.11,0.0,0.0
2018-01-21,24.4,24.4,24.4,0.0,0.0,24.59,24.59,24.59,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.56,24.56,24.56,0.0,0.0
2018-01-28,23.83,23.83,23.83,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-02-04,22.0,22.0,22.0,0.0,0.0,22.0,22.0,22.0,0.0,0.0,21.6,21.6,21.6,0.0,0.0,21.6,21.6,21.6,0.0,0.0
2018-02-11,22.89,22.89,22.89,0.0,0.0,23.07,23.07,23.07,0.0,0.0,22.89,22.89,22.89,0.0,0.0,22.95,22.95,22.95,0.0,0.0
2018-02-18,22.52,22.52,22.52,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.52,22.52,22.52,0.0,0.0,22.52,22.52,22.52,0.0,0.0
2018-02-25,21.99,21.99,21.99,0.0,0.0,22.16,22.16,22.16,0.0,0.0,21.99,21.99,21.99,0.0,0.0,22.03,22.03,22.03,0.0,0.0
2018-03-04,22.65,22.65,22.65,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.65,22.65,22.65,0.0,0.0
2018-03-11,22.55,22.55,22.55,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.55,22.55,22.55,0.0,0.0,22.55,22.55,22.55,0.0,0.0
2018-03-18,22.01,22.01,22.01,0.0,0.0,22.01,22.01,22.01,0.0,0.0,21.81,21.81,21.81,0.0,0.0,21.81,21.81,21.81,0.0,0.0
2018-03-25,22.09,22.09,22.09,0.0,0.0,22.24,22.24,22.24,0.0,0.0,22.09,22.09,22.09,0.0,0.0,22.24,22.24,22.24,0.0,0.0
2018-04-01,22.57,22.57,22.57,0.0,0.0,22.63,22.63,22.63,0.0,0.0,22.28,22.28,22.28,0.0,0.0,22.28,22.28,22.28,0.0,0.0
2018-04-08,22.82,22.82,22.82,0.0,0.0,22.93,22.93,22.93,0.0,0.0,22.74,22.74,22.74,0.0,0.0,22.74,22.74,22.74,0.0,0.0
2018-04-15,22.85,22.85,22.85,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.85,22.85,22.85,0.0,0.0,22.85,22.85,22.85,0.0,0.0
