Date,VanEck Vectors Steel_Open_average,VanEck Vectors Steel_Open_max,VanEck Vectors Steel_Open_min,VanEck Vectors Steel_Open_volatility,VanEck Vectors Steel_Open_change,VanEck Vectors Steel_High_average,VanEck Vectors Steel_High_max,VanEck Vectors Steel_High_min,VanEck Vectors Steel_High_volatility,VanEck Vectors Steel_High_change,VanEck Vectors Steel_Low_average,VanEck Vectors Steel_Low_max,VanEck Vectors Steel_Low_min,VanEck Vectors Steel_Low_volatility,VanEck Vectors Steel_Low_change,VanEck Vectors Steel_Close_average,VanEck Vectors Steel_Close_max,VanEck Vectors Steel_Close_min,VanEck Vectors Steel_Close_volatility,VanEck Vectors Steel_Close_change
2018-01-14,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0,49.98,49.98,49.98,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2018-01-21,50.92,50.92,50.92,0.0,0.0,51.25,51.25,51.25,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.62,50.62,50.62,0.0,0.0
2018-01-28,47.17,47.17,47.17,0.0,0.0,48.2,48.2,48.2,0.0,0.0,46.06,46.06,46.06,0.0,0.0,46.27,46.27,46.27,0.0,0.0
2018-02-04,46.57,46.57,46.57,0.0,0.0,47.55,47.55,47.55,0.0,0.0,46.57,46.57,46.57,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2018-02-11,49.65,49.65,49.65,0.0,0.0,51.57,51.57,51.57,0.0,0.0,49.41,49.41,49.41,0.0,0.0,51.27,51.27,51.27,0.0,0.0
2018-02-18,51.66,51.66,51.66,0.0,0.0,51.81,51.81,51.81,0.0,0.0,50.9,50.9,50.9,0.0,0.0,51.6,51.6,51.6,0.0,0.0
2018-02-25,48.67,48.67,48.67,0.0,0.0,49.42,49.42,49.42,0.0,0.0,48.24,48.24,48.24,0.0,0.0,49.17,49.17,49.17,0.0,0.0
2018-03-04,48.87,48.87,48.87,0.0,0.0,49.08,49.08,49.08,0.0,0.0,48.68,48.68,48.68,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-03-11,47.12,47.12,47.12,0.0,0.0,47.21,47.21,47.21,0.0,0.0,46.17,46.17,46.17,0.0,0.0,46.65,46.65,46.65,0.0,0.0
2018-03-18,45.2,45.2,45.2,0.0,0.0,45.41,45.41,45.41,0.0,0.0,44.66,44.66,44.66,0.0,0.0,45.32,45.32,45.32,0.0,0.0
