Date,iShares Global Healthcare_etf_Open_average,iShares Global Healthcare_etf_Open_max,iShares Global Healthcare_etf_Open_min,iShares Global Healthcare_etf_Open_volatility,iShares Global Healthcare_etf_Open_change,iShares Global Healthcare_etf_High_average,iShares Global Healthcare_etf_High_max,iShares Global Healthcare_etf_High_min,iShares Global Healthcare_etf_High_volatility,iShares Global Healthcare_etf_High_change,iShares Global Healthcare_etf_Low_average,iShares Global Healthcare_etf_Low_max,iShares Global Healthcare_etf_Low_min,iShares Global Healthcare_etf_Low_volatility,iShares Global Healthcare_etf_Low_change,iShares Global Healthcare_etf_Close_average,iShares Global Healthcare_etf_Close_max,iShares Global Healthcare_etf_Close_min,iShares Global Healthcare_etf_Close_volatility,iShares Global Healthcare_etf_Close_change
2018-01-14,59.35,59.35,59.35,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.16,59.16,59.16,0.0,0.0,59.39,59.39,59.39,0.0,0.0
2018-01-21,60.73,60.73,60.73,0.0,0.0,61.56,61.56,61.56,0.0,0.0,60.73,60.73,60.73,0.0,0.0,61.53,61.53,61.53,0.0,0.0
2018-01-28,58.91,58.91,58.91,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.4,58.4,58.4,0.0,0.0,58.41,58.41,58.41,0.0,0.0
2018-02-04,55.17,55.17,55.17,0.0,0.0,55.49,55.49,55.49,0.0,0.0,53.82,53.82,53.82,0.0,0.0,55.27,55.27,55.27,0.0,0.0
2018-02-11,57.27,57.27,57.27,0.0,0.0,57.98,57.98,57.98,0.0,0.0,57.27,57.27,57.27,0.0,0.0,57.61,57.61,57.61,0.0,0.0
2018-02-18,57.05,57.05,57.05,0.0,0.0,57.57,57.57,57.57,0.0,0.0,56.83,56.83,56.83,0.0,0.0,57.54,57.54,57.54,0.0,0.0
2018-02-25,55.59,55.59,55.59,0.0,0.0,56.39,56.39,56.39,0.0,0.0,55.59,55.59,55.59,0.0,0.0,56.3,56.3,56.3,0.0,0.0
2018-03-04,57.73,57.73,57.73,0.0,0.0,58.19,58.19,58.19,0.0,0.0,57.56,57.56,57.56,0.0,0.0,58.16,58.16,58.16,0.0,0.0
2018-03-11,57.68,57.68,57.68,0.0,0.0,57.93,57.93,57.93,0.0,0.0,57.68,57.68,57.68,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2018-03-18,55.43,55.43,55.43,0.0,0.0,55.57,55.57,55.57,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.36,54.36,54.36,0.0,0.0
2018-03-25,55.53,55.53,55.53,0.0,0.0,56.0,56.0,56.0,0.0,0.0,55.3,55.3,55.3,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2018-04-01,55.74,55.74,55.74,0.0,0.0,55.92,55.92,55.92,0.0,0.0,54.59,54.59,54.59,0.0,0.0,54.94,54.94,54.94,0.0,0.0
2018-04-08,56.27,56.27,56.27,0.0,0.0,56.31,56.31,56.31,0.0,0.0,55.81,55.81,55.81,0.0,0.0,56.03,56.03,56.03,0.0,0.0
2018-04-15,56.18,56.18,56.18,0.0,0.0,56.23,56.23,56.23,0.0,0.0,55.86,55.86,55.86,0.0,0.0,55.94,55.94,55.94,0.0,0.0
2018-04-22,56.42,56.42,56.42,0.0,0.0,56.7,56.7,56.7,0.0,0.0,56.33,56.33,56.33,0.0,0.0,56.66,56.66,56.66,0.0,0.0
2018-04-29,54.97,54.97,54.97,0.0,0.0,55.66,55.66,55.66,0.0,0.0,54.94,54.94,54.94,0.0,0.0,55.46,55.46,55.46,0.0,0.0
2018-05-06,56.01,56.01,56.01,0.0,0.0,56.75,56.75,56.75,0.0,0.0,55.94,55.94,55.94,0.0,0.0,56.63,56.63,56.63,0.0,0.0
2018-05-13,56.74,56.74,56.74,0.0,0.0,56.96,56.96,56.96,0.0,0.0,56.59,56.59,56.59,0.0,0.0,56.85,56.85,56.85,0.0,0.0
2018-05-20,56.6,56.6,56.6,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.47,56.47,56.47,0.0,0.0,56.55,56.55,56.55,0.0,0.0
2018-05-27,56.53,56.53,56.53,0.0,0.0,56.86,56.86,56.86,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.83,56.83,56.83,0.0,0.0
2018-06-03,57.17,57.17,57.17,0.0,0.0,57.5,57.5,57.5,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.5,57.5,57.5,0.0,0.0
2018-06-10,57.77,57.77,57.77,0.0,0.0,57.98,57.98,57.98,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.91,57.91,57.91,0.0,0.0
2018-06-17,57.25,57.25,57.25,0.0,0.0,57.53,57.53,57.53,0.0,0.0,57.11,57.11,57.11,0.0,0.0,57.35,57.35,57.35,0.0,0.0
2018-06-24,56.48,56.48,56.48,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.44,56.44,56.44,0.0,0.0,56.44,56.44,56.44,0.0,0.0
2018-07-01,57.38,57.38,57.38,0.0,0.0,58.0,58.0,58.0,0.0,0.0,57.38,57.38,57.38,0.0,0.0,57.89,57.89,57.89,0.0,0.0
2018-07-08,58.63,58.63,58.63,0.0,0.0,59.01,59.01,59.01,0.0,0.0,58.63,58.63,58.63,0.0,0.0,58.97,58.97,58.97,0.0,0.0
2018-07-15,58.74,58.74,58.74,0.0,0.0,58.89,58.89,58.89,0.0,0.0,58.61,58.61,58.61,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2018-07-22,59.92,59.92,59.92,0.0,0.0,59.92,59.92,59.92,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.56,59.56,59.56,0.0,0.0
2018-07-29,60.12,60.12,60.12,0.0,0.0,60.49,60.49,60.49,0.0,0.0,60.08,60.08,60.08,0.0,0.0,60.41,60.41,60.41,0.0,0.0
2018-08-05,59.97,59.97,59.97,0.0,0.0,60.16,60.16,60.16,0.0,0.0,59.75,59.75,59.75,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-08-12,60.3,60.3,60.3,0.0,0.0,60.76,60.76,60.76,0.0,0.0,60.2,60.2,60.2,0.0,0.0,60.63,60.63,60.63,0.0,0.0
2018-08-19,61.07,61.07,61.07,0.0,0.0,61.34,61.34,61.34,0.0,0.0,61.07,61.07,61.07,0.0,0.0,61.27,61.27,61.27,0.0,0.0
2018-08-26,61.67,61.67,61.67,0.0,0.0,61.79,61.79,61.79,0.0,0.0,61.42,61.42,61.42,0.0,0.0,61.65,61.65,61.65,0.0,0.0
2018-09-02,60.77,60.77,60.77,0.0,0.0,61.11,61.11,61.11,0.0,0.0,60.74,60.74,60.74,0.0,0.0,61.01,61.01,61.01,0.0,0.0
2018-09-09,62.07,62.07,62.07,0.0,0.0,62.1,62.1,62.1,0.0,0.0,61.74,61.74,61.74,0.0,0.0,61.84,61.84,61.84,0.0,0.0
2018-09-16,62.47,62.47,62.47,0.0,0.0,62.69,62.69,62.69,0.0,0.0,62.36,62.36,62.36,0.0,0.0,62.63,62.63,62.63,0.0,0.0
2018-09-23,62.91,62.91,62.91,0.0,0.0,63.12,63.12,63.12,0.0,0.0,62.79,62.79,62.79,0.0,0.0,62.98,62.98,62.98,0.0,0.0
2018-09-30,62.58,62.58,62.58,0.0,0.0,62.81,62.81,62.81,0.0,0.0,62.04,62.04,62.04,0.0,0.0,62.44,62.44,62.44,0.0,0.0
2018-10-07,60.23,60.23,60.23,0.0,0.0,60.33,60.33,60.33,0.0,0.0,59.51,59.51,59.51,0.0,0.0,60.23,60.23,60.23,0.0,0.0
2018-10-14,61.33,61.33,61.33,0.0,0.0,61.52,61.52,61.52,0.0,0.0,60.75,60.75,60.75,0.0,0.0,60.85,60.85,60.85,0.0,0.0
2018-10-21,57.87,57.87,57.87,0.0,0.0,58.41,58.41,58.41,0.0,0.0,57.19,57.19,57.19,0.0,0.0,57.91,57.91,57.91,0.0,0.0
2018-10-28,60.09,60.09,60.09,0.0,0.0,60.21,60.21,60.21,0.0,0.0,58.92,58.92,58.92,0.0,0.0,59.23,59.23,59.23,0.0,0.0
2018-11-04,61.44,61.44,61.44,0.0,0.0,61.72,61.72,61.72,0.0,0.0,61.08,61.08,61.08,0.0,0.0,61.42,61.42,61.42,0.0,0.0
2018-11-11,60.05,60.05,60.05,0.0,0.0,60.87,60.87,60.87,0.0,0.0,60.05,60.05,60.05,0.0,0.0,60.74,60.74,60.74,0.0,0.0
2018-11-18,59.05,59.05,59.05,0.0,0.0,59.76,59.76,59.76,0.0,0.0,59.05,59.05,59.05,0.0,0.0,59.42,59.42,59.42,0.0,0.0
2018-11-25,61.85,61.85,61.85,0.0,0.0,62.45,62.45,62.45,0.0,0.0,61.79,61.79,61.79,0.0,0.0,62.4,62.4,62.4,0.0,0.0
2018-12-02,60.67,60.67,60.67,0.0,0.0,60.74,60.74,60.74,0.0,0.0,59.34,59.34,59.34,0.0,0.0,59.67,59.67,59.67,0.0,0.0
2018-12-09,59.87,59.87,59.87,0.0,0.0,59.87,59.87,59.87,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.81,58.81,58.81,0.0,0.0
2018-12-16,55.67,55.67,55.67,0.0,0.0,56.37,56.37,56.37,0.0,0.0,54.84,54.84,54.84,0.0,0.0,55.01,55.01,55.01,0.0,0.0
2018-12-23,56.34,56.34,56.34,0.0,0.0,56.72,56.72,56.72,0.0,0.0,55.89,55.89,55.89,0.0,0.0,56.15,56.15,56.15,0.0,0.0
2018-12-30,55.92,55.92,55.92,0.0,0.0,57.01,57.01,57.01,0.0,0.0,55.69,55.69,55.69,0.0,0.0,56.79,56.79,56.79,0.0,0.0
