Date,First Trust Consumer Discretionary AlphaDEX_Open_average,First Trust Consumer Discretionary AlphaDEX_Open_max,First Trust Consumer Discretionary AlphaDEX_Open_min,First Trust Consumer Discretionary AlphaDEX_Open_volatility,First Trust Consumer Discretionary AlphaDEX_Open_change,First Trust Consumer Discretionary AlphaDEX_High_average,First Trust Consumer Discretionary AlphaDEX_High_max,First Trust Consumer Discretionary AlphaDEX_High_min,First Trust Consumer Discretionary AlphaDEX_High_volatility,First Trust Consumer Discretionary AlphaDEX_High_change,First Trust Consumer Discretionary AlphaDEX_Low_average,First Trust Consumer Discretionary AlphaDEX_Low_max,First Trust Consumer Discretionary AlphaDEX_Low_min,First Trust Consumer Discretionary AlphaDEX_Low_volatility,First Trust Consumer Discretionary AlphaDEX_Low_change,First Trust Consumer Discretionary AlphaDEX_Close_average,First Trust Consumer Discretionary AlphaDEX_Close_max,First Trust Consumer Discretionary AlphaDEX_Close_min,First Trust Consumer Discretionary AlphaDEX_Close_volatility,First Trust Consumer Discretionary AlphaDEX_Close_change
2018-01-14,44.75,44.75,44.75,0.0,0.0,45.05,45.05,45.05,0.0,0.0,44.66,44.66,44.66,0.0,0.0,45.05,45.05,45.05,0.0,0.0
2018-01-21,44.99,44.99,44.99,0.0,0.0,45.05,45.05,45.05,0.0,0.0,44.76,44.76,44.76,0.0,0.0,44.83,44.83,44.83,0.0,0.0
2018-01-28,42.64,42.64,42.64,0.0,0.0,43.08,43.08,43.08,0.0,0.0,41.52,41.52,41.52,0.0,0.0,41.52,41.52,41.52,0.0,0.0
2018-02-04,41.8,41.8,41.8,0.0,0.0,42.09,42.09,42.09,0.0,0.0,41.33,41.33,41.33,0.0,0.0,41.84,41.84,41.84,0.0,0.0
2018-02-11,43.01,43.01,43.01,0.0,0.0,43.34,43.34,43.34,0.0,0.0,42.9,42.9,42.9,0.0,0.0,43.14,43.14,43.14,0.0,0.0
2018-02-18,42.97,42.97,42.97,0.0,0.0,43.14,43.14,43.14,0.0,0.0,42.73,42.73,42.73,0.0,0.0,43.06,43.06,43.06,0.0,0.0
2018-02-25,41.6,41.6,41.6,0.0,0.0,42.05,42.05,42.05,0.0,0.0,41.47,41.47,41.47,0.0,0.0,41.96,41.96,41.96,0.0,0.0
2018-03-04,42.65,42.65,42.65,0.0,0.0,42.82,42.82,42.82,0.0,0.0,42.44,42.44,42.44,0.0,0.0,42.58,42.58,42.58,0.0,0.0
2018-03-11,42.13,42.13,42.13,0.0,0.0,42.19,42.19,42.19,0.0,0.0,41.57,41.57,41.57,0.0,0.0,41.83,41.83,41.83,0.0,0.0
2018-03-18,40.64,40.64,40.64,0.0,0.0,41.1,41.1,41.1,0.0,0.0,40.34,40.34,40.34,0.0,0.0,41.07,41.07,41.07,0.0,0.0
