Date,iShares S&P GSCI Commodity-Indexed_Open_average,iShares S&P GSCI Commodity-Indexed_Open_max,iShares S&P GSCI Commodity-Indexed_Open_min,iShares S&P GSCI Commodity-Indexed_Open_volatility,iShares S&P GSCI Commodity-Indexed_Open_change,iShares S&P GSCI Commodity-Indexed_High_average,iShares S&P GSCI Commodity-Indexed_High_max,iShares S&P GSCI Commodity-Indexed_High_min,iShares S&P GSCI Commodity-Indexed_High_volatility,iShares S&P GSCI Commodity-Indexed_High_change,iShares S&P GSCI Commodity-Indexed_Low_average,iShares S&P GSCI Commodity-Indexed_Low_max,iShares S&P GSCI Commodity-Indexed_Low_min,iShares S&P GSCI Commodity-Indexed_Low_volatility,iShares S&P GSCI Commodity-Indexed_Low_change,iShares S&P GSCI Commodity-Indexed_Close_average,iShares S&P GSCI Commodity-Indexed_Close_max,iShares S&P GSCI Commodity-Indexed_Close_min,iShares S&P GSCI Commodity-Indexed_Close_volatility,iShares S&P GSCI Commodity-Indexed_Close_change
2018-01-14,16.69,16.69,16.69,0.0,0.0,16.8,16.8,16.8,0.0,0.0,16.67,16.67,16.67,0.0,0.0,16.77,16.77,16.77,0.0,0.0
2018-01-21,17.07,17.07,17.07,0.0,0.0,17.09,17.09,17.09,0.0,0.0,16.98,16.98,16.98,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2018-01-28,16.77,16.77,16.77,0.0,0.0,17.04,17.04,17.04,0.0,0.0,16.6,16.6,16.6,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2018-02-04,15.93,15.93,15.93,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.88,15.88,15.88,0.0,0.0
2018-02-11,16.24,16.24,16.24,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.31,16.31,16.31,0.0,0.0
2018-02-18,16.63,16.63,16.63,0.0,0.0,16.75,16.75,16.75,0.0,0.0,16.57,16.57,16.57,0.0,0.0,16.71,16.71,16.71,0.0,0.0
2018-02-25,16.23,16.23,16.23,0.0,0.0,16.49,16.49,16.49,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.48,16.48,16.48,0.0,0.0
2018-03-04,16.28,16.28,16.28,0.0,0.0,16.29,16.29,16.29,0.0,0.0,16.12,16.12,16.12,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2018-03-11,16.29,16.29,16.29,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.14,16.14,16.14,0.0,0.0,16.23,16.23,16.23,0.0,0.0
2018-03-18,16.71,16.71,16.71,0.0,0.0,16.74,16.74,16.74,0.0,0.0,16.63,16.63,16.63,0.0,0.0,16.68,16.68,16.68,0.0,0.0
2018-03-25,16.6,16.6,16.6,0.0,0.0,16.6,16.6,16.6,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.38,16.38,16.38,0.0,0.0
2018-04-01,16.45,16.45,16.45,0.0,0.0,16.61,16.61,16.61,0.0,0.0,16.45,16.45,16.45,0.0,0.0,16.57,16.57,16.57,0.0,0.0
2018-04-08,17.17,17.17,17.17,0.0,0.0,17.19,17.19,17.19,0.0,0.0,17.04,17.04,17.04,0.0,0.0,17.08,17.08,17.08,0.0,0.0
