Date,CYBE_Open_average,CYBE_Open_max,CYBE_Open_min,CYBE_Open_volatility,CYBE_Open_change,CYBE_High_average,CYBE_High_max,CYBE_High_min,CYBE_High_volatility,CYBE_High_change,CYBE_Low_average,CYBE_Low_max,CYBE_Low_min,CYBE_Low_volatility,CYBE_Low_change,CYBE_Close_average,CYBE_Close_max,CYBE_Close_min,CYBE_Close_volatility,CYBE_Close_change,CYBE_Volume_average,CYBE_Volume_max,CYBE_Volume_min,CYBE_Volume_volatility,CYBE_Volume_change
2018-01-14,16.54,17.25,15.95,1.3000000000000007,1.3000000000000007,17.04,17.4,16.65,0.75,0.6500000000000021,16.334,16.65,15.8,0.8499999999999979,0.6999999999999993,16.65,17.15,16.0,1.1499999999999986,0.8000000000000007,97399,130120,49294,80826,33649
2018-01-21,16.43,16.8,16.05,0.75,-0.40000000000000213,16.684,17.07,16.2,0.870000000000001,-0.46999999999999886,16.0,16.7,15.55,1.1499999999999986,-0.8999999999999986,16.26,16.8,16.0,0.8000000000000007,-0.8000000000000007,61735,68547,53798,14749,14749
2018-01-28,15.44,15.85,15.1,0.75,-0.7000000000000011,15.652000000000001,16.1,15.16,0.9400000000000013,-0.9400000000000013,14.83,15.55,13.75,1.8000000000000007,-1.8000000000000007,15.08,15.75,13.8,1.9499999999999993,-1.9499999999999993,82542,144709,43912,100797,100797
2018-02-04,13.67,13.85,13.5,0.34999999999999964,0.1999999999999993,14.18,14.45,13.9,0.5499999999999989,-0.34999999999999964,13.284,13.6,12.9,0.6999999999999993,-0.17999999999999972,13.62,13.9,13.15,0.75,-0.15000000000000036,97326,168960,58715,110245,-38554
2018-02-11,14.225,15.15,13.7,1.450000000000001,1.450000000000001,14.7625,15.45,13.85,1.5999999999999996,1.5,13.8125,14.15,13.35,0.8000000000000007,0.7000000000000011,14.3625,15.2,13.75,1.4499999999999993,0.5,58278,79890,38779,41111,5150
2018-02-18,15.44,16.5,14.2,2.3000000000000007,2.3000000000000007,16.294,17.1,15.25,1.8500000000000014,1.8500000000000014,15.16,16.4,14.2,2.1999999999999993,2.1999999999999993,15.83,17.05,15.05,2.0,2.0,137064,272268,74428,197840,997
2018-02-25,16.5,17.0,15.8,1.1999999999999993,-0.10000000000000142,17.138,17.85,16.57,1.2800000000000011,0.5500000000000007,16.18,16.85,15.8,1.0500000000000007,0.5,16.74,17.55,16.3,1.25,1.0500000000000007,65315,70210,59234,10976,5795
2018-03-04,18.1,18.45,17.65,0.8000000000000007,0.8000000000000007,18.444,18.65,18.27,0.379999999999999,0.10000000000000142,17.82,18.25,17.6,0.6499999999999986,0.34999999999999787,18.17,18.35,17.95,0.40000000000000213,0.14999999999999858,75664,85116,64531,20585,14438
2018-03-11,18.56,19.0,18.25,0.75,0.6000000000000014,18.9,19.35,18.5,0.8500000000000014,0.5500000000000007,18.2,18.5,17.9,0.6000000000000014,0.3500000000000014,18.73,19.35,18.25,1.1000000000000014,1.0,64506,116937,33663,83274,46303
2018-03-18,19.669999999999998,19.95,19.25,0.6999999999999993,-0.5,20.04,20.7,19.45,1.25,-1.25,19.17,19.65,18.55,1.0999999999999979,-1.0999999999999979,19.46,20.15,18.8,1.3499999999999979,-1.1999999999999993,110946,200928,68677,132251,-132251
