Date,iShares MSCI EAFE Value_Open_average,iShares MSCI EAFE Value_Open_max,iShares MSCI EAFE Value_Open_min,iShares MSCI EAFE Value_Open_volatility,iShares MSCI EAFE Value_Open_change,iShares MSCI EAFE Value_High_average,iShares MSCI EAFE Value_High_max,iShares MSCI EAFE Value_High_min,iShares MSCI EAFE Value_High_volatility,iShares MSCI EAFE Value_High_change,iShares MSCI EAFE Value_Low_average,iShares MSCI EAFE Value_Low_max,iShares MSCI EAFE Value_Low_min,iShares MSCI EAFE Value_Low_volatility,iShares MSCI EAFE Value_Low_change,iShares MSCI EAFE Value_Close_average,iShares MSCI EAFE Value_Close_max,iShares MSCI EAFE Value_Close_min,iShares MSCI EAFE Value_Close_volatility,iShares MSCI EAFE Value_Close_change
2018-01-14,58.6,58.6,58.6,0.0,0.0,58.93,58.93,58.93,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.93,58.93,58.93,0.0,0.0
2018-01-21,59.1,59.1,59.1,0.0,0.0,59.15,59.15,59.15,0.0,0.0,58.9,58.9,58.9,0.0,0.0,59.06,59.06,59.06,0.0,0.0
2018-01-28,56.82,56.82,56.82,0.0,0.0,56.99,56.99,56.99,0.0,0.0,54.85,54.85,54.85,0.0,0.0,54.85,54.85,54.85,0.0,0.0
2018-02-04,54.56,54.56,54.56,0.0,0.0,55.1,55.1,55.1,0.0,0.0,54.44,54.44,54.44,0.0,0.0,55.02,55.02,55.02,0.0,0.0
2018-02-11,56.01,56.01,56.01,0.0,0.0,56.48,56.48,56.48,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.25,56.25,56.25,0.0,0.0
2018-02-18,56.39,56.39,56.39,0.0,0.0,56.71,56.71,56.71,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.71,56.71,56.71,0.0,0.0
2018-02-25,54.26,54.26,54.26,0.0,0.0,54.98,54.98,54.98,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.86,54.86,54.86,0.0,0.0
2018-03-04,55.4,55.4,55.4,0.0,0.0,55.55,55.55,55.55,0.0,0.0,55.32,55.32,55.32,0.0,0.0,55.47,55.47,55.47,0.0,0.0
2018-03-11,54.98,54.98,54.98,0.0,0.0,54.98,54.98,54.98,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.65,54.65,54.65,0.0,0.0
2018-03-18,53.88,53.88,53.88,0.0,0.0,54.15,54.15,54.15,0.0,0.0,53.42,53.42,53.42,0.0,0.0,54.15,54.15,54.15,0.0,0.0
2018-03-25,54.22,54.22,54.22,0.0,0.0,54.48,54.48,54.48,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.66,53.66,53.66,0.0,0.0
