Date,Direxion Daily Retail Bull 3X Shares_etf_Open_average,Direxion Daily Retail Bull 3X Shares_etf_Open_max,Direxion Daily Retail Bull 3X Shares_etf_Open_min,Direxion Daily Retail Bull 3X Shares_etf_Open_volatility,Direxion Daily Retail Bull 3X Shares_etf_Open_change,Direxion Daily Retail Bull 3X Shares_etf_High_average,Direxion Daily Retail Bull 3X Shares_etf_High_max,Direxion Daily Retail Bull 3X Shares_etf_High_min,Direxion Daily Retail Bull 3X Shares_etf_High_volatility,Direxion Daily Retail Bull 3X Shares_etf_High_change,Direxion Daily Retail Bull 3X Shares_etf_Low_average,Direxion Daily Retail Bull 3X Shares_etf_Low_max,Direxion Daily Retail Bull 3X Shares_etf_Low_min,Direxion Daily Retail Bull 3X Shares_etf_Low_volatility,Direxion Daily Retail Bull 3X Shares_etf_Low_change,Direxion Daily Retail Bull 3X Shares_etf_Close_average,Direxion Daily Retail Bull 3X Shares_etf_Close_max,Direxion Daily Retail Bull 3X Shares_etf_Close_min,Direxion Daily Retail Bull 3X Shares_etf_Close_volatility,Direxion Daily Retail Bull 3X Shares_etf_Close_change
2018-01-14,42.0,42.0,42.0,0.0,0.0,43.84,43.84,43.84,0.0,0.0,41.5,41.5,41.5,0.0,0.0,43.84,43.84,43.84,0.0,0.0
2018-01-21,43.92,43.92,43.92,0.0,0.0,45.07,45.07,45.07,0.0,0.0,43.34,43.34,43.34,0.0,0.0,45.02,45.02,45.02,0.0,0.0
2018-01-28,38.99,38.99,38.99,0.0,0.0,39.04,39.04,39.04,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.22,36.22,36.22,0.0,0.0
2018-02-04,33.63,33.63,33.63,0.0,0.0,34.93,34.93,34.93,0.0,0.0,30.0,30.0,30.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0
2018-02-11,37.04,37.04,37.04,0.0,0.0,38.75,38.75,38.75,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.66,37.66,37.66,0.0,0.0
2018-02-18,35.52,35.52,35.52,0.0,0.0,36.85,36.85,36.85,0.0,0.0,35.07,35.07,35.07,0.0,0.0,36.72,36.72,36.72,0.0,0.0
2018-02-25,33.11,33.11,33.11,0.0,0.0,35.34,35.34,35.34,0.0,0.0,32.13,32.13,32.13,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-03-04,34.42,34.42,34.42,0.0,0.0,35.33,35.33,35.33,0.0,0.0,34.1,34.1,34.1,0.0,0.0,35.33,35.33,35.33,0.0,0.0
2018-03-11,33.5,33.5,33.5,0.0,0.0,34.72,34.72,34.72,0.0,0.0,33.45,33.45,33.45,0.0,0.0,34.04,34.04,34.04,0.0,0.0
2018-03-18,31.05,31.05,31.05,0.0,0.0,31.46,31.46,31.46,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.96,29.96,29.96,0.0,0.0
