Date,CSOP FTSE China A50 US_etf_Open_average,CSOP FTSE China A50 US_etf_Open_max,CSOP FTSE China A50 US_etf_Open_min,CSOP FTSE China A50 US_etf_Open_volatility,CSOP FTSE China A50 US_etf_Open_change,CSOP FTSE China A50 US_etf_High_average,CSOP FTSE China A50 US_etf_High_max,CSOP FTSE China A50 US_etf_High_min,CSOP FTSE China A50 US_etf_High_volatility,CSOP FTSE China A50 US_etf_High_change,CSOP FTSE China A50 US_etf_Low_average,CSOP FTSE China A50 US_etf_Low_max,CSOP FTSE China A50 US_etf_Low_min,CSOP FTSE China A50 US_etf_Low_volatility,CSOP FTSE China A50 US_etf_Low_change,CSOP FTSE China A50 US_etf_Close_average,CSOP FTSE China A50 US_etf_Close_max,CSOP FTSE China A50 US_etf_Close_min,CSOP FTSE China A50 US_etf_Close_volatility,CSOP FTSE China A50 US_etf_Close_change
2018-01-14,19.73,19.73,19.73,0.0,0.0,19.86,19.86,19.86,0.0,0.0,19.73,19.73,19.73,0.0,0.0,19.86,19.86,19.86,0.0,0.0
2018-01-21,20.39,20.39,20.39,0.0,0.0,20.51,20.51,20.51,0.0,0.0,20.39,20.39,20.39,0.0,0.0,20.49,20.49,20.49,0.0,0.0
2018-01-28,20.03,20.03,20.03,0.0,0.0,20.03,20.03,20.03,0.0,0.0,19.88,19.88,19.88,0.0,0.0,19.88,19.88,19.88,0.0,0.0
2018-02-04,17.39,17.39,17.39,0.0,0.0,17.75,17.75,17.75,0.0,0.0,16.98,16.98,16.98,0.0,0.0,17.51,17.51,17.51,0.0,0.0
2018-02-11,19.0,19.0,19.0,0.0,0.0,19.14,19.14,19.14,0.0,0.0,19.0,19.0,19.0,0.0,0.0,19.05,19.05,19.05,0.0,0.0
2018-02-18,19.04,19.04,19.04,0.0,0.0,19.04,19.04,19.04,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2018-02-25,17.94,17.94,17.94,0.0,0.0,18.24,18.24,18.24,0.0,0.0,17.94,17.94,17.94,0.0,0.0,18.24,18.24,18.24,0.0,0.0
2018-03-04,18.82,18.82,18.82,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.76,18.76,18.76,0.0,0.0,18.89,18.89,18.89,0.0,0.0
2018-03-11,18.48,18.48,18.48,0.0,0.0,18.48,18.48,18.48,0.0,0.0,18.39,18.39,18.39,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2018-03-18,17.66,17.66,17.66,0.0,0.0,17.71,17.71,17.71,0.0,0.0,17.5,17.5,17.5,0.0,0.0,17.5,17.5,17.5,0.0,0.0
2018-03-25,17.8,17.8,17.8,0.0,0.0,17.8,17.8,17.8,0.0,0.0,17.75,17.75,17.75,0.0,0.0,17.78,17.78,17.78,0.0,0.0
2018-04-01,17.32,17.32,17.32,0.0,0.0,17.32,17.32,17.32,0.0,0.0,17.26,17.26,17.26,0.0,0.0,17.26,17.26,17.26,0.0,0.0
2018-04-08,17.61,17.61,17.61,0.0,0.0,17.61,17.61,17.61,0.0,0.0,17.4,17.4,17.4,0.0,0.0,17.4,17.4,17.4,0.0,0.0
