Date,PowerShares KBW Regional Banking Portfolio_etf_Open_average,PowerShares KBW Regional Banking Portfolio_etf_Open_max,PowerShares KBW Regional Banking Portfolio_etf_Open_min,PowerShares KBW Regional Banking Portfolio_etf_Open_volatility,PowerShares KBW Regional Banking Portfolio_etf_Open_change,PowerShares KBW Regional Banking Portfolio_etf_High_average,PowerShares KBW Regional Banking Portfolio_etf_High_max,PowerShares KBW Regional Banking Portfolio_etf_High_min,PowerShares KBW Regional Banking Portfolio_etf_High_volatility,PowerShares KBW Regional Banking Portfolio_etf_High_change,PowerShares KBW Regional Banking Portfolio_etf_Low_average,PowerShares KBW Regional Banking Portfolio_etf_Low_max,PowerShares KBW Regional Banking Portfolio_etf_Low_min,PowerShares KBW Regional Banking Portfolio_etf_Low_volatility,PowerShares KBW Regional Banking Portfolio_etf_Low_change,PowerShares KBW Regional Banking Portfolio_etf_Close_average,PowerShares KBW Regional Banking Portfolio_etf_Close_max,PowerShares KBW Regional Banking Portfolio_etf_Close_min,PowerShares KBW Regional Banking Portfolio_etf_Close_volatility,PowerShares KBW Regional Banking Portfolio_etf_Close_change
2018-01-14,58.96,58.96,58.96,0.0,0.0,59.42,59.42,59.42,0.0,0.0,58.96,58.96,58.96,0.0,0.0,59.42,59.42,59.42,0.0,0.0
2018-01-21,58.8,58.8,58.8,0.0,0.0,59.04,59.04,59.04,0.0,0.0,58.41,58.41,58.41,0.0,0.0,58.73,58.73,58.73,0.0,0.0
2018-01-28,58.64,58.64,58.64,0.0,0.0,59.15,59.15,59.15,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.36,58.36,58.36,0.0,0.0
2018-02-04,55.8,55.8,55.8,0.0,0.0,56.28,56.28,56.28,0.0,0.0,54.59,54.59,54.59,0.0,0.0,56.28,56.28,56.28,0.0,0.0
2018-02-11,58.01,58.01,58.01,0.0,0.0,58.84,58.84,58.84,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.76,58.76,58.76,0.0,0.0
2018-02-18,57.62,57.62,57.62,0.0,0.0,58.34,58.34,58.34,0.0,0.0,57.62,57.62,57.62,0.0,0.0,58.34,58.34,58.34,0.0,0.0
2018-02-25,56.71,56.71,56.71,0.0,0.0,58.02,58.02,58.02,0.0,0.0,56.39,56.39,56.39,0.0,0.0,58.02,58.02,58.02,0.0,0.0
2018-03-04,59.84,59.84,59.84,0.0,0.0,60.35,60.35,60.35,0.0,0.0,59.53,59.53,59.53,0.0,0.0,60.34,60.34,60.34,0.0,0.0
2018-03-11,59.8,59.8,59.8,0.0,0.0,60.33,60.33,60.33,0.0,0.0,59.57,59.57,59.57,0.0,0.0,59.92,59.92,59.92,0.0,0.0
2018-03-18,57.17,57.17,57.17,0.0,0.0,57.72,57.72,57.72,0.0,0.0,54.84,54.84,54.84,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2018-03-25,56.3,56.3,56.3,0.0,0.0,56.7,56.7,56.7,0.0,0.0,55.92,55.92,55.92,0.0,0.0,56.7,56.7,56.7,0.0,0.0
2018-04-01,56.25,56.25,56.25,0.0,0.0,56.66,56.66,56.66,0.0,0.0,54.85,54.85,54.85,0.0,0.0,55.45,55.45,55.45,0.0,0.0
2018-04-08,57.46,57.46,57.46,0.0,0.0,57.46,57.46,57.46,0.0,0.0,55.99,55.99,55.99,0.0,0.0,56.17,56.17,56.17,0.0,0.0
2018-04-15,56.62,56.62,56.62,0.0,0.0,57.21,57.21,57.21,0.0,0.0,56.02,56.02,56.02,0.0,0.0,56.87,56.87,56.87,0.0,0.0
2018-04-22,58.12,58.12,58.12,0.0,0.0,58.24,58.24,58.24,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.12,58.12,58.12,0.0,0.0
2018-04-29,56.95,56.95,56.95,0.0,0.0,58.34,58.34,58.34,0.0,0.0,56.95,56.95,56.95,0.0,0.0,57.82,57.82,57.82,0.0,0.0
2018-05-06,59.51,59.51,59.51,0.0,0.0,59.51,59.51,59.51,0.0,0.0,59.18,59.18,59.18,0.0,0.0,59.31,59.31,59.31,0.0,0.0
2018-05-13,59.86,59.86,59.86,0.0,0.0,59.96,59.96,59.96,0.0,0.0,59.47,59.47,59.47,0.0,0.0,59.5,59.5,59.5,0.0,0.0
2018-05-20,59.91,59.91,59.91,0.0,0.0,60.23,60.23,60.23,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2018-05-27,60.08,60.08,60.08,0.0,0.0,60.26,60.26,60.26,0.0,0.0,59.95,59.95,59.95,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-06-03,61.56,61.56,61.56,0.0,0.0,61.88,61.88,61.88,0.0,0.0,61.56,61.56,61.56,0.0,0.0,61.82,61.82,61.82,0.0,0.0
2018-06-10,59.9,59.9,59.9,0.0,0.0,60.31,60.31,60.31,0.0,0.0,59.68,59.68,59.68,0.0,0.0,60.05,60.05,60.05,0.0,0.0
2018-06-17,60.5,60.5,60.5,0.0,0.0,60.64,60.64,60.64,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.74,59.74,59.74,0.0,0.0
2018-06-24,58.18,58.18,58.18,0.0,0.0,58.5,58.5,58.5,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.94,57.94,57.94,0.0,0.0
2018-07-01,58.2,58.2,58.2,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.41,58.41,58.41,0.0,0.0
2018-07-08,57.76,57.76,57.76,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.25,57.25,57.25,0.0,0.0,57.29,57.29,57.29,0.0,0.0
2018-07-15,58.29,58.29,58.29,0.0,0.0,59.13,59.13,59.13,0.0,0.0,58.29,58.29,58.29,0.0,0.0,59.03,59.03,59.03,0.0,0.0
2018-07-22,58.45,58.45,58.45,0.0,0.0,58.82,58.82,58.82,0.0,0.0,57.97,57.97,57.97,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2018-07-29,58.81,58.81,58.81,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.21,58.21,58.21,0.0,0.0
2018-08-05,58.19,58.19,58.19,0.0,0.0,58.65,58.65,58.65,0.0,0.0,58.05,58.05,58.05,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-08-12,59.35,59.35,59.35,0.0,0.0,59.52,59.52,59.52,0.0,0.0,59.31,59.31,59.31,0.0,0.0,59.51,59.51,59.51,0.0,0.0
2018-08-19,59.83,59.83,59.83,0.0,0.0,59.83,59.83,59.83,0.0,0.0,59.45,59.45,59.45,0.0,0.0,59.59,59.59,59.59,0.0,0.0
2018-08-26,58.82,58.82,58.82,0.0,0.0,59.13,59.13,59.13,0.0,0.0,58.82,58.82,58.82,0.0,0.0,59.13,59.13,59.13,0.0,0.0
2018-09-02,59.31,59.31,59.31,0.0,0.0,59.39,59.39,59.39,0.0,0.0,58.98,58.98,58.98,0.0,0.0,59.38,59.38,59.38,0.0,0.0
2018-09-09,57.66,57.66,57.66,0.0,0.0,58.49,58.49,58.49,0.0,0.0,57.66,57.66,57.66,0.0,0.0,58.31,58.31,58.31,0.0,0.0
2018-09-16,58.95,58.95,58.95,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.44,58.44,58.44,0.0,0.0
2018-09-23,55.75,55.75,55.75,0.0,0.0,55.87,55.87,55.87,0.0,0.0,55.72,55.72,55.72,0.0,0.0,55.81,55.81,55.81,0.0,0.0
2018-09-30,56.6,56.6,56.6,0.0,0.0,56.6,56.6,56.6,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.87,55.87,55.87,0.0,0.0
2018-10-07,54.48,54.48,54.48,0.0,0.0,54.48,54.48,54.48,0.0,0.0,51.31,51.31,51.31,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2018-10-14,52.06,52.06,52.06,0.0,0.0,52.15,52.15,52.15,0.0,0.0,51.12,51.12,51.12,0.0,0.0,51.25,51.25,51.25,0.0,0.0
2018-10-21,48.52,48.52,48.52,0.0,0.0,49.22,49.22,49.22,0.0,0.0,48.1,48.1,48.1,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2018-10-28,51.78,51.78,51.78,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.25,51.25,51.25,0.0,0.0,51.5,51.5,51.5,0.0,0.0
2018-11-04,52.4,52.4,52.4,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.03,52.03,52.03,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2018-11-11,51.69,51.69,51.69,0.0,0.0,52.19,52.19,52.19,0.0,0.0,51.68,51.68,51.68,0.0,0.0,52.13,52.13,52.13,0.0,0.0
2018-11-18,50.94,50.94,50.94,0.0,0.0,51.71,51.71,51.71,0.0,0.0,50.94,50.94,50.94,0.0,0.0,51.71,51.71,51.71,0.0,0.0
2018-11-25,52.65,52.65,52.65,0.0,0.0,53.19,53.19,53.19,0.0,0.0,52.5,52.5,52.5,0.0,0.0,53.19,53.19,53.19,0.0,0.0
2018-12-02,49.79,49.79,49.79,0.0,0.0,50.14,50.14,50.14,0.0,0.0,49.04,49.04,49.04,0.0,0.0,49.41,49.41,49.41,0.0,0.0
2018-12-09,47.68,47.68,47.68,0.0,0.0,47.88,47.88,47.88,0.0,0.0,46.68,46.68,46.68,0.0,0.0,46.73,46.73,46.73,0.0,0.0
2018-12-16,44.27,44.27,44.27,0.0,0.0,44.89,44.89,44.89,0.0,0.0,43.58,43.58,43.58,0.0,0.0,43.58,43.58,43.58,0.0,0.0
2018-12-23,44.23,44.23,44.23,0.0,0.0,45.04,45.04,45.04,0.0,0.0,44.18,44.18,44.18,0.0,0.0,44.53,44.53,44.53,0.0,0.0
2018-12-30,46.33,46.33,46.33,0.0,0.0,46.85,46.85,46.85,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.8,46.8,46.8,0.0,0.0
2019-01-06,47.63,47.63,47.63,0.0,0.0,48.08,48.08,48.08,0.0,0.0,47.38,47.38,47.38,0.0,0.0,47.98,47.98,47.98,0.0,0.0
2019-01-13,50.2,50.2,50.2,0.0,0.0,50.79,50.79,50.79,0.0,0.0,50.2,50.2,50.2,0.0,0.0,50.74,50.74,50.74,0.0,0.0
2019-01-20,50.61,50.61,50.61,0.0,0.0,51.06,51.06,51.06,0.0,0.0,50.47,50.47,50.47,0.0,0.0,50.91,50.91,50.91,0.0,0.0
2019-01-27,50.52,50.52,50.52,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.52,50.52,50.52,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2019-02-03,51.91,51.91,51.91,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2019-02-10,52.51,52.51,52.51,0.0,0.0,53.34,53.34,53.34,0.0,0.0,52.51,52.51,52.51,0.0,0.0,53.16,53.16,53.16,0.0,0.0
2019-02-17,54.19,54.19,54.19,0.0,0.0,54.19,54.19,54.19,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2019-02-24,54.24,54.24,54.24,0.0,0.0,54.28,54.28,54.28,0.0,0.0,53.55,53.55,53.55,0.0,0.0,53.92,53.92,53.92,0.0,0.0
2019-03-03,50.69,50.69,50.69,0.0,0.0,51.42,51.42,51.42,0.0,0.0,50.69,50.69,50.69,0.0,0.0,51.22,51.22,51.22,0.0,0.0
2019-03-10,52.01,52.01,52.01,0.0,0.0,52.35,52.35,52.35,0.0,0.0,51.94,51.94,51.94,0.0,0.0,52.04,52.04,52.04,0.0,0.0
2019-03-17,48.51,48.51,48.51,0.0,0.0,48.51,48.51,48.51,0.0,0.0,46.53,46.53,46.53,0.0,0.0,46.99,46.99,46.99,0.0,0.0
2019-03-24,49.43,49.43,49.43,0.0,0.0,49.43,49.43,49.43,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.75,48.75,48.75,0.0,0.0
2019-03-31,51.03,51.03,51.03,0.0,0.0,51.22,51.22,51.22,0.0,0.0,50.98,50.98,50.98,0.0,0.0,51.07,51.07,51.07,0.0,0.0
2019-04-07,51.46,51.46,51.46,0.0,0.0,52.0,52.0,52.0,0.0,0.0,51.3,51.3,51.3,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2019-04-14,51.86,51.86,51.86,0.0,0.0,51.86,51.86,51.86,0.0,0.0,51.22,51.22,51.22,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2019-04-21,51.48,51.48,51.48,0.0,0.0,52.27,52.27,52.27,0.0,0.0,51.48,51.48,51.48,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2019-04-28,52.74,52.74,52.74,0.0,0.0,53.54,53.54,53.54,0.0,0.0,52.74,52.74,52.74,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2019-05-05,51.45,51.45,51.45,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.33,51.33,51.33,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2019-05-12,50.91,50.91,50.91,0.0,0.0,50.91,50.91,50.91,0.0,0.0,50.76,50.76,50.76,0.0,0.0,50.77,50.77,50.77,0.0,0.0
2019-05-19,49.31,49.31,49.31,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.6,49.6,49.6,0.0,0.0
2019-05-26,47.49,47.49,47.49,0.0,0.0,47.81,47.81,47.81,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.36,47.36,47.36,0.0,0.0
2019-06-02,48.89,48.89,48.89,0.0,0.0,49.15,49.15,49.15,0.0,0.0,48.82,48.82,48.82,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2019-06-09,49.11,49.11,49.11,0.0,0.0,49.32,49.32,49.32,0.0,0.0,48.84,48.84,48.84,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2019-06-16,49.37,49.37,49.37,0.0,0.0,49.62,49.62,49.62,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.62,49.62,49.62,0.0,0.0
2019-06-23,49.88,49.88,49.88,0.0,0.0,50.35,50.35,50.35,0.0,0.0,49.81,49.81,49.81,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2019-06-30,50.53,50.53,50.53,0.0,0.0,50.78,50.78,50.78,0.0,0.0,50.53,50.53,50.53,0.0,0.0,50.7,50.7,50.7,0.0,0.0
2019-07-07,50.04,50.04,50.04,0.0,0.0,50.63,50.63,50.63,0.0,0.0,50.04,50.04,50.04,0.0,0.0,50.63,50.63,50.63,0.0,0.0
2019-07-14,49.92,49.92,49.92,0.0,0.0,50.38,50.38,50.38,0.0,0.0,49.92,49.92,49.92,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2019-07-21,51.4,51.4,51.4,0.0,0.0,52.15,52.15,52.15,0.0,0.0,51.4,51.4,51.4,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2019-07-28,49.88,49.88,49.88,0.0,0.0,49.88,49.88,49.88,0.0,0.0,48.89,48.89,48.89,0.0,0.0,49.32,49.32,49.32,0.0,0.0
2019-08-04,48.71,48.71,48.71,0.0,0.0,48.75,48.75,48.75,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2019-08-11,47.02,47.02,47.02,0.0,0.0,47.6,47.6,47.6,0.0,0.0,47.02,47.02,47.02,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2019-08-18,47.7,47.7,47.7,0.0,0.0,48.03,48.03,48.03,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.2,46.2,46.2,0.0,0.0
2019-08-25,47.72,47.72,47.72,0.0,0.0,47.8,47.8,47.8,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2019-09-01,47.79,47.79,47.79,0.0,0.0,48.02,48.02,48.02,0.0,0.0,47.56,47.56,47.56,0.0,0.0,47.63,47.63,47.63,0.0,0.0
2019-09-08,51.41,51.41,51.41,0.0,0.0,51.7,51.7,51.7,0.0,0.0,51.24,51.24,51.24,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2019-09-15,50.84,50.84,50.84,0.0,0.0,50.87,50.87,50.87,0.0,0.0,50.31,50.31,50.31,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2019-09-22,49.91,49.91,49.91,0.0,0.0,50.75,50.75,50.75,0.0,0.0,49.6,49.6,49.6,0.0,0.0,49.72,49.72,49.72,0.0,0.0
2019-09-29,48.1,48.1,48.1,0.0,0.0,48.2,48.2,48.2,0.0,0.0,47.77,47.77,47.77,0.0,0.0,48.2,48.2,48.2,0.0,0.0
2019-10-06,48.66,48.66,48.66,0.0,0.0,49.43,49.43,49.43,0.0,0.0,48.66,48.66,48.66,0.0,0.0,49.22,49.22,49.22,0.0,0.0
2019-10-13,50.03,50.03,50.03,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.76,49.76,49.76,0.0,0.0,50.12,50.12,50.12,0.0,0.0
2019-10-20,50.24,50.24,50.24,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.24,50.24,50.24,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2019-10-27,50.83,50.83,50.83,0.0,0.0,51.08,51.08,51.08,0.0,0.0,50.83,50.83,50.83,0.0,0.0,51.08,51.08,51.08,0.0,0.0
2019-11-03,52.64,52.64,52.64,0.0,0.0,52.84,52.84,52.84,0.0,0.0,52.53,52.53,52.53,0.0,0.0,52.65,52.65,52.65,0.0,0.0
2019-11-10,52.25,52.25,52.25,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.03,52.03,52.03,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2019-11-17,51.92,51.92,51.92,0.0,0.0,51.94,51.94,51.94,0.0,0.0,51.82,51.82,51.82,0.0,0.0,51.85,51.85,51.85,0.0,0.0
