Date,Guggenheim Invest S&P 500 Equal Weight_Open_average,Guggenheim Invest S&P 500 Equal Weight_Open_max,Guggenheim Invest S&P 500 Equal Weight_Open_min,Guggenheim Invest S&P 500 Equal Weight_Open_volatility,Guggenheim Invest S&P 500 Equal Weight_Open_change,Guggenheim Invest S&P 500 Equal Weight_High_average,Guggenheim Invest S&P 500 Equal Weight_High_max,Guggenheim Invest S&P 500 Equal Weight_High_min,Guggenheim Invest S&P 500 Equal Weight_High_volatility,Guggenheim Invest S&P 500 Equal Weight_High_change,Guggenheim Invest S&P 500 Equal Weight_Low_average,Guggenheim Invest S&P 500 Equal Weight_Low_max,Guggenheim Invest S&P 500 Equal Weight_Low_min,Guggenheim Invest S&P 500 Equal Weight_Low_volatility,Guggenheim Invest S&P 500 Equal Weight_Low_change,Guggenheim Invest S&P 500 Equal Weight_Close_average,Guggenheim Invest S&P 500 Equal Weight_Close_max,Guggenheim Invest S&P 500 Equal Weight_Close_min,Guggenheim Invest S&P 500 Equal Weight_Close_volatility,Guggenheim Invest S&P 500 Equal Weight_Close_change
2018-01-14,105.4,105.4,105.4,0.0,0.0,106.19,106.19,106.19,0.0,0.0,105.35,105.35,105.35,0.0,0.0,106.19,106.19,106.19,0.0,0.0
2018-01-21,107.26,107.26,107.26,0.0,0.0,107.41,107.41,107.41,0.0,0.0,106.61,106.61,106.61,0.0,0.0,106.66,106.66,106.66,0.0,0.0
2018-01-28,102.5,102.5,102.5,0.0,0.0,103.18,103.18,103.18,0.0,0.0,99.15,99.15,99.15,0.0,0.0,99.23,99.23,99.23,0.0,0.0
2018-02-04,98.68,98.68,98.68,0.0,0.0,99.94,99.94,99.94,0.0,0.0,98.08,98.08,98.08,0.0,0.0,99.33,99.33,99.33,0.0,0.0
2018-02-11,101.86,101.86,101.86,0.0,0.0,102.89,102.89,102.89,0.0,0.0,101.85,101.85,101.85,0.0,0.0,102.18,102.18,102.18,0.0,0.0
2018-02-18,102.82,102.82,102.82,0.0,0.0,103.34,103.34,103.34,0.0,0.0,102.36,102.36,102.36,0.0,0.0,103.28,103.28,103.28,0.0,0.0
2018-02-25,99.96,99.96,99.96,0.0,0.0,101.85,101.85,101.85,0.0,0.0,99.89,99.89,99.89,0.0,0.0,101.62,101.62,101.62,0.0,0.0
2018-03-04,104.01,104.01,104.01,0.0,0.0,104.21,104.21,104.21,0.0,0.0,103.6,103.6,103.6,0.0,0.0,103.78,103.78,103.78,0.0,0.0
2018-03-11,102.16,102.16,102.16,0.0,0.0,102.44,102.44,102.44,0.0,0.0,100.65,100.65,100.65,0.0,0.0,101.29,101.29,101.29,0.0,0.0
2018-03-18,98.5,98.5,98.5,0.0,0.0,99.62,99.62,99.62,0.0,0.0,97.79,97.79,97.79,0.0,0.0,99.53,99.53,99.53,0.0,0.0
2018-03-25,99.28,99.28,99.28,0.0,0.0,99.43,99.43,99.43,0.0,0.0,96.37,96.37,96.37,0.0,0.0,97.3,97.3,97.3,0.0,0.0
2018-04-01,98.72,98.72,98.72,0.0,0.0,99.7,99.7,99.7,0.0,0.0,98.27,98.27,98.27,0.0,0.0,98.34,98.34,98.34,0.0,0.0
2018-04-08,100.2,100.2,100.2,0.0,0.0,100.92,100.92,100.92,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.61,100.61,100.61,0.0,0.0
2018-04-15,100.36,100.36,100.36,0.0,0.0,100.84,100.84,100.84,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.41,100.41,100.41,0.0,0.0
2018-04-22,100.86,100.86,100.86,0.0,0.0,101.15,101.15,101.15,0.0,0.0,99.85,99.85,99.85,0.0,0.0,99.85,99.85,99.85,0.0,0.0
2018-04-29,100.08,100.08,100.08,0.0,0.0,100.38,100.38,100.38,0.0,0.0,99.76,99.76,99.76,0.0,0.0,100.0,100.0,100.0,0.0,0.0
2018-05-06,101.98,101.98,101.98,0.0,0.0,102.17,102.17,102.17,0.0,0.0,101.52,101.52,101.52,0.0,0.0,101.76,101.76,101.76,0.0,0.0
2018-05-13,102.26,102.26,102.26,0.0,0.0,102.57,102.57,102.57,0.0,0.0,102.18,102.18,102.18,0.0,0.0,102.39,102.39,102.39,0.0,0.0
2018-05-20,101.93,101.93,101.93,0.0,0.0,102.14,102.14,102.14,0.0,0.0,101.73,101.73,101.73,0.0,0.0,101.95,101.95,101.95,0.0,0.0
2018-05-27,102.5,102.5,102.5,0.0,0.0,102.67,102.67,102.67,0.0,0.0,102.19,102.19,102.19,0.0,0.0,102.51,102.51,102.51,0.0,0.0
2018-06-03,104.08,104.08,104.08,0.0,0.0,104.48,104.48,104.48,0.0,0.0,104.08,104.08,104.08,0.0,0.0,104.24,104.24,104.24,0.0,0.0
2018-06-10,103.32,103.32,103.32,0.0,0.0,103.75,103.75,103.75,0.0,0.0,103.18,103.18,103.18,0.0,0.0,103.7,103.7,103.7,0.0,0.0
2018-06-17,102.86,102.86,102.86,0.0,0.0,102.92,102.92,102.92,0.0,0.0,101.55,101.55,101.55,0.0,0.0,102.11,102.11,102.11,0.0,0.0
2018-06-24,101.31,101.31,101.31,0.0,0.0,101.89,101.89,101.89,0.0,0.0,100.99,100.99,100.99,0.0,0.0,101.85,101.85,101.85,0.0,0.0
2018-07-01,103.74,103.74,103.74,0.0,0.0,104.18,104.18,104.18,0.0,0.0,103.74,103.74,103.74,0.0,0.0,104.13,104.13,104.13,0.0,0.0
2018-07-08,104.25,104.25,104.25,0.0,0.0,104.33,104.33,104.33,0.0,0.0,103.77,103.77,103.77,0.0,0.0,103.95,103.95,103.95,0.0,0.0
2018-07-15,104.1,104.1,104.1,0.0,0.0,104.28,104.28,104.28,0.0,0.0,103.87,103.87,103.87,0.0,0.0,104.17,104.17,104.17,0.0,0.0
2018-07-22,104.73,104.73,104.73,0.0,0.0,105.07,105.07,105.07,0.0,0.0,104.26,104.26,104.26,0.0,0.0,104.34,104.34,104.34,0.0,0.0
2018-07-29,105.28,105.28,105.28,0.0,0.0,105.72,105.72,105.72,0.0,0.0,105.16,105.16,105.16,0.0,0.0,105.57,105.57,105.57,0.0,0.0
2018-08-05,104.87,104.87,104.87,0.0,0.0,104.94,104.94,104.94,0.0,0.0,104.06,104.06,104.06,0.0,0.0,104.22,104.22,104.22,0.0,0.0
2018-08-12,105.97,105.97,105.97,0.0,0.0,106.37,106.37,106.37,0.0,0.0,105.96,105.96,105.96,0.0,0.0,106.29,106.29,106.29,0.0,0.0
2018-08-19,107.03,107.03,107.03,0.0,0.0,107.4,107.4,107.4,0.0,0.0,107.03,107.03,107.03,0.0,0.0,107.24,107.24,107.24,0.0,0.0
2018-08-26,106.9,106.9,106.9,0.0,0.0,107.25,107.25,107.25,0.0,0.0,106.74,106.74,106.74,0.0,0.0,107.11,107.11,107.11,0.0,0.0
2018-09-02,106.87,106.87,106.87,0.0,0.0,107.18,107.18,107.18,0.0,0.0,106.81,106.81,106.81,0.0,0.0,106.88,106.88,106.88,0.0,0.0
