Date,EXC_stock_Open_average,EXC_stock_Open_max,EXC_stock_Open_min,EXC_stock_Open_volatility,EXC_stock_Open_change,EXC_stock_High_average,EXC_stock_High_max,EXC_stock_High_min,EXC_stock_High_volatility,EXC_stock_High_change,EXC_stock_Low_average,EXC_stock_Low_max,EXC_stock_Low_min,EXC_stock_Low_volatility,EXC_stock_Low_change,EXC_stock_Close_average,EXC_stock_Close_max,EXC_stock_Close_min,EXC_stock_Close_volatility,EXC_stock_Close_change,EXC_stock_Volume_average,EXC_stock_Volume_max,EXC_stock_Volume_min,EXC_stock_Volume_volatility,EXC_stock_Volume_change
2018-01-14,38.7025,39.0,38.47,0.5300000000000011,0.28000000000000114,38.975,39.2,38.8,0.4000000000000057,-0.020000000000003126,38.18,38.55,37.9,0.6499999999999986,-0.20000000000000284,38.53,39.09,37.97,1.1200000000000045,-0.5,7295336,8464712,5930963,2533749,727462
2018-01-21,38.46,38.85,38.22,0.6300000000000026,0.6300000000000026,38.762,38.95,38.52,0.4299999999999997,0.3200000000000003,38.21,38.44,37.92,0.519999999999996,0.519999999999996,38.466,38.86,38.05,0.8100000000000023,0.8100000000000023,7158475,9460781,5488693,3972088,-1946064
2018-01-28,38.324,38.71,37.75,0.9600000000000009,-0.9600000000000009,38.556,38.71,38.15,0.5600000000000023,-0.5600000000000023,37.952,38.16,37.64,0.519999999999996,-0.519999999999996,38.138,38.51,37.72,0.7899999999999991,-0.6099999999999994,5953042,10075663,4606868,5468795,879578
2018-02-04,36.602,37.72,36.15,1.5700000000000003,-1.5700000000000003,37.306,38.07,36.82,1.25,-0.9699999999999989,36.062,36.83,35.57,1.259999999999998,-0.9600000000000009,36.476,36.92,35.98,0.9400000000000048,-0.060000000000002274,10056817,12572976,7002333,5570643,3824498
2018-02-11,36.966,37.6,36.57,1.0300000000000011,0.7000000000000028,37.412,37.98,37.06,0.9199999999999946,0.6499999999999986,36.647999999999996,37.43,36.22,1.2100000000000009,0.8800000000000026,37.212,37.78,36.6,1.1799999999999997,0.6099999999999994,7747785,9447642,6799241,2648401,2026984
2018-02-18,37.4875,37.73,37.18,0.5499999999999972,-0.36999999999999744,37.915,38.28,37.52,0.759999999999998,0.17999999999999972,37.15,37.47,36.93,0.5399999999999991,-0.28999999999999915,37.555,38.24,37.06,1.1799999999999997,0.5600000000000023,9547916,14813750,5400486,9413264,-4491599
2018-02-25,37.554,38.29,36.97,1.3200000000000003,-1.3200000000000003,37.846,38.48,37.14,1.3399999999999963,-1.259999999999998,37.058,37.86,36.5,1.3599999999999994,-1.3599999999999994,37.234,38.03,36.92,1.1099999999999994,-1.1099999999999994,6047790,7601992,5238368,2363624,15630
2018-03-04,37.188,37.69,36.85,0.8399999999999963,0.6400000000000006,37.554,37.75,37.2,0.5499999999999972,-0.17999999999999972,36.802,37.02,36.57,0.45000000000000284,0.3399999999999963,37.324,37.68,36.82,0.8599999999999994,-0.17999999999999972,5874912,7714849,4566077,3148772,2030303
2018-03-11,37.704,37.96,37.51,0.45000000000000284,0.4100000000000037,38.102,38.54,37.65,0.8900000000000006,0.8900000000000006,37.506,37.9,37.2,0.6999999999999957,0.6799999999999997,37.81,38.38,37.44,0.9400000000000048,0.8500000000000014,7521986,11779549,5338449,6441100,3264519
2018-03-18,38.32,38.43,38.1,0.3299999999999983,-0.00999999999999801,38.708,39.08,38.56,0.519999999999996,0.01999999999999602,37.948,38.15,37.63,0.519999999999996,-0.27999999999999403,38.136,38.37,37.71,0.6599999999999966,-0.509999999999998,6795328,9898786,4704858,5193928,-1412121
