Date,iShares MSCI Chile Capped_Open_average,iShares MSCI Chile Capped_Open_max,iShares MSCI Chile Capped_Open_min,iShares MSCI Chile Capped_Open_volatility,iShares MSCI Chile Capped_Open_change,iShares MSCI Chile Capped_High_average,iShares MSCI Chile Capped_High_max,iShares MSCI Chile Capped_High_min,iShares MSCI Chile Capped_High_volatility,iShares MSCI Chile Capped_High_change,iShares MSCI Chile Capped_Low_average,iShares MSCI Chile Capped_Low_max,iShares MSCI Chile Capped_Low_min,iShares MSCI Chile Capped_Low_volatility,iShares MSCI Chile Capped_Low_change,iShares MSCI Chile Capped_Close_average,iShares MSCI Chile Capped_Close_max,iShares MSCI Chile Capped_Close_min,iShares MSCI Chile Capped_Close_volatility,iShares MSCI Chile Capped_Close_change
2018-01-14,55.79,55.79,55.79,0.0,0.0,55.9,55.9,55.9,0.0,0.0,55.31,55.31,55.31,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2018-01-21,55.96,55.96,55.96,0.0,0.0,56.02,56.02,56.02,0.0,0.0,55.63,55.63,55.63,0.0,0.0,55.84,55.84,55.84,0.0,0.0
2018-01-28,54.89,54.89,54.89,0.0,0.0,55.36,55.36,55.36,0.0,0.0,53.55,53.55,53.55,0.0,0.0,53.7,53.7,53.7,0.0,0.0
2018-02-04,53.75,53.75,53.75,0.0,0.0,54.27,54.27,54.27,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.25,53.25,53.25,0.0,0.0
2018-02-11,55.0,55.0,55.0,0.0,0.0,55.09,55.09,55.09,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2018-02-18,56.02,56.02,56.02,0.0,0.0,56.08,56.08,56.08,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.69,55.69,55.69,0.0,0.0
2018-02-25,52.91,52.91,52.91,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.66,52.66,52.66,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-03-04,53.93,53.93,53.93,0.0,0.0,54.15,54.15,54.15,0.0,0.0,53.61,53.61,53.61,0.0,0.0,54.01,54.01,54.01,0.0,0.0
2018-03-11,52.75,52.75,52.75,0.0,0.0,52.75,52.75,52.75,0.0,0.0,52.34,52.34,52.34,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2018-03-18,52.22,52.22,52.22,0.0,0.0,52.22,52.22,52.22,0.0,0.0,51.65,51.65,51.65,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-03-25,52.77,52.77,52.77,0.0,0.0,53.97,53.97,53.97,0.0,0.0,52.25,52.25,52.25,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2018-04-01,53.33,53.33,53.33,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.06,53.06,53.06,0.0,0.0,53.18,53.18,53.18,0.0,0.0
2018-04-08,54.78,54.78,54.78,0.0,0.0,54.99,54.99,54.99,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2018-04-15,55.15,55.15,55.15,0.0,0.0,55.15,55.15,55.15,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2018-04-22,54.19,54.19,54.19,0.0,0.0,54.44,54.44,54.44,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.78,53.78,53.78,0.0,0.0
2018-04-29,52.12,52.12,52.12,0.0,0.0,52.28,52.28,52.28,0.0,0.0,51.46,51.46,51.46,0.0,0.0,51.99,51.99,51.99,0.0,0.0
2018-05-06,53.35,53.35,53.35,0.0,0.0,53.86,53.86,53.86,0.0,0.0,52.48,52.48,52.48,0.0,0.0,52.68,52.68,52.68,0.0,0.0
