Date,First Trust Small Cap Core AlphaDEX_Open_average,First Trust Small Cap Core AlphaDEX_Open_max,First Trust Small Cap Core AlphaDEX_Open_min,First Trust Small Cap Core AlphaDEX_Open_volatility,First Trust Small Cap Core AlphaDEX_Open_change,First Trust Small Cap Core AlphaDEX_High_average,First Trust Small Cap Core AlphaDEX_High_max,First Trust Small Cap Core AlphaDEX_High_min,First Trust Small Cap Core AlphaDEX_High_volatility,First Trust Small Cap Core AlphaDEX_High_change,First Trust Small Cap Core AlphaDEX_Low_average,First Trust Small Cap Core AlphaDEX_Low_max,First Trust Small Cap Core AlphaDEX_Low_min,First Trust Small Cap Core AlphaDEX_Low_volatility,First Trust Small Cap Core AlphaDEX_Low_change,First Trust Small Cap Core AlphaDEX_Close_average,First Trust Small Cap Core AlphaDEX_Close_max,First Trust Small Cap Core AlphaDEX_Close_min,First Trust Small Cap Core AlphaDEX_Close_volatility,First Trust Small Cap Core AlphaDEX_Close_change
2018-01-14,63.35,63.35,63.35,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.23,63.23,63.23,0.0,0.0,63.65,63.65,63.65,0.0,0.0
2018-01-21,63.39,63.39,63.39,0.0,0.0,63.66,63.66,63.66,0.0,0.0,63.17,63.17,63.17,0.0,0.0,63.25,63.25,63.25,0.0,0.0
2018-01-28,60.44,60.44,60.44,0.0,0.0,60.74,60.74,60.74,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.67,58.67,58.67,0.0,0.0
2018-02-04,58.45,58.45,58.45,0.0,0.0,59.02,59.02,59.02,0.0,0.0,57.78,57.78,57.78,0.0,0.0,58.77,58.77,58.77,0.0,0.0
2018-02-11,60.5,60.5,60.5,0.0,0.0,61.24,61.24,61.24,0.0,0.0,60.5,60.5,60.5,0.0,0.0,60.98,60.98,60.98,0.0,0.0
2018-02-18,61.36,61.36,61.36,0.0,0.0,61.5,61.5,61.5,0.0,0.0,60.89,60.89,60.89,0.0,0.0,61.43,61.43,61.43,0.0,0.0
2018-02-25,59.92,59.92,59.92,0.0,0.0,60.7,60.7,60.7,0.0,0.0,59.67,59.67,59.67,0.0,0.0,60.53,60.53,60.53,0.0,0.0
2018-03-04,62.44,62.44,62.44,0.0,0.0,62.74,62.74,62.74,0.0,0.0,62.4,62.4,62.4,0.0,0.0,62.55,62.55,62.55,0.0,0.0
2018-03-11,61.96,61.96,61.96,0.0,0.0,61.96,61.96,61.96,0.0,0.0,60.95,60.95,60.95,0.0,0.0,61.65,61.65,61.65,0.0,0.0
2018-03-18,60.21,60.21,60.21,0.0,0.0,60.63,60.63,60.63,0.0,0.0,59.58,59.58,59.58,0.0,0.0,60.63,60.63,60.63,0.0,0.0
2018-03-25,60.08,60.08,60.08,0.0,0.0,60.22,60.22,60.22,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.79,58.79,58.79,0.0,0.0
2018-04-01,60.12,60.12,60.12,0.0,0.0,60.52,60.52,60.52,0.0,0.0,59.67,59.67,59.67,0.0,0.0,59.67,59.67,59.67,0.0,0.0
2018-04-08,61.37,61.37,61.37,0.0,0.0,61.82,61.82,61.82,0.0,0.0,61.23,61.23,61.23,0.0,0.0,61.71,61.71,61.71,0.0,0.0
2018-04-15,61.77,61.77,61.77,0.0,0.0,61.98,61.98,61.98,0.0,0.0,61.46,61.46,61.46,0.0,0.0,61.77,61.77,61.77,0.0,0.0
2018-04-22,61.88,61.88,61.88,0.0,0.0,62.02,62.02,62.02,0.0,0.0,61.09,61.09,61.09,0.0,0.0,61.09,61.09,61.09,0.0,0.0
2018-04-29,62.08,62.08,62.08,0.0,0.0,62.57,62.57,62.57,0.0,0.0,62.08,62.08,62.08,0.0,0.0,62.35,62.35,62.35,0.0,0.0
2018-05-06,63.4,63.4,63.4,0.0,0.0,63.65,63.65,63.65,0.0,0.0,63.1,63.1,63.1,0.0,0.0,63.17,63.17,63.17,0.0,0.0
2018-05-13,64.74,64.74,64.74,0.0,0.0,64.99,64.99,64.99,0.0,0.0,64.68,64.68,64.68,0.0,0.0,64.99,64.99,64.99,0.0,0.0
2018-05-20,64.25,64.25,64.25,0.0,0.0,64.49,64.49,64.49,0.0,0.0,64.19,64.19,64.19,0.0,0.0,64.35,64.35,64.35,0.0,0.0
2018-05-27,65.7,65.7,65.7,0.0,0.0,65.72,65.72,65.72,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.72,65.72,65.72,0.0,0.0
2018-06-03,66.91,66.91,66.91,0.0,0.0,67.1,67.1,67.1,0.0,0.0,66.77,66.77,66.77,0.0,0.0,66.99,66.99,66.99,0.0,0.0
2018-06-10,66.92,66.92,66.92,0.0,0.0,67.73,67.73,67.73,0.0,0.0,66.65,66.65,66.65,0.0,0.0,67.73,67.73,67.73,0.0,0.0
2018-06-17,67.24,67.24,67.24,0.0,0.0,67.24,67.24,67.24,0.0,0.0,66.04,66.04,66.04,0.0,0.0,66.32,66.32,66.32,0.0,0.0
2018-06-24,65.61,65.61,65.61,0.0,0.0,66.46,66.46,66.46,0.0,0.0,65.36,65.36,65.36,0.0,0.0,66.45,66.45,66.45,0.0,0.0
2018-07-01,68.16,68.16,68.16,0.0,0.0,68.45,68.45,68.45,0.0,0.0,68.06,68.06,68.06,0.0,0.0,68.41,68.41,68.41,0.0,0.0
2018-07-08,67.87,67.87,67.87,0.0,0.0,67.87,67.87,67.87,0.0,0.0,66.97,66.97,66.97,0.0,0.0,67.3,67.3,67.3,0.0,0.0
