Date,iShares China Large-Cap_Open_average,iShares China Large-Cap_Open_max,iShares China Large-Cap_Open_min,iShares China Large-Cap_Open_volatility,iShares China Large-Cap_Open_change,iShares China Large-Cap_High_average,iShares China Large-Cap_High_max,iShares China Large-Cap_High_min,iShares China Large-Cap_High_volatility,iShares China Large-Cap_High_change,iShares China Large-Cap_Low_average,iShares China Large-Cap_Low_max,iShares China Large-Cap_Low_min,iShares China Large-Cap_Low_volatility,iShares China Large-Cap_Low_change,iShares China Large-Cap_Close_average,iShares China Large-Cap_Close_max,iShares China Large-Cap_Close_min,iShares China Large-Cap_Close_volatility,iShares China Large-Cap_Close_change
2018-01-14,51.81,51.81,51.81,0.0,0.0,52.21,52.21,52.21,0.0,0.0,51.77,51.77,51.77,0.0,0.0,52.21,52.21,52.21,0.0,0.0
2018-01-21,52.93,52.93,52.93,0.0,0.0,53.08,53.08,53.08,0.0,0.0,52.77,52.77,52.77,0.0,0.0,52.85,52.85,52.85,0.0,0.0
2018-01-28,51.66,51.66,51.66,0.0,0.0,52.01,52.01,52.01,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.88,49.88,49.88,0.0,0.0
2018-02-04,46.37,46.37,46.37,0.0,0.0,47.04,47.04,47.04,0.0,0.0,46.0,46.0,46.0,0.0,0.0,46.69,46.69,46.69,0.0,0.0
2018-02-11,49.28,49.28,49.28,0.0,0.0,49.95,49.95,49.95,0.0,0.0,49.16,49.16,49.16,0.0,0.0,49.37,49.37,49.37,0.0,0.0
2018-02-18,49.85,49.85,49.85,0.0,0.0,50.36,50.36,50.36,0.0,0.0,49.63,49.63,49.63,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-02-25,46.43,46.43,46.43,0.0,0.0,47.39,47.39,47.39,0.0,0.0,46.43,46.43,46.43,0.0,0.0,47.25,47.25,47.25,0.0,0.0
2018-03-04,49.12,49.12,49.12,0.0,0.0,49.29,49.29,49.29,0.0,0.0,48.84,48.84,48.84,0.0,0.0,49.12,49.12,49.12,0.0,0.0
2018-03-11,48.84,48.84,48.84,0.0,0.0,48.91,48.91,48.91,0.0,0.0,48.29,48.29,48.29,0.0,0.0,48.57,48.57,48.57,0.0,0.0
2018-03-18,47.3,47.3,47.3,0.0,0.0,47.82,47.82,47.82,0.0,0.0,46.7,46.7,46.7,0.0,0.0,47.74,47.74,47.74,0.0,0.0
2018-03-25,46.82,46.82,46.82,0.0,0.0,47.14,47.14,47.14,0.0,0.0,45.72,45.72,45.72,0.0,0.0,46.21,46.21,46.21,0.0,0.0
2018-04-01,46.62,46.62,46.62,0.0,0.0,47.1,47.1,47.1,0.0,0.0,46.27,46.27,46.27,0.0,0.0,46.53,46.53,46.53,0.0,0.0
2018-04-08,46.76,46.76,46.76,0.0,0.0,47.03,47.03,47.03,0.0,0.0,46.61,46.61,46.61,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2018-04-15,46.42,46.42,46.42,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.23,46.23,46.23,0.0,0.0,46.39,46.39,46.39,0.0,0.0
2018-04-22,47.52,47.52,47.52,0.0,0.0,47.54,47.54,47.54,0.0,0.0,46.9,46.9,46.9,0.0,0.0,46.93,46.93,46.93,0.0,0.0
2018-04-29,46.24,46.24,46.24,0.0,0.0,46.52,46.52,46.52,0.0,0.0,46.21,46.21,46.21,0.0,0.0,46.29,46.29,46.29,0.0,0.0
2018-05-06,48.79,48.79,48.79,0.0,0.0,48.92,48.92,48.92,0.0,0.0,48.56,48.56,48.56,0.0,0.0,48.63,48.63,48.63,0.0,0.0
2018-05-13,48.27,48.27,48.27,0.0,0.0,48.42,48.42,48.42,0.0,0.0,48.09,48.09,48.09,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-05-20,46.99,46.99,46.99,0.0,0.0,47.16,47.16,47.16,0.0,0.0,46.87,46.87,46.87,0.0,0.0,47.12,47.12,47.12,0.0,0.0
2018-05-27,47.83,47.83,47.83,0.0,0.0,48.04,48.04,48.04,0.0,0.0,47.79,47.79,47.79,0.0,0.0,47.97,47.97,47.97,0.0,0.0
2018-06-03,47.98,47.98,47.98,0.0,0.0,48.13,48.13,48.13,0.0,0.0,47.94,47.94,47.94,0.0,0.0,48.02,48.02,48.02,0.0,0.0
2018-06-10,46.1,46.1,46.1,0.0,0.0,46.37,46.37,46.37,0.0,0.0,45.78,45.78,45.78,0.0,0.0,46.25,46.25,46.25,0.0,0.0
