Date,Goldman Sachs ActiveBeta US Large Cap Equity_Open_average,Goldman Sachs ActiveBeta US Large Cap Equity_Open_max,Goldman Sachs ActiveBeta US Large Cap Equity_Open_min,Goldman Sachs ActiveBeta US Large Cap Equity_Open_volatility,Goldman Sachs ActiveBeta US Large Cap Equity_Open_change,Goldman Sachs ActiveBeta US Large Cap Equity_High_average,Goldman Sachs ActiveBeta US Large Cap Equity_High_max,Goldman Sachs ActiveBeta US Large Cap Equity_High_min,Goldman Sachs ActiveBeta US Large Cap Equity_High_volatility,Goldman Sachs ActiveBeta US Large Cap Equity_High_change,Goldman Sachs ActiveBeta US Large Cap Equity_Low_average,Goldman Sachs ActiveBeta US Large Cap Equity_Low_max,Goldman Sachs ActiveBeta US Large Cap Equity_Low_min,Goldman Sachs ActiveBeta US Large Cap Equity_Low_volatility,Goldman Sachs ActiveBeta US Large Cap Equity_Low_change,Goldman Sachs ActiveBeta US Large Cap Equity_Close_average,Goldman Sachs ActiveBeta US Large Cap Equity_Close_max,Goldman Sachs ActiveBeta US Large Cap Equity_Close_min,Goldman Sachs ActiveBeta US Large Cap Equity_Close_volatility,Goldman Sachs ActiveBeta US Large Cap Equity_Close_change
2018-01-14,56.1,56.1,56.1,0.0,0.0,56.53,56.53,56.53,0.0,0.0,56.1,56.1,56.1,0.0,0.0,56.53,56.53,56.53,0.0,0.0
2018-01-21,57.25,57.25,57.25,0.0,0.0,57.42,57.42,57.42,0.0,0.0,57.04,57.04,57.04,0.0,0.0,57.04,57.04,57.04,0.0,0.0
2018-01-28,54.81,54.81,54.81,0.0,0.0,55.35,55.35,55.35,0.0,0.0,52.98,52.98,52.98,0.0,0.0,53.06,53.06,53.06,0.0,0.0
2018-02-04,53.08,53.08,53.08,0.0,0.0,53.67,53.67,53.67,0.0,0.0,52.72,52.72,52.72,0.0,0.0,53.36,53.36,53.36,0.0,0.0
2018-02-11,54.78,54.78,54.78,0.0,0.0,55.38,55.38,55.38,0.0,0.0,54.78,54.78,54.78,0.0,0.0,54.98,54.98,54.98,0.0,0.0
2018-02-18,55.46,55.46,55.46,0.0,0.0,55.81,55.81,55.81,0.0,0.0,55.33,55.33,55.33,0.0,0.0,55.81,55.81,55.81,0.0,0.0
2018-02-25,53.92,53.92,53.92,0.0,0.0,54.92,54.92,54.92,0.0,0.0,53.92,53.92,53.92,0.0,0.0,54.8,54.8,54.8,0.0,0.0
2018-03-04,56.21,56.21,56.21,0.0,0.0,56.29,56.29,56.29,0.0,0.0,55.97,55.97,55.97,0.0,0.0,56.05,56.05,56.05,0.0,0.0
2018-03-11,55.41,55.41,55.41,0.0,0.0,55.41,55.41,55.41,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.89,54.89,54.89,0.0,0.0
2018-03-18,53.04,53.04,53.04,0.0,0.0,53.72,53.72,53.72,0.0,0.0,52.58,52.58,52.58,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2018-03-25,53.18,53.18,53.18,0.0,0.0,53.28,53.28,53.28,0.0,0.0,51.69,51.69,51.69,0.0,0.0,52.17,52.17,52.17,0.0,0.0
2018-04-01,52.99,52.99,52.99,0.0,0.0,53.6,53.6,53.6,0.0,0.0,52.79,52.79,52.79,0.0,0.0,52.8,52.8,52.8,0.0,0.0
2018-04-08,53.98,53.98,53.98,0.0,0.0,54.24,54.24,54.24,0.0,0.0,53.84,53.84,53.84,0.0,0.0,54.06,54.06,54.06,0.0,0.0
2018-04-15,54.05,54.05,54.05,0.0,0.0,54.16,54.16,54.16,0.0,0.0,53.69,53.69,53.69,0.0,0.0,53.89,53.89,53.89,0.0,0.0
2018-04-22,54.05,54.05,54.05,0.0,0.0,54.21,54.21,54.21,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.46,53.46,53.46,0.0,0.0
2018-04-29,53.84,53.84,53.84,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.67,53.67,53.67,0.0,0.0,53.8,53.8,53.8,0.0,0.0
2018-05-06,55.04,55.04,55.04,0.0,0.0,55.16,55.16,55.16,0.0,0.0,54.8,54.8,54.8,0.0,0.0,54.93,54.93,54.93,0.0,0.0
2018-05-13,55.07,55.07,55.07,0.0,0.0,55.22,55.22,55.22,0.0,0.0,54.94,54.94,54.94,0.0,0.0,55.08,55.08,55.08,0.0,0.0
2018-05-20,54.99,54.99,54.99,0.0,0.0,55.15,55.15,55.15,0.0,0.0,54.87,54.87,54.87,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2018-05-27,55.45,55.45,55.45,0.0,0.0,55.65,55.65,55.65,0.0,0.0,55.44,55.44,55.44,0.0,0.0,55.63,55.63,55.63,0.0,0.0
2018-06-03,56.3,56.3,56.3,0.0,0.0,56.48,56.48,56.48,0.0,0.0,56.27,56.27,56.27,0.0,0.0,56.37,56.37,56.37,0.0,0.0
2018-06-10,56.04,56.04,56.04,0.0,0.0,56.3,56.3,56.3,0.0,0.0,56.01,56.01,56.01,0.0,0.0,56.29,56.29,56.29,0.0,0.0
2018-06-17,55.39,55.39,55.39,0.0,0.0,55.39,55.39,55.39,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.84,54.84,54.84,0.0,0.0
2018-06-24,54.42,54.42,54.42,0.0,0.0,54.95,54.95,54.95,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.93,54.93,54.93,0.0,0.0
2018-07-01,55.86,55.86,55.86,0.0,0.0,56.09,56.09,56.09,0.0,0.0,55.82,55.82,55.82,0.0,0.0,56.09,56.09,56.09,0.0,0.0
2018-07-08,56.53,56.53,56.53,0.0,0.0,56.53,56.53,56.53,0.0,0.0,56.35,56.35,56.35,0.0,0.0,56.44,56.44,56.44,0.0,0.0
2018-07-15,56.54,56.54,56.54,0.0,0.0,56.67,56.67,56.67,0.0,0.0,56.42,56.42,56.42,0.0,0.0,56.63,56.63,56.63,0.0,0.0
2018-07-22,56.74,56.74,56.74,0.0,0.0,56.8,56.8,56.8,0.0,0.0,56.23,56.23,56.23,0.0,0.0,56.33,56.33,56.33,0.0,0.0
2018-07-29,57.14,57.14,57.14,0.0,0.0,57.42,57.42,57.42,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.4,57.4,57.4,0.0,0.0
2018-08-05,57.27,57.27,57.27,0.0,0.0,57.43,57.43,57.43,0.0,0.0,56.97,56.97,56.97,0.0,0.0,57.03,57.03,57.03,0.0,0.0
2018-08-12,57.76,57.76,57.76,0.0,0.0,57.89,57.89,57.89,0.0,0.0,57.67,57.67,57.67,0.0,0.0,57.83,57.83,57.83,0.0,0.0
2018-08-19,58.52,58.52,58.52,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.51,58.51,58.51,0.0,0.0,58.63,58.63,58.63,0.0,0.0
2018-08-26,58.61,58.61,58.61,0.0,0.0,58.81,58.81,58.81,0.0,0.0,58.58,58.58,58.58,0.0,0.0,58.75,58.75,58.75,0.0,0.0
2018-09-02,58.46,58.46,58.46,0.0,0.0,58.5,58.5,58.5,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.4,58.4,58.4,0.0,0.0
