Date,NuShares ESG Small-Cap_Open_average,NuShares ESG Small-Cap_Open_max,NuShares ESG Small-Cap_Open_min,NuShares ESG Small-Cap_Open_volatility,NuShares ESG Small-Cap_Open_change,NuShares ESG Small-Cap_High_average,NuShares ESG Small-Cap_High_max,NuShares ESG Small-Cap_High_min,NuShares ESG Small-Cap_High_volatility,NuShares ESG Small-Cap_High_change,NuShares ESG Small-Cap_Low_average,NuShares ESG Small-Cap_Low_max,NuShares ESG Small-Cap_Low_min,NuShares ESG Small-Cap_Low_volatility,NuShares ESG Small-Cap_Low_change,NuShares ESG Small-Cap_Close_average,NuShares ESG Small-Cap_Close_max,NuShares ESG Small-Cap_Close_min,NuShares ESG Small-Cap_Close_volatility,NuShares ESG Small-Cap_Close_change
2018-01-14,29.6,29.6,29.6,0.0,0.0,29.66,29.66,29.66,0.0,0.0,29.6,29.6,29.6,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2018-01-21,29.84,29.84,29.84,0.0,0.0,29.84,29.84,29.84,0.0,0.0,29.7,29.7,29.7,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2018-01-28,28.72,28.72,28.72,0.0,0.0,28.72,28.72,28.72,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.13,28.13,28.13,0.0,0.0
2018-02-04,27.72,27.72,27.72,0.0,0.0,27.78,27.78,27.78,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.75,27.75,27.75,0.0,0.0
2018-02-11,28.5,28.5,28.5,0.0,0.0,28.71,28.71,28.71,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2018-02-18,28.8,28.8,28.8,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.88,28.88,28.88,0.0,0.0
2018-02-25,28.53,28.53,28.53,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.52,28.52,28.52,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-03-04,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.45,29.45,29.45,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2018-03-11,29.24,29.24,29.24,0.0,0.0,29.24,29.24,29.24,0.0,0.0,28.87,28.87,28.87,0.0,0.0,28.9,28.9,28.9,0.0,0.0
2018-03-18,28.09,28.09,28.09,0.0,0.0,28.49,28.49,28.49,0.0,0.0,28.0,28.0,28.0,0.0,0.0,28.49,28.49,28.49,0.0,0.0
2018-03-25,28.32,28.32,28.32,0.0,0.0,28.32,28.32,28.32,0.0,0.0,27.48,27.48,27.48,0.0,0.0,27.68,27.68,27.68,0.0,0.0
2018-04-01,28.18,28.18,28.18,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.1,28.1,28.1,0.0,0.0,28.11,28.11,28.11,0.0,0.0
2018-04-08,28.88,28.88,28.88,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.95,28.95,28.95,0.0,0.0
2018-04-15,28.89,28.89,28.89,0.0,0.0,29.06,29.06,29.06,0.0,0.0,28.83,28.83,28.83,0.0,0.0,28.89,28.89,28.89,0.0,0.0
2018-04-22,29.02,29.02,29.02,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.64,28.64,28.64,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-04-29,29.12,29.12,29.12,0.0,0.0,29.33,29.33,29.33,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.22,29.22,29.22,0.0,0.0
2018-05-06,29.91,29.91,29.91,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-05-13,30.24,30.24,30.24,0.0,0.0,30.24,30.24,30.24,0.0,0.0,30.16,30.16,30.16,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-05-20,30.04,30.04,30.04,0.0,0.0,30.05,30.05,30.05,0.0,0.0,29.97,29.97,29.97,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-05-27,30.57,30.57,30.57,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.39,30.39,30.39,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-06-03,31.1,31.1,31.1,0.0,0.0,31.1,31.1,31.1,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-06-10,31.17,31.17,31.17,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.04,31.04,31.04,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-06-17,30.72,30.72,30.72,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.58,30.58,30.58,0.0,0.0
2018-06-24,30.62,30.62,30.62,0.0,0.0,30.63,30.63,30.63,0.0,0.0,30.35,30.35,30.35,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-07-01,31.43,31.43,31.43,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.43,31.43,31.43,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-07-08,31.46,31.46,31.46,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.16,31.16,31.16,0.0,0.0
2018-07-15,31.35,31.35,31.35,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.49,31.49,31.49,0.0,0.0
2018-07-22,31.12,31.12,31.12,0.0,0.0,31.12,31.12,31.12,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.77,30.77,30.77,0.0,0.0
2018-07-29,31.29,31.29,31.29,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.44,31.44,31.44,0.0,0.0
2018-08-05,31.46,31.46,31.46,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.23,31.23,31.23,0.0,0.0
